repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
273180,334777,1195,1196,1
273180,657955,1195,1196,1
273180,894549,1195,1196,1
273180,898229,1195,1196,1
273180,1384006,1195,1196,1
273180,1516338,1195,1196,1
273180,2468157,1195,1196,1
273180,3247382,1195,1196,1
273180,3990927,1195,1196,1
314454,3550413,1255,1256,1
314454,4254147,1255,1256,1
380483,2573924,1333,1334,1
380484,902070,1335,1336,1
380484,2324209,1332,1333,1
380485,1649987,1333,1334,1
380485,3175380,1331,1332,1
380485,3539382,1332,1333,1
390933,4079076,1265,1266,1
390934,2472769,1260,1261,1
429534,3596005,1283,4834,83
429544,3464884,2275,3138,46
429546,3689823,1365,2759,64
429555,2724695,2318,3170,52
429565,3423503,1742,3117,56
433068,3426923,1283,1300,44
433068,3468411,1289,1300,44
433072,3693266,1283,1296,44
566000,3550409,1260,1261,1
573810,657950,1204,1205,1
573810,894544,1205,1206,1
573810,1516333,1203,1204,1
573811,3247378,1203,1204,1
573811,3990923,1203,1204,1
573815,334777,1195,1196,1
573815,898229,1195,1196,1
573815,1384006,1198,1199,1
573815,2468157,1195,1196,1
654210,1279725,1203,1204,1
654210,3956863,1203,1204,1
654211,2541251,1198,1199,1
654211,2664928,1198,1199,1
654214,2352887,1195,1196,1
688269,3247377,1204,1205,1
688270,657951,1205,1206,1
688270,894545,1203,1204,1
688270,1516334,1202,1203,1
688274,334777,1195,1196,1
688274,898229,1195,1196,1
688274,1384006,1198,1199,1
688274,2468157,1195,1196,1
1094668,2472769,1259,1260,1
1105623,142143,1331,1332,1
1105623,1460252,1332,1333,1
1105623,3343965,1332,1333,1
1301039,1649986,1332,1333,1
1301039,3175379,1333,1334,1
1301040,902071,1331,1332,1
1301040,2324210,1331,1332,1
1301040,2573926,1332,1333,1
1397755,1279725,1203,1204,1
1397756,2541251,1198,1199,1
1397756,2664928,1198,1199,1
1397759,2352887,1195,1196,1
1469624,1460251,1333,1334,1
1469625,142143,1331,1332,1
1471011,132975,1221,1222,1
1980206,1384002,1204,1205,1
1980207,334774,1198,1199,1
1980207,898226,1198,1199,1
1980207,2468154,1198,1199,1
1980210,657955,1198,1199,1
1980210,894549,1198,1199,1
1980210,1516338,1199,1200,1
2071078,1460251,1332,1333,1
2071079,142143,1331,1332,1
2103883,1384002,1203,1204,1
2103884,334774,1198,1199,1
2103884,898226,1198,1199,1
2103884,2468154,1198,1199,1
2103887,657955,1198,1199,1
2103887,894549,1198,1199,1
2103887,1516338,1200,1201,1
2176984,1279729,1195,1196,1
2176984,2352887,1198,1199,1
2292251,334774,1198,1199,1
2292251,898226,1198,1199,1
2292251,1384003,1198,1199,1
2292254,657955,1195,1196,1
2292254,894549,1195,1196,1
2320794,142142,1332,1333,1
2320795,1460252,1331,1332,1
2728224,433090,1383,1384,1
2995018,142143,1331,1332,1
2995018,1460252,1332,1333,1
3128800,1279726,1202,1203,1
3184753,902071,1331,1332,1
3261132,1279726,1198,1199,1
3365408,657951,1203,1204,1
3365408,894545,1205,1206,1
3742934,142143,1331,1332,1
