Repeat ID,Extension ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-100,357,124
0,-99,357,123
0,-98,357,122
0,-96,357,121
0,-96,357,120
0,-95,357,118
0,-94,357,117
0,-93,357,116
0,-91,357,115
0,-91,357,112
0,-90,357,111
0,-89,357,110
0,-88,357,109
0,-87,357,107
0,-86,357,107
0,-85,357,106
0,-84,357,105
0,-83,357,104
0,-82,357,101
0,-81,357,100
0,-80,357,99
0,-79,357,98
0,-78,357,96
0,-77,357,96
0,-76,357,95
0,-75,357,93
0,-74,357,91
0,-73,357,91
0,-72,357,90
0,-71,357,89
0,-70,357,88
0,-69,357,86
0,-68,357,85
0,-67,357,84
0,-66,357,82
0,-65,357,80
0,-64,357,79
0,-63,357,78
0,-62,357,76
0,-61,357,75
0,-60,357,74
0,-59,357,73
0,-58,357,71
0,-56,357,70
0,-56,357,69
0,-55,357,68
0,-53,357,67
0,-53,357,66
0,-52,357,65
0,-51,357,64
0,-50,357,63
0,-49,357,61
0,-48,357,60
0,-47,357,59
0,-45,357,58
0,-45,357,56
0,-44,357,55
0,-43,357,53
0,-42,357,53
0,-41,357,52
0,-40,357,51
0,-39,357,49
0,-38,357,48
0,-37,357,47
0,-36,357,45
0,-35,357,45
0,-34,357,44
0,-33,357,43
0,-32,357,42
0,-31,357,41
0,-30,357,40
0,-29,357,37
0,-28,357,36
0,-26,357,35
0,-26,357,34
0,-25,357,33
0,-24,357,32
0,-22,357,31
0,-22,357,29
0,-21,357,28
0,-20,357,26
0,-19,357,26
0,-18,357,24
0,-17,357,22
0,-16,357,21
0,-15,357,19
0,-14,357,18
0,-13,357,17
0,-12,357,16
0,-11,357,14
0,-10,357,13
0,-9,357,12
0,-8,357,11
0,-7,357,10
0,-6,357,8
0,-5,357,7
0,-4,357,6
0,-3,357,5
0,-2,357,4
0,-1,357,2
0,0,357,0
0,1,357,1
0,2,357,2
0,3,357,3
0,4,357,4
0,5,357,6
0,6,357,7
0,7,357,9
0,8,357,10
0,9,357,11
0,10,357,12
0,11,357,13
0,12,357,14
0,13,357,15
0,14,357,16
0,15,357,17
0,16,357,18
0,17,357,19
0,18,357,20
0,19,357,21
0,20,357,22
0,21,357,24
0,22,357,25
0,22,357,26
0,24,357,28
0,25,357,34
0,26,357,35
0,26,357,36
0,28,357,38
0,29,357,39
0,30,357,40
0,31,357,41
0,32,357,43
0,33,357,45
0,34,357,45
0,35,357,48
0,36,357,49
0,37,357,50
0,38,357,51
0,39,357,52
0,40,357,53
0,41,357,53
0,42,357,55
0,43,357,56
0,44,357,58
0,45,357,59
0,45,357,60
0,47,357,61
0,48,357,62
0,49,357,64
0,50,357,65
0,51,357,66
0,52,357,67
0,53,357,68
0,53,357,69
0,55,357,70
0,56,357,71
0,56,357,73
0,58,357,74
0,59,357,75
0,60,357,76
0,61,357,77
0,62,357,78
0,63,357,81
0,64,357,82
0,65,357,83
0,66,357,84
0,67,357,85
0,68,357,86
0,69,357,87
0,70,357,88
0,71,357,89
0,72,357,91
0,73,357,91
0,74,357,95
0,75,357,96
0,76,357,98
0,77,357,100
0,78,357,102
0,79,357,102
0,80,357,104
0,81,357,106
0,82,357,109
0,83,357,110
0,84,357,111
0,85,357,112
0,86,357,113
0,87,357,113
0,88,357,115
0,89,357,116
0,90,357,118
0,91,357,120
0,91,357,122
0,93,357,123
0,94,357,129
0,95,357,130
0,96,357,131
0,96,357,132
0,98,357,134
0,99,357,135
0,100,357,136
1,-100,497,137
1,-99,497,135
1,-98,497,134
1,-97,497,133
1,-96,497,131
1,-95,497,129
1,-94,497,127
1,-93,497,126
1,-92,497,124
1,-91,497,124
1,-90,497,123
1,-89,497,122
1,-88,497,119
1,-87,497,118
1,-86,497,114
1,-85,497,113
1,-84,497,112
1,-83,497,109
1,-82,497,108
1,-81,497,107
1,-80,497,104
1,-79,497,103
1,-78,497,102
1,-77,497,101
1,-76,497,100
1,-75,497,98
1,-74,497,97
1,-73,497,96
1,-72,497,94
1,-71,497,93
1,-70,497,92
1,-69,497,91
1,-68,497,90
1,-67,497,89
1,-66,497,88
1,-65,497,87
1,-64,497,86
1,-63,497,85
1,-62,497,83
1,-61,497,82
1,-60,497,81
1,-59,497,80
1,-58,497,79
1,-57,497,78
1,-56,497,76
1,-55,497,75
1,-54,497,74
1,-53,497,73
1,-52,497,72
1,-51,497,71
1,-50,497,70
1,-49,497,68
1,-48,497,67
1,-47,497,65
1,-46,497,64
1,-45,497,63
1,-44,497,62
1,-43,497,61
1,-42,497,60
1,-41,497,57
1,-40,497,56
1,-39,497,55
1,-38,497,54
1,-37,497,53
1,-36,497,52
1,-35,497,51
1,-34,497,50
1,-33,497,48
1,-32,497,47
1,-31,497,45
1,-30,497,43
1,-29,497,42
1,-28,497,41
1,-27,497,40
1,-26,497,39
1,-25,497,37
1,-24,497,36
1,-23,497,34
1,-22,497,33
1,-21,497,32
1,-20,497,31
1,-19,497,30
1,-18,497,28
1,-17,497,27
1,-16,497,26
1,-15,497,25
1,-14,497,24
1,-13,497,20
1,-12,497,19
1,-11,497,18
1,-10,497,15
1,-9,497,13
1,-8,497,12
1,-7,497,10
1,-6,497,9
1,-5,497,8
1,-4,497,7
1,-3,497,6
1,-2,497,5
1,-1,497,2
1,0,497,0
1,1,497,3
1,2,497,4
1,3,497,5
1,4,497,6
1,5,497,7
1,6,497,8
1,7,497,9
1,8,497,12
1,9,497,13
1,10,497,14
1,11,497,15
1,12,497,17
1,13,497,18
1,14,497,20
1,15,497,22
1,16,497,23
1,17,497,24
1,18,497,27
1,19,497,28
1,20,497,29
1,21,497,31
1,22,497,33
1,23,497,34
1,24,497,35
1,25,497,36
1,26,497,37
1,27,497,38
1,28,497,40
1,29,497,43
1,30,497,46
1,31,497,48
1,32,497,49
1,33,497,51
1,34,497,52
1,35,497,53
1,36,497,57
1,37,497,58
1,38,497,59
1,39,497,61
1,40,497,62
1,41,497,64
1,42,497,66
1,43,497,68
1,44,497,70
1,45,497,72
1,46,497,73
1,47,497,74
1,48,497,75
1,49,497,76
1,50,497,77
1,51,497,78
1,52,497,79
1,53,497,81
1,54,497,82
1,55,497,83
1,56,497,84
1,57,497,86
1,58,497,87
1,59,497,88
1,60,497,89
1,61,497,90
1,62,497,91
1,63,497,92
1,64,497,93
1,65,497,94
1,66,497,97
1,67,497,98
1,68,497,100
1,69,497,101
1,70,497,102
1,71,497,103
1,72,497,104
1,73,497,108
1,74,497,110
1,75,497,111
1,76,497,112
1,77,497,113
1,78,497,114
1,79,497,115
1,80,497,116
1,81,497,117
1,82,497,118
1,83,497,119
1,84,497,120
1,85,497,121
1,86,497,123
1,87,497,124
1,88,497,127
1,89,497,129
1,90,497,130
1,91,497,131
1,92,497,132
1,93,497,531
1,94,497,536
1,95,497,590
1,96,497,837
1,97,497,838
1,98,497,841
1,99,497,942
1,100,497,943
2,-100,618,137
2,-99,618,135
2,-98,618,134
2,-97,618,133
2,-95,618,131
2,-95,618,129
2,-94,618,127
2,-93,618,126
2,-92,618,125
2,-91,618,124
2,-90,618,123
2,-89,618,121
2,-88,618,119
2,-87,618,118
2,-86,618,114
2,-85,618,113
2,-84,618,112
2,-82,618,108
2,-82,618,108
2,-81,618,107
2,-80,618,104
2,-79,618,103
2,-78,618,102
2,-77,618,101
2,-76,618,100
2,-75,618,98
2,-74,618,97
2,-73,618,95
2,-72,618,94
2,-71,618,93
2,-70,618,92
2,-69,618,91
2,-68,618,90
2,-67,618,89
2,-66,618,88
2,-65,618,87
2,-64,618,86
2,-63,618,85
2,-62,618,82
2,-60,618,82
2,-60,618,81
2,-59,618,80
2,-58,618,79
2,-57,618,78
2,-56,618,76
2,-55,618,75
2,-54,618,74
2,-53,618,73
2,-52,618,72
2,-51,618,71
2,-50,618,70
2,-49,618,68
2,-47,618,67
2,-47,618,65
2,-46,618,64
2,-45,618,63
2,-44,618,62
2,-43,618,60
2,-42,618,60
2,-41,618,57
2,-40,618,56
2,-39,618,55
2,-38,618,54
2,-37,618,53
2,-36,618,52
2,-35,618,51
2,-34,618,50
2,-33,618,47
2,-32,618,47
2,-31,618,45
2,-30,618,43
2,-29,618,42
2,-28,618,41
2,-27,618,40
2,-26,618,39
2,-25,618,37
2,-23,618,36
2,-23,618,34
2,-22,618,33
2,-21,618,32
2,-20,618,31
2,-19,618,30
2,-18,618,28
2,-17,618,27
2,-16,618,26
2,-15,618,25
2,-14,618,23
2,-13,618,20
2,-11,618,19
2,-11,618,18
2,-10,618,15
2,-9,618,13
2,-8,618,11
2,-7,618,10
2,-5,618,9
2,-5,618,8
2,-4,618,7
2,-2,618,5
2,-2,618,5
2,-1,618,2
2,0,618,0
2,1,618,2
2,2,618,2
2,2,618,4
2,4,618,9
2,5,618,11
2,5,618,11
2,7,618,13
2,8,618,14
2,9,618,17
2,10,618,18
2,11,618,19
2,11,618,20
2,13,618,21
2,14,618,22
2,15,618,23
2,16,618,25
2,17,618,26
2,18,618,27
2,19,618,28
2,20,618,29
2,21,618,30
2,22,618,31
2,23,618,32
2,23,618,33
2,25,618,34
2,26,618,36
2,27,618,39
2,28,618,40
2,29,618,41
2,30,618,43
2,31,618,45
2,32,618,46
2,33,618,51
2,34,618,52
2,35,618,53
2,36,618,54
2,37,618,55
2,38,618,59
2,39,618,60
2,40,618,60
2,41,618,62
2,42,618,64
2,43,618,68
2,44,618,70
2,45,618,71
2,46,618,75
2,47,618,76
2,47,618,77
2,49,618,79
2,50,618,82
2,51,618,85
2,52,618,86
2,53,618,87
2,54,618,88
2,55,618,89
2,56,618,91
2,57,618,92
2,58,618,93
2,59,618,94
2,60,618,95
2,60,618,97
2,62,618,99
2,63,618,100
2,64,618,101
2,65,618,102
2,66,618,103
2,67,618,104
2,68,618,105
2,69,618,106
2,70,618,108
2,71,618,108
2,72,618,110
2,73,618,111
2,74,618,112
2,75,618,113
2,76,618,114
2,77,618,115
2,78,618,117
2,79,618,118
2,80,618,119
2,81,618,120
2,82,618,121
2,82,618,124
2,84,618,125
2,85,618,126
2,86,618,128
2,87,618,130
2,88,618,132
2,89,618,133
2,90,618,135
2,91,618,136
2,92,618,137
2,93,618,139
2,94,618,140
