Repeat ID,Extension ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-100,1195,145
0,-99,1195,143
0,-98,1195,142
0,-97,1195,140
0,-96,1195,138
0,-95,1195,136
0,-94,1195,134
0,-93,1195,133
0,-92,1195,132
0,-91,1195,131
0,-90,1195,125
0,-89,1195,124
0,-88,1195,123
0,-87,1195,122
0,-86,1195,121
0,-85,1195,120
0,-84,1195,119
0,-83,1195,117
0,-81,1195,116
0,-80,1195,115
0,-80,1195,113
0,-79,1195,112
0,-78,1195,110
0,-77,1195,109
0,-76,1195,107
0,-75,1195,106
0,-74,1195,103
0,-73,1195,102
0,-72,1195,101
0,-71,1195,100
0,-70,1195,98
0,-69,1195,97
0,-68,1195,96
0,-67,1195,95
0,-66,1195,94
0,-65,1195,93
0,-63,1195,92
0,-63,1195,91
0,-62,1195,90
0,-61,1195,87
0,-60,1195,86
0,-59,1195,85
0,-58,1195,84
0,-57,1195,81
0,-56,1195,77
0,-55,1195,74
0,-54,1195,73
0,-53,1195,72
0,-51,1195,71
0,-51,1195,69
0,-50,1195,68
0,-49,1195,67
0,-48,1195,66
0,-47,1195,65
0,-46,1195,63
0,-45,1195,62
0,-44,1195,61
0,-43,1195,60
0,-42,1195,59
0,-40,1195,58
0,-40,1195,57
0,-39,1195,56
0,-38,1195,55
0,-37,1195,54
0,-36,1195,53
0,-35,1195,51
0,-34,1195,51
0,-33,1195,49
0,-31,1195,48
0,-31,1195,47
0,-30,1195,46
0,-29,1195,45
0,-28,1195,43
0,-27,1195,40
0,-25,1195,40
0,-25,1195,39
0,-24,1195,38
0,-23,1195,37
0,-22,1195,34
0,-21,1195,33
0,-20,1195,31
0,-19,1195,30
0,-18,1195,29
0,-17,1195,28
0,-15,1195,24
0,-15,1195,23
0,-14,1195,20
0,-12,1195,17
0,-12,1195,15
0,-11,1195,14
0,-10,1195,12
0,-9,1195,12
0,-7,1195,9
0,-7,1195,7
0,-6,1195,7
0,-5,1195,6
0,-3,1195,5
0,-3,1195,3
0,-1,1195,1
0,0,1195,0
0,0,1195,0
0,0,1195,0
0,1,1195,1
0,3,1195,3
0,3,1195,3
0,5,1195,5
0,6,1195,6
0,7,1195,7
0,7,1195,7
0,9,1195,9
0,10,1195,10
0,11,1195,11
0,12,1195,15
0,12,1195,15
0,14,1195,17
0,15,1195,18
0,15,1195,19
0,17,1195,21
0,18,1195,22
0,19,1195,23
0,20,1195,24
0,21,1195,25
