Repeat ID,Extension ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-100,1204,147
0,-99,1204,146
0,-98,1204,145
0,-97,1204,143
0,-96,1204,142
0,-95,1204,140
0,-94,1204,139
0,-93,1204,138
0,-92,1204,137
0,-91,1204,136
0,-90,1204,135
0,-89,1204,132
0,-88,1204,130
0,-87,1204,129
0,-86,1204,128
0,-85,1204,126
0,-84,1204,125
0,-82,1204,124
0,-82,1204,123
0,-81,1204,122
0,-80,1204,121
0,-79,1204,119
0,-78,1204,117
0,-77,1204,116
0,-76,1204,115
0,-75,1204,114
0,-74,1204,113
0,-73,1204,112
0,-72,1204,110
0,-71,1204,108
0,-70,1204,107
0,-69,1204,105
0,-68,1204,104
0,-67,1204,103
0,-66,1204,102
0,-65,1204,101
0,-64,1204,99
0,-63,1204,98
0,-62,1204,97
0,-61,1204,95
0,-60,1204,94
0,-59,1204,87
0,-58,1204,86
0,-57,1204,85
0,-56,1204,82
0,-55,1204,81
0,-54,1204,79
0,-52,1204,78
0,-52,1204,76
0,-51,1204,72
0,-50,1204,71
0,-49,1204,70
0,-48,1204,69
0,-47,1204,68
0,-46,1204,66
0,-45,1204,63
0,-44,1204,62
0,-43,1204,61
0,-42,1204,58
0,-41,1204,57
0,-40,1204,55
0,-39,1204,54
0,-38,1204,52
0,-37,1204,51
0,-36,1204,50
0,-35,1204,47
0,-34,1204,45
0,-33,1204,44
0,-32,1204,42
0,-31,1204,41
0,-30,1204,40
0,-29,1204,39
0,-28,1204,38
0,-27,1204,37
0,-26,1204,36
0,-25,1204,35
0,-24,1204,34
0,-23,1204,31
0,-22,1204,30
0,-21,1204,28
0,-20,1204,26
0,-19,1204,25
0,-18,1204,24
0,-17,1204,23
0,-16,1204,22
0,-15,1204,21
0,-14,1204,20
0,-13,1204,19
0,-12,1204,18
0,-11,1204,16
0,-10,1204,14
0,-9,1204,13
0,-8,1204,12
0,-7,1204,8
0,-6,1204,7
0,-5,1204,6
0,-4,1204,5
0,-3,1204,4
0,-2,1204,3
0,-1,1204,2
0,0,1204,0
0,1,1204,1
0,2,1204,2
0,3,1204,3
0,4,1204,4
0,5,1204,5
0,6,1204,6
0,7,1204,8
0,8,1204,9
0,9,1204,10
0,10,1204,11
0,11,1204,12
0,12,1204,14
0,13,1204,15
0,14,1204,16
0,15,1204,17
0,16,1204,18
0,17,1204,19
0,18,1204,20
0,19,1204,21
0,20,1204,22
0,21,1204,23
0,22,1204,25
0,23,1204,27
0,24,1204,29
0,25,1204,30
0,26,1204,31
0,27,1204,32
0,28,1204,33
0,29,1204,34
0,30,1204,35
0,31,1204,37
0,32,1204,39
0,33,1204,40
0,34,1204,41
0,35,1204,42
0,36,1204,43
0,37,1204,45
0,38,1204,48
0,39,1204,49
0,40,1204,50
0,41,1204,52
0,42,1204,52
0,43,1204,56
0,44,1204,58
0,45,1204,60
0,46,1204,61
0,47,1204,63
0,48,1204,64
0,49,1204,65
0,50,1204,66
0,51,1204,67
0,52,1204,69
0,52,1204,70
