Repeat ID,Extension ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-99,193,143
0,-99,193,142
0,-98,193,141
0,-97,193,140
0,-96,193,139
0,-95,193,137
0,-94,193,135
0,-93,193,134
0,-92,193,133
0,-91,193,131
0,-90,193,130
0,-89,193,127
0,-88,193,125
0,-87,193,119
0,-86,193,117
0,-85,193,115
0,-84,193,114
0,-83,193,113
0,-82,193,111
0,-81,193,111
0,-80,193,108
0,-79,193,105
0,-78,193,105
0,-77,193,104
0,-76,193,103
0,-75,193,102
0,-74,193,101
0,-73,193,99
0,-72,193,99
0,-71,193,98
0,-70,193,97
0,-69,193,96
0,-68,193,95
0,-67,193,94
0,-66,193,92
0,-65,193,91
0,-64,193,89
0,-63,193,87
0,-61,193,86
0,-61,193,85
0,-60,193,84
0,-58,193,82
0,-58,193,80
0,-57,193,79
0,-55,193,78
0,-55,193,77
0,-54,193,76
0,-52,193,75
0,-52,193,72
0,-51,193,71
0,-49,193,70
0,-49,193,69
0,-48,193,67
0,-47,193,65
0,-46,193,64
0,-45,193,63
0,-44,193,61
0,-43,193,60
0,-42,193,58
0,-41,193,57
0,-40,193,55
0,-39,193,55
0,-38,193,54
0,-37,193,52
0,-36,193,51
0,-35,193,49
0,-34,193,49
0,-33,193,48
0,-32,193,47
0,-30,193,46
0,-30,193,45
0,-29,193,44
0,-27,193,42
0,-27,193,41
0,-26,193,40
0,-24,193,39
0,-24,193,36
0,-23,193,34
0,-22,193,33
0,-21,193,32
0,-20,193,29
0,-19,193,27
0,-18,193,26
0,-17,193,24
0,-16,193,24
0,-15,193,21
0,-13,193,20
0,-13,193,18
0,-12,193,16
0,-11,193,15
0,-10,193,13
0,-9,193,13
0,-8,193,11
0,-6,193,8
0,-6,193,6
0,-5,193,6
0,-4,193,5
0,-3,193,4
0,-2,193,3
0,-1,193,2
0,0,193,0
0,1,193,1
0,2,193,3
0,3,193,4
0,4,193,5
0,5,193,6
0,6,193,6
0,6,193,8
0,8,193,11
0,9,193,12
0,10,193,13
0,11,193,15
0,12,193,16
0,13,193,19
0,13,193,20
0,15,193,21
0,16,193,22
0,17,193,24
0,18,193,24
0,19,193,26
0,20,193,27
0,21,193,29
0,22,193,30
0,23,193,30
0,24,193,33
0,24,193,35
0,26,193,36
0,27,193,37
0,27,193,38
0,29,193,39
0,30,193,41
0,30,193,42
0,32,193,43
0,33,193,44
0,34,193,45
0,35,193,49
0,36,193,49
0,37,193,51
0,38,193,52
0,39,193,54
0,40,193,55
0,41,193,58
0,42,193,58
0,43,193,60
0,44,193,61
0,45,193,61
0,46,193,63
0,47,193,64
0,48,193,67
0,49,193,69
0,49,193,70
0,51,193,71
0,52,193,72
0,52,193,75
0,54,193,76
0,55,193,77
0,55,193,80
0,57,193,81
0,58,193,83
0,58,193,84
0,60,193,86
0,61,193,89
0,61,193,90
0,63,193,92
0,64,193,94
0,65,193,95
0,66,193,96
0,67,193,97
0,68,193,98
0,69,193,99
0,70,193,101
0,71,193,102
0,72,193,103
0,73,193,104
0,74,193,105
0,75,193,107
0,76,193,108
0,77,193,109
0,78,193,110
0,79,193,111
0,80,193,111
0,81,193,113
0,82,193,115
0,83,193,116
0,84,193,119
0,85,193,120
0,86,193,122
0,87,193,123
0,88,193,123
0,89,193,125
0,90,193,126
0,91,193,128
0,92,193,129
0,93,193,130
0,94,193,131
0,95,193,132
0,96,193,135
0,97,193,136
0,98,193,137
0,99,193,138
0,99,193,139
1,-100,178,171
1,-99,178,169
1,-98,178,167
1,-97,178,166
1,-96,178,165
1,-95,178,164
1,-93,178,163
1,-93,178,162
1,-92,178,159
1,-91,178,158
1,-90,178,156
1,-89,178,155
1,-88,178,154
1,-87,178,153
1,-86,178,152
1,-85,178,151
1,-84,178,150
1,-83,178,147
1,-82,178,146
1,-81,178,144
1,-80,178,143
1,-79,178,142
1,-78,178,141
1,-77,178,140
1,-76,178,138
1,-75,178,137
1,-74,178,135
1,-73,178,130
1,-72,178,129
1,-71,178,127
1,-70,178,125
1,-69,178,123
1,-68,178,120
1,-67,178,119
1,-66,178,117
1,-65,178,117
1,-64,178,116
1,-62,178,115
1,-62,178,113
1,-61,178,112
1,-60,178,109
1,-58,178,109
1,-58,178,108
1,-57,178,107
1,-56,178,103
1,-54,178,101
1,-54,178,100
1,-53,178,99
1,-52,178,96
1,-50,178,95
1,-50,178,93
1,-49,178,92
1,-48,178,91
1,-46,178,90
1,-46,178,89
1,-45,178,88
1,-44,178,87
1,-43,178,86
1,-42,178,85
1,-41,178,84
1,-40,178,82
1,-39,178,81
1,-38,178,80
1,-37,178,79
1,-36,178,78
1,-35,178,76
1,-34,178,72
1,-33,178,71
1,-32,178,70
1,-31,178,69
1,-30,178,68
1,-29,178,67
1,-28,178,66
1,-27,178,65
1,-26,178,62
1,-25,178,61
1,-24,178,60
1,-23,178,58
1,-22,178,58
1,-21,178,57
1,-20,178,56
1,-19,178,54
1,-18,178,54
1,-17,178,52
1,-16,178,49
1,-15,178,48
1,-14,178,46
1,-13,178,45
1,-12,178,44
1,-11,178,42
1,-10,178,41
1,-9,178,40
1,-8,178,39
1,-7,178,38
1,-6,178,37
1,-5,178,36
1,-4,178,35
1,-3,178,34
1,-2,178,15
1,-1,178,2
1,0,178,0
1,1,178,1
1,2,178,4
1,3,178,5
1,4,178,6
1,5,178,7
1,6,178,8
1,7,178,9
1,8,178,10
1,9,178,11
1,10,178,13
1,11,178,14
1,12,178,15
1,13,178,16
1,14,178,17
1,15,178,18
1,16,178,20
1,17,178,21
1,18,178,22
1,19,178,23
1,20,178,24
1,21,178,25
1,22,178,26
1,23,178,27
1,24,178,28
1,25,178,29
1,26,178,31
1,27,178,34
1,28,178,35
1,29,178,37
1,30,178,38
1,31,178,39
1,32,178,40
1,33,178,43
1,34,178,44
1,35,178,45
1,36,178,46
1,37,178,48
1,38,178,49
1,39,178,50
1,40,178,50
1,41,178,52
1,42,178,54
1,43,178,54
1,44,178,57
1,45,178,58
1,46,178,60
1,46,178,62
1,48,178,64
1,49,178,65
1,50,178,67
1,50,178,68
1,52,178,69
1,53,178,70
1,54,178,71
1,54,178,72
1,56,178,73
1,57,178,74
1,58,178,75
1,58,178,76
1,60,178,77
1,61,178,79
1,62,178,80
1,62,178,81
1,64,178,82
1,65,178,83
1,66,178,84
1,67,178,85
1,68,178,89
1,69,178,90
1,70,178,91
1,71,178,92
1,72,178,93
1,73,178,96
1,74,178,97
1,75,178,99
1,76,178,100
1,77,178,101
1,78,178,103
1,79,178,105
1,80,178,106
1,81,178,109
1,82,178,109
1,83,178,111
1,84,178,115
1,85,178,117
1,86,178,119
1,87,178,120
1,88,178,121
1,89,178,123
1,90,178,124
1,91,178,125
1,92,178,125
1,93,178,127
1,93,178,128
1,95,178,129
1,96,178,134
1,97,178,136
1,98,178,138
1,99,178,141
1,100,178,142
2,-100,247,167
2,-99,247,166
2,-98,247,165
2,-97,247,164
2,-96,247,161
2,-95,247,160
2,-94,247,159
2,-93,247,158
2,-92,247,157
2,-91,247,156
2,-90,247,154
2,-89,247,148
2,-88,247,147
2,-87,247,146
2,-86,247,145
2,-85,247,144
2,-84,247,143
2,-83,247,142
2,-82,247,141
2,-81,247,140
2,-80,247,139
2,-79,247,138
2,-78,247,137
2,-77,247,136
2,-76,247,135
2,-75,247,134
2,-74,247,133
2,-73,247,132
2,-72,247,131
2,-71,247,130
2,-70,247,129
2,-69,247,128
2,-68,247,126
2,-67,247,126
2,-66,247,125
2,-65,247,123
2,-64,247,122
2,-63,247,121
2,-61,247,119
2,-61,247,118
2,-60,247,115
2,-59,247,114
2,-58,247,113
2,-57,247,112
2,-56,247,111
2,-55,247,110
2,-54,247,109
2,-53,247,107
2,-52,247,106
2,-51,247,105
2,-50,247,104
2,-49,247,103
2,-48,247,100
2,-47,247,99
2,-46,247,98
2,-45,247,97
2,-44,247,96
2,-43,247,95
2,-42,247,94
2,-41,247,93
2,-40,247,90
2,-39,247,89
2,-38,247,86
2,-37,247,84
2,-36,247,83
2,-35,247,82
2,-34,247,81
2,-33,247,80
2,-32,247,79
2,-30,247,78
2,-30,247,77
2,-29,247,76
2,-28,247,75
2,-27,247,74
2,-26,247,73
2,-25,247,72
2,-24,247,71
2,-23,247,70
2,-22,247,69
2,-21,247,68
2,-20,247,67
2,-19,247,65
2,-18,247,63
2,-17,247,61
2,-16,247,61
2,-15,247,60
2,-14,247,59
2,-13,247,58
2,-12,247,57
2,-11,247,56
2,-10,247,54
2,-9,247,53
2,-8,247,52
2,-7,247,50
2,-6,247,49
2,-5,247,15
2,-4,247,14
2,-3,247,11
2,-2,247,9
2,-1,247,2
2,0,247,0
2,1,247,1
2,2,247,2
2,3,247,4
2,4,247,5
2,5,247,7
2,6,247,8
2,7,247,9
2,8,247,10
2,9,247,11
2,10,247,13
2,11,247,14
2,12,247,15
2,13,247,16
2,14,247,18
2,15,247,19
2,16,247,20
2,17,247,21
2,18,247,22
2,19,247,27
2,20,247,29
2,21,247,30
2,22,247,30
2,23,247,33
2,24,247,34
2,25,247,35
2,26,247,36
2,27,247,37
2,28,247,39
2,29,247,40
2,30,247,44
2,30,247,46
2,32,247,47
2,33,247,49
2,34,247,51
2,35,247,52
2,36,247,53
2,37,247,54
2,38,247,55
2,39,247,56
2,40,247,57
2,41,247,59
2,42,247,60
2,43,247,61
2,44,247,61
2,45,247,66
2,46,247,67
2,47,247,68
2,48,247,69
2,49,247,72
2,50,247,73
2,51,247,75
2,52,247,76
2,53,247,77
2,54,247,78
2,55,247,80
2,56,247,81
2,57,247,82
2,58,247,83
2,59,247,84
2,60,247,85
2,61,247,86
2,61,247,87
2,63,247,88
2,64,247,89
2,65,247,92
2,66,247,93
2,67,247,94
2,68,247,95
2,69,247,97
2,70,247,100
2,71,247,101
2,72,247,103
2,73,247,106
2,74,247,107
2,75,247,109
2,76,247,110
2,77,247,111
2,78,247,112
2,79,247,114
2,80,247,115
2,81,247,116
2,82,247,117
2,83,247,118
2,84,247,119
2,85,247,121
2,86,247,122
2,87,247,123
2,88,247,123
2,89,247,125
2,90,247,126
2,91,247,126
2,92,247,128
2,93,247,129
2,94,247,130
2,95,247,131
2,96,247,132
2,97,247,133
2,98,247,135
2,99,247,136
2,100,247,139
3,-100,248,167
3,-99,248,166
3,-98,248,165
3,-97,248,164
3,-96,248,161
3,-95,248,160
3,-94,248,159
3,-93,248,158
3,-92,248,157
3,-91,248,156
3,-90,248,154
3,-89,248,148
3,-88,248,147
3,-87,248,146
3,-86,248,145
3,-85,248,144
3,-84,248,143
3,-83,248,142
3,-82,248,141
3,-81,248,140
3,-80,248,139
3,-79,248,138
3,-78,248,137
3,-77,248,136
3,-76,248,135
3,-75,248,134
3,-74,248,133
3,-73,248,132
3,-72,248,131
3,-71,248,130
3,-70,248,129
3,-69,248,128
3,-68,248,127
3,-67,248,126
3,-66,248,125
3,-65,248,123
3,-64,248,122
3,-63,248,121
3,-62,248,119
3,-61,248,118
3,-60,248,115
3,-59,248,114
3,-58,248,113
3,-57,248,112
3,-56,248,111
3,-55,248,110
3,-54,248,109
3,-53,248,107
3,-52,248,106
3,-51,248,105
3,-50,248,104
3,-49,248,103
3,-48,248,100
3,-47,248,99
3,-46,248,98
3,-45,248,97
3,-44,248,96
3,-43,248,95
3,-42,248,94
3,-41,248,93
3,-40,248,90
3,-39,248,89
3,-38,248,86
3,-37,248,84
3,-36,248,83
3,-35,248,82
3,-34,248,81
3,-33,248,80
3,-32,248,79
3,-31,248,78
3,-30,248,77
3,-29,248,76
3,-28,248,75
3,-27,248,74
3,-26,248,73
3,-25,248,72
3,-24,248,71
3,-23,248,70
3,-22,248,69
3,-21,248,68
3,-20,248,67
3,-19,248,65
3,-18,248,63
3,-17,248,62
3,-16,248,61
3,-15,248,60
3,-14,248,59
3,-13,248,58
3,-12,248,57
3,-11,248,56
3,-10,248,54
3,-9,248,53
3,-8,248,52
3,-7,248,50
3,-6,248,49
3,-5,248,15
3,-4,248,14
3,-3,248,11
3,-2,248,9
3,-1,248,2
3,0,248,0
3,1,248,1
3,2,248,6
3,3,248,7
3,4,248,9
3,5,248,10
3,6,248,11
3,7,248,12
3,8,248,13
3,9,248,14
3,10,248,16
3,11,248,17
3,12,248,18
3,13,248,19
3,14,248,20
3,15,248,21
3,16,248,22
3,17,248,25
3,18,248,26
3,19,248,28
3,20,248,30
3,21,248,32
3,22,248,34
3,23,248,38
3,24,248,39
3,25,248,40
3,26,248,41
3,27,248,43
3,28,248,44
3,29,248,45
3,30,248,46
3,31,248,47
3,32,248,50
3,33,248,52
3,34,248,53
3,35,248,54
3,36,248,55
3,37,248,56
3,38,248,58
3,39,248,59
3,40,248,64
3,41,248,67
3,42,248,71
3,43,248,72
3,44,248,73
3,45,248,74
3,46,248,75
3,47,248,76
3,48,248,77
3,49,248,78
3,50,248,79
3,51,248,81
3,52,248,82
3,53,248,83
3,54,248,85
3,55,248,86
3,56,248,87
3,57,248,88
3,58,248,89
3,59,248,90
3,60,248,91
3,61,248,92
3,62,248,93
3,63,248,94
3,64,248,96
3,65,248,99
3,66,248,101
3,67,248,104
3,68,248,105
3,69,248,106
3,70,248,107
3,71,248,108
3,72,248,109
3,73,248,110
3,74,248,111
3,75,248,114
3,76,248,116
3,77,248,118
3,78,248,121
3,79,248,122
3,80,248,123
3,81,248,125
3,82,248,127
3,83,248,128
3,84,248,129
3,85,248,130
3,86,248,131
3,87,248,133
3,88,248,135
3,89,248,136
3,90,248,137
3,91,248,138
3,92,248,139
3,93,248,140
3,94,248,141
3,95,248,145
3,96,248,146
3,97,248,147
3,98,248,148
3,99,248,151
3,100,248,152
4,-100,341,134
4,-99,341,133
4,-98,341,132
4,-97,341,130
4,-96,341,129
4,-94,341,128
4,-93,341,127
4,-93,341,126
4,-92,341,125
4,-91,341,124
4,-90,341,123
4,-89,341,122
4,-88,341,120
4,-87,341,119
4,-86,341,118
4,-85,341,116
4,-84,341,115
4,-83,341,114
4,-82,341,112
4,-81,341,111
4,-80,341,110
4,-79,341,108
4,-78,341,107
4,-77,341,106
4,-76,341,103
4,-75,341,101
4,-74,341,100
4,-73,341,98
4,-72,341,97
4,-71,341,92
4,-70,341,90
4,-69,341,89
4,-68,341,87
4,-67,341,86
4,-66,341,85
4,-65,341,84
4,-64,341,83
4,-63,341,82
4,-62,341,81
4,-61,341,80
4,-60,341,79
4,-59,341,78
4,-57,341,76
4,-57,341,75
4,-56,341,74
4,-55,341,73
4,-54,341,72
4,-53,341,70
4,-52,341,69
4,-51,341,68
4,-50,341,67
4,-49,341,65
4,-48,341,64
4,-46,341,63
4,-46,341,62
4,-45,341,60
4,-44,341,59
4,-43,341,57
4,-42,341,55
4,-41,341,51
4,-40,341,50
4,-39,341,49
4,-38,341,48
4,-37,341,46
4,-36,341,46
4,-35,341,45
4,-34,341,44
4,-33,341,42
4,-32,341,40
4,-31,341,39
4,-30,341,38
4,-28,341,37
4,-28,341,36
4,-27,341,35
4,-26,341,33
4,-25,341,32
4,-24,341,31
4,-23,341,30
4,-22,341,28
4,-21,341,28
4,-20,341,27
4,-19,341,25
4,-18,341,24
4,-17,341,23
4,-16,341,22
4,-15,341,21
4,-14,341,18
4,-13,341,17
4,-12,341,16
4,-11,341,15
4,-10,341,14
4,-9,341,13
4,-8,341,11
4,-7,341,9
4,-6,341,7
4,-5,341,6
4,-4,341,5
4,-3,341,4
4,-2,341,3
4,-1,341,2
4,0,341,0
4,1,341,1
4,2,341,2
4,3,341,3
4,4,341,5
4,5,341,6
4,6,341,7
4,7,341,8
4,8,341,9
4,9,341,10
4,10,341,11
4,11,341,12
4,12,341,13
4,13,341,14
4,14,341,15
4,15,341,17
4,16,341,18
4,17,341,20
4,18,341,21
4,19,341,22
4,20,341,23
4,21,341,25
4,22,341,26
4,23,341,27
4,24,341,28
4,25,341,30
4,26,341,32
4,27,341,33
4,28,341,34
4,28,341,35
4,30,341,36
4,31,341,38
4,32,341,39
4,33,341,40
4,34,341,41
4,35,341,42
4,36,341,43
4,37,341,44
4,38,341,46
4,39,341,48
4,40,341,50
4,41,341,52
4,42,341,53
4,43,341,54
4,44,341,57
4,45,341,60
4,46,341,61
4,46,341,62
4,48,341,63
4,49,341,64
4,50,341,65
4,51,341,66
4,52,341,68
4,53,341,70
4,54,341,72
4,55,341,74
4,56,341,77
4,57,341,78
4,57,341,79
4,59,341,80
4,60,341,81
4,61,341,82
4,62,341,83
4,63,341,88
4,64,341,89
4,65,341,90
4,66,341,92
4,67,341,93
4,68,341,94
4,69,341,97
4,70,341,101
4,71,341,102
4,72,341,103
4,73,341,104
4,74,341,105
4,75,341,106
4,76,341,107
4,77,341,108
4,78,341,109
4,79,341,110
4,80,341,111
4,81,341,113
4,82,341,114
4,83,341,114
4,84,341,115
4,85,341,118
4,86,341,119
4,87,341,120
4,88,341,121
4,89,341,122
4,90,341,124
4,91,341,126
4,92,341,128
4,93,341,130
4,93,341,131
4,94,341,133
4,96,341,134
4,97,341,135
4,98,341,137
4,99,341,138
4,100,341,140
5,-100,293,140
5,-98,293,139
5,-98,293,138
5,-97,293,137
5,-96,293,135
5,-95,293,134
5,-94,293,133
5,-93,293,132
5,-92,293,131
5,-91,293,130
5,-90,293,128
5,-89,293,125
5,-88,293,124
5,-87,293,122
5,-86,293,122
5,-85,293,121
5,-84,293,120
5,-83,293,119
5,-82,293,118
5,-81,293,117
5,-80,293,116
5,-79,293,115
5,-78,293,113
5,-77,293,112
5,-75,293,110
5,-75,293,108
5,-74,293,107
5,-73,293,106
5,-72,293,105
5,-71,293,104
5,-70,293,102
5,-69,293,101
5,-68,293,98
5,-67,293,97
5,-66,293,96
5,-65,293,92
5,-64,293,91
5,-63,293,90
5,-62,293,89
5,-61,293,88
5,-60,293,86
5,-59,293,85
5,-58,293,82
5,-57,293,75
5,-56,293,74
5,-55,293,73
5,-54,293,72
5,-53,293,71
5,-52,293,70
5,-51,293,69
5,-50,293,68
5,-49,293,67
5,-48,293,65
5,-47,293,64
5,-46,293,63
5,-45,293,62
5,-44,293,60
5,-43,293,59
5,-42,293,58
5,-41,293,57
5,-40,293,56
5,-39,293,54
5,-37,293,53
5,-37,293,52
5,-36,293,51
5,-35,293,49
5,-34,293,48
5,-33,293,47
5,-32,293,46
5,-31,293,45
5,-30,293,44
5,-29,293,40
5,-28,293,39
5,-27,293,37
5,-26,293,37
5,-25,293,36
5,-24,293,35
5,-23,293,34
5,-22,293,33
5,-21,293,32
5,-20,293,31
5,-18,293,30
5,-18,293,28
5,-17,293,24
5,-16,293,23
5,-15,293,21
5,-14,293,18
5,-13,293,16
5,-12,293,15
5,-11,293,14
5,-10,293,13
5,-9,293,10
5,-8,293,9
5,-7,293,8
5,-6,293,7
5,-5,293,6
5,-4,293,5
5,-3,293,4
5,-2,293,3
5,-1,293,2
5,0,293,0
5,1,293,75
5,2,293,75
5,3,293,77
5,4,293,78
5,5,293,79
5,6,293,81
5,7,293,86
5,8,293,87
5,9,293,88
5,10,293,89
5,11,293,90
5,12,293,91
5,13,293,92
5,14,293,95
5,15,293,97
5,16,293,98
5,17,293,100
5,18,293,101
5,18,293,102
5,20,293,103
5,21,293,105
5,22,293,107
5,23,293,108
5,24,293,110
5,25,293,113
5,26,293,114
5,27,293,115
5,28,293,116
5,29,293,117
5,30,293,119
5,31,293,120
5,32,293,121
5,33,293,122
5,34,293,125
5,35,293,126
5,36,293,128
5,37,293,129
5,37,293,130
5,39,293,131
5,40,293,132
5,41,293,133
5,42,293,134
5,43,293,135
5,44,293,136
5,45,293,137
5,46,293,138
5,47,293,139
5,48,293,140
5,49,293,141
5,50,293,142
5,51,293,143
5,52,293,144
5,53,293,145
5,54,293,146
5,55,293,148
5,56,293,149
5,57,293,150
5,58,293,151
5,59,293,154
5,60,293,155
5,61,293,157
5,62,293,158
5,63,293,160
5,64,293,161
5,65,293,162
5,66,293,164
5,67,293,165
5,68,293,166
5,69,293,167
5,70,293,168
5,71,293,169
5,72,293,170
5,73,293,172
5,74,293,173
5,75,293,174
5,75,293,175
5,77,293,177
5,78,293,178
5,79,293,180
5,80,293,181
5,81,293,182
5,82,293,183
5,83,293,185
5,84,293,186
5,85,293,188
5,86,293,189
5,87,293,190
5,88,293,191
5,89,293,194
5,90,293,195
5,91,293,196
5,92,293,197
5,93,293,199
5,94,293,200
5,95,293,201
5,96,293,204
5,97,293,205
5,98,293,208
5,98,293,209
5,100,293,210
6,-99,388,133
6,-99,388,132
6,-98,388,130
6,-97,388,128
6,-96,388,127
6,-95,388,126
6,-94,388,125
6,-93,388,122
6,-92,388,120
6,-91,388,119
6,-90,388,117
6,-89,388,117
6,-88,388,116
6,-87,388,115
6,-86,388,114
6,-85,388,113
6,-84,388,111
6,-83,388,111
6,-82,388,110
6,-81,388,109
6,-80,388,108
6,-79,388,107
6,-78,388,105
6,-77,388,105
6,-76,388,104
6,-75,388,102
6,-74,388,99
6,-73,388,99
6,-72,388,98
6,-71,388,97
6,-70,388,96
6,-69,388,95
6,-68,388,94
6,-67,388,93
6,-66,388,92
6,-65,388,91
6,-64,388,89
6,-63,388,84
6,-61,388,83
6,-61,388,82
6,-60,388,80
6,-58,388,79
6,-58,388,77
6,-57,388,76
6,-55,388,75
6,-55,388,74
6,-54,388,73
6,-52,388,71
6,-52,388,70
6,-51,388,69
6,-49,388,67
6,-49,388,65
6,-48,388,64
6,-47,388,63
6,-46,388,61
6,-45,388,61
6,-44,388,60
6,-43,388,58
6,-42,388,57
6,-41,388,55
6,-40,388,55
6,-39,388,52
6,-38,388,52
6,-37,388,51
6,-36,388,49
6,-35,388,48
6,-34,388,45
6,-33,388,44
6,-32,388,43
6,-30,388,42
6,-30,388,40
6,-29,388,39
6,-27,388,38
6,-27,388,37
6,-26,388,36
6,-24,388,35
6,-24,388,33
6,-23,388,30
6,-22,388,29
6,-21,388,27
6,-20,388,27
6,-19,388,24
6,-18,388,23
6,-17,388,22
6,-16,388,21
6,-15,388,20
6,-13,388,18
6,-13,388,16
6,-12,388,13
6,-11,388,13
6,-10,388,12
6,-9,388,11
6,-8,388,10
6,-6,388,9
6,-6,388,8
6,-5,388,6
6,-4,388,6
6,-3,388,5
6,-2,388,3
6,-1,388,2
6,0,388,0
6,1,388,3
6,2,388,4
6,3,388,5
6,4,388,6
6,5,388,9
6,6,388,10
6,6,388,11
6,8,388,12
6,9,388,13
6,10,388,13
6,11,388,17
6,12,388,18
6,13,388,20
6,13,388,21
6,15,388,23
6,16,388,24
6,17,388,24
6,18,388,26
6,19,388,27
6,20,388,27
6,21,388,30
6,22,388,30
6,23,388,32
6,24,388,33
6,24,388,34
6,26,388,35
6,27,388,37
6,27,388,38
6,29,388,39
6,30,388,40
6,30,388,42
6,32,388,44
6,33,388,45
6,34,388,46
6,35,388,47
6,36,388,48
6,37,388,49
6,38,388,52
6,39,388,54
6,40,388,55
6,41,388,55
6,42,388,58
6,43,388,58
6,44,388,61
6,45,388,63
6,46,388,64
6,47,388,65
6,48,388,67
6,49,388,69
6,49,388,71
6,51,388,72
6,52,388,73
6,52,388,74
6,54,388,75
6,55,388,77
6,55,388,78
6,57,388,79
6,58,388,80
6,58,388,81
6,60,388,83
6,61,388,84
6,61,388,85
6,63,388,86
6,64,388,87
6,65,388,88
6,66,388,89
6,67,388,91
6,68,388,92
6,69,388,96
6,70,388,97
6,71,388,98
6,72,388,99
6,73,388,99
6,74,388,103
6,75,388,105
6,76,388,105
6,77,388,108
6,78,388,110
6,79,388,111
6,80,388,113
6,81,388,114
6,82,388,116
6,83,388,117
6,84,388,119
6,85,388,120
6,86,388,122
6,87,388,123
6,88,388,123
6,89,388,126
6,90,388,129
6,91,388,130
6,92,388,131
6,93,388,135
6,94,388,136
6,95,388,137
6,96,388,138
6,97,388,139
6,98,388,141
6,99,388,142
6,99,388,143
7,-99,387,133
7,-99,387,132
7,-98,387,130
7,-97,387,128
7,-96,387,127
7,-95,387,126
7,-94,387,125
7,-93,387,122
7,-92,387,120
7,-91,387,118
7,-90,387,118
7,-89,387,117
7,-88,387,116
7,-87,387,115
