Repeat ID,Extension ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-99,387,133
0,-99,387,132
0,-98,387,130
0,-97,387,128
0,-96,387,127
0,-95,387,126
0,-94,387,125
0,-93,387,122
0,-92,387,120
0,-91,387,118
0,-90,387,118
0,-89,387,117
0,-88,387,116
0,-87,387,115
0,-86,387,114
0,-85,387,113
0,-84,387,111
0,-83,387,111
0,-82,387,110
0,-81,387,109
0,-80,387,108
0,-79,387,106
0,-78,387,106
0,-77,387,105
0,-76,387,104
0,-75,387,102
0,-74,387,99
0,-73,387,99
0,-72,387,98
0,-71,387,97
0,-70,387,96
0,-69,387,95
0,-68,387,94
0,-67,387,93
0,-66,387,92
0,-65,387,91
0,-64,387,89
0,-63,387,84
0,-61,387,83
0,-61,387,82
0,-60,387,80
0,-59,387,79
0,-58,387,77
0,-57,387,76
0,-55,387,75
0,-55,387,74
0,-54,387,73
0,-53,387,71
0,-52,387,70
0,-51,387,69
0,-49,387,67
0,-49,387,65
0,-48,387,64
0,-47,387,63
0,-46,387,61
0,-45,387,61
0,-44,387,60
0,-43,387,59
0,-42,387,57
0,-41,387,55
0,-40,387,55
0,-39,387,53
0,-38,387,52
0,-37,387,51
0,-36,387,49
0,-35,387,48
0,-34,387,45
0,-33,387,44
0,-32,387,43
0,-30,387,42
0,-30,387,40
0,-29,387,39
0,-27,387,38
0,-27,387,37
0,-26,387,36
0,-24,387,35
0,-24,387,33
0,-23,387,30
0,-22,387,29
0,-21,387,27
0,-20,387,27
0,-19,387,24
0,-18,387,23
0,-17,387,22
0,-16,387,21
0,-15,387,20
0,-13,387,18
0,-13,387,16
0,-12,387,13
0,-11,387,13
0,-10,387,12
0,-9,387,11
0,-8,387,10
0,-6,387,9
0,-6,387,8
0,-5,387,6
0,-4,387,6
0,-3,387,5
0,-2,387,3
0,-1,387,2
0,0,387,0
0,1,387,1
0,2,387,2
0,3,387,3
0,4,387,4
0,5,387,5
0,6,387,6
0,6,387,6
0,8,387,10
0,9,387,12
0,10,387,13
0,11,387,13
0,12,387,15
0,13,387,16
0,13,387,17
0,15,387,19
0,16,387,20
0,17,387,21
0,18,387,23
0,19,387,24
0,20,387,27
0,21,387,27
0,22,387,29
0,23,387,30
0,24,387,30
0,24,387,33
0,26,387,34
0,27,387,36
0,27,387,37
0,29,387,38
0,30,387,39
0,30,387,40
0,32,387,41
0,33,387,42
0,34,387,43
0,35,387,45
0,36,387,47
0,37,387,48
0,38,387,51
0,39,387,53
0,40,387,54
0,41,387,55
0,42,387,57
0,43,387,58
0,44,387,59
0,45,387,60
0,46,387,61
0,47,387,61
0,48,387,63
0,49,387,64
0,49,387,66
0,51,387,67
0,52,387,68
0,53,387,69
0,54,387,70
0,55,387,71
0,55,387,72
0,57,387,74
0,58,387,75
0,59,387,76
0,60,387,78
0,61,387,79
0,61,387,80
0,63,387,82
0,64,387,84
0,65,387,86
0,66,387,87
0,67,387,88
0,68,387,89
0,69,387,90
0,70,387,92
0,71,387,94
0,72,387,95
0,73,387,96
0,74,387,97
0,75,387,98
0,76,387,99
0,77,387,101
0,78,387,102
0,79,387,103
0,80,387,104
0,81,387,105
0,82,387,106
0,83,387,108
0,84,387,109
0,85,387,110
0,86,387,111
