Repeat ID,Extension ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-100,62,237
0,-99,62,236
0,-98,62,235
0,-97,62,234
0,-96,62,233
0,-95,62,232
0,-94,62,231
0,-93,62,230
0,-92,62,229
0,-91,62,228
0,-90,62,225
0,-89,62,224
0,-88,62,222
0,-87,62,221
0,-86,62,220
0,-85,62,219
0,-84,62,217
0,-83,62,216
0,-82,62,215
0,-81,62,214
0,-80,62,213
0,-79,62,211
0,-78,62,210
0,-77,62,209
0,-76,62,208
0,-75,62,207
0,-74,62,205
0,-73,62,204
0,-72,62,203
0,-71,62,202
0,-70,62,201
0,-69,62,200
0,-68,62,199
0,-67,62,198
0,-66,62,197
0,-65,62,196
0,-64,62,195
0,-63,62,194
0,-62,62,193
0,-61,62,190
0,-60,62,189
0,-59,62,188
0,-58,62,187
0,-57,62,186
0,-56,62,184
0,-55,62,182
0,-54,62,181
0,-53,62,179
0,-52,62,178
0,-51,62,177
0,-50,62,176
0,-49,62,175
0,-48,62,174
0,-47,62,172
0,-46,62,171
0,-45,62,170
0,-44,62,169
0,-43,62,168
0,-42,62,166
0,-41,62,164
0,-40,62,163
0,-39,62,161
0,-38,62,159
0,-37,62,158
0,-36,62,156
0,-35,62,155
0,-34,62,154
0,-33,62,153
0,-32,62,152
0,-31,62,151
0,-30,62,147
0,-29,62,145
0,-28,62,144
0,-27,62,140
0,-26,62,139
0,-25,62,138
0,-24,62,137
0,-23,62,136
0,-22,62,135
0,-21,62,134
0,-20,62,131
0,-19,62,130
0,-18,62,129
0,-17,62,125
0,-16,62,121
0,-15,62,111
0,-14,62,109
0,-13,62,106
0,-12,62,88
0,-11,62,84
0,-10,62,81
0,-9,62,71
0,-8,62,68
0,-7,62,62
0,-6,62,60
0,-5,62,59
0,-4,62,56
0,-3,62,40
0,-2,62,30
0,-1,62,2
0,0,62,0
0,1,62,1
0,2,62,5
0,3,62,6
0,4,62,7
0,5,62,8
0,6,62,9
0,7,62,10
0,8,62,11
0,9,62,12
0,10,62,13
0,11,62,14
0,12,62,15
0,13,62,16
0,14,62,18
0,15,62,19
0,16,62,20
0,17,62,23
0,18,62,25
0,19,62,26
0,20,62,27
0,21,62,29
0,22,62,30
0,23,62,31
0,24,62,32
0,25,62,33
0,26,62,35
0,27,62,37
0,28,62,40
0,29,62,41
0,30,62,42
0,31,62,43
