repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
227778,4125444,1184,1470,5
227778,4378620,1003,1416,7
227830,4241291,1655,1685,1
229706,4243259,2267,3250,1
231701,4382638,908,1254,3
296439,4011030,1956,1957,1
438857,3727204,1432,1433,1
1056755,4522102,1432,1433,1
1187997,2097127,904,1958,10
1187997,4821852,1954,1960,1
1187999,2841225,875,1190,1
1189187,2843665,768,769,1
2097130,4821855,904,1954,10
2841225,3955733,875,1190,2
2843665,3956921,768,769,1
3157342,4011027,1957,1959,1
3157345,3575185,1954,1955,1
3575182,4011027,1954,1956,1
3955734,4821855,1051,1956,1
4125494,4241289,1184,1420,5
4126920,4420361,1577,3704,17
4127373,4243259,1581,3251,8
4129368,4382638,908,1253,2
4241289,4378670,1003,1366,7
4241294,4418941,874,1682,6
4243259,4420814,3245,3248,1
4382638,4422809,909,1254,2
