repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
125275,244986,24,25,1
136379,139149,60,76,50
136450,139219,29,30,1
136523,139244,40,41,1
136563,139285,22,23,1
136602,139322,34,35,1
139219,136450,29,30,1
139244,136523,40,41,1
139285,136563,22,23,1
139322,136602,34,35,1
173413,670033,39,40,1
190088,438387,21,22,1
208641,208659,24,25,1
208659,208641,24,25,1
244986,125275,24,25,1
259654,375286,22,23,1
375286,259654,22,23,1
430491,608832,21,22,1
438387,190088,21,22,1
445715,584701,436,448,1
608832,430491,21,22,1
609342,688493,21,22,1
649311,649719,30,248,37
670033,173413,39,40,1
688493,609342,21,22,1
723567,992209,22,23,1
746726,851669,23,24,1
799811,826876,21,22,1
826876,799811,21,22,1
838728,207310,21,22,1
851669,746726,23,24,1
896140,777922,21,22,1
967787,1045826,321,328,1
992209,723567,22,23,1
1011357,122980,21,22,1
1011358,475331,21,22,1
1011359,128021,21,22,1
1020178,1020976,78,259,11
1020530,1021319,341,381,1
1081850,70159,21,22,1
