repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
115108,3157341,1954,1957,1
115110,4011028,1955,1962,1
115111,296438,1954,1956,1
115643,339181,487,1422,8
171696,3993049,3757,7448,66
227697,1400283,2130,2809,4
227778,2199745,884,1174,3
228955,2200923,2062,4002,6
230494,1403081,1473,2457,1
296432,981226,1051,1962,1
296436,2094486,771,772,1
296436,2839834,904,1951,10
296439,3748967,1954,1955,1
297202,2096504,875,1193,1
339181,981764,487,1421,9
339181,3749498,487,1421,8
339186,2840373,442,1416,11
339413,2096504,466,1191,9
415363,438832,1365,1475,1
415381,2732494,1362,1433,1
415383,3727199,1362,1435,1
438840,2259699,1364,1456,1
438857,3880735,1362,1430,1
450137,2855512,323,2503,98
514856,2733996,3040,4000,5
514862,3533383,2452,2455,1
517305,3535827,1290,2808,13
518859,2738000,594,1174,6
549834,3581780,809,1183,8
555000,2733969,908,1281,2
555031,3533381,913,1250,2
556983,2735953,618,623,1
556983,3535334,497,504,1
557616,2736585,457,811,6
557616,3535967,398,811,6
558883,3537139,1003,1416,7
559125,2738000,757,1374,12
692344,2733929,3070,3314,2
692415,3533381,2451,2457,1
694860,3535827,531,800,3
695943,3536818,1655,1685,1
696506,2738000,884,1119,1
808295,2733994,1581,3704,21
808300,3533380,1577,2458,7
810746,3535827,536,1253,11
812005,3537085,1184,1470,5
812301,2738000,928,1244,6
925935,2841224,875,1191,1
925940,2097133,904,1948,10
925941,3955738,1051,1945,1
935304,2077316,509,1814,54
960267,2842413,1230,1257,1
981222,3157334,1051,1965,1
981229,3575181,1053,1957,1
1056748,1210279,1362,1435,1
1056754,2204988,1362,1428,1
1187994,1361776,1955,1961,1
1188001,925938,1954,1955,1
1188001,1779623,1954,1955,1
1210284,2677772,1362,1437,1
1361780,2097128,904,1954,10
1361780,2841224,875,1191,1
1779620,2097128,904,1959,10
1779620,2841224,875,1191,1
1783319,2842417,1230,1244,1
2204986,2677771,1362,1443,1
2843665,927124,768,769,1
2843665,1362969,768,769,1
2843665,1780809,768,769,1
3575185,115112,1954,1955,1
3957864,156397,357,358,1
