repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
467454,940482,754,1122,7
665327,667961,397,417,1
675518,676799,1197,1203,1
742554,743605,387,407,1
995984,1371962,3478,4183,5
999987,1375973,162,177,1
1000000,1376074,222,375,15
1000003,1376037,154,185,1
1114056,1115391,515,536,1
1152126,1405558,2122,2155,1
1209770,1209824,195,196,1
1371209,1371230,212,231,1
1371209,1371258,184,199,1
1371210,1371266,177,191,1
1371210,1371273,170,184,1
1371210,1371280,163,177,1
1371210,1371287,156,170,1
1371210,1371294,149,163,1
1371211,1371218,226,237,1
1371215,1371250,198,208,1
1371216,1371244,205,220,1
1371227,1371241,219,220,1
1371241,1371227,219,220,1
1375967,1375975,157,286,3
