Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,0,193,193
0,1,193,194
0,2,193,196
0,3,193,197
0,4,193,198
0,5,193,199
0,6,193,199
0,7,193,200
0,8,193,202
0,9,193,203
0,10,193,204
0,11,193,205
0,12,193,208
0,13,193,210
0,14,193,211
0,15,193,211
0,16,193,215
0,17,193,216
0,18,193,217
0,19,193,218
0,20,193,220
0,21,193,221
0,22,193,223
0,23,193,224
0,24,193,226
0,25,193,228
0,26,193,230
0,27,193,231
0,28,193,232
0,29,193,233
0,30,193,235
0,31,193,236
0,32,193,238
0,33,193,240
0,34,193,241
0,35,193,244
0,36,193,245
0,37,193,247
0,38,193,247
0,39,193,248
0,40,193,251
0,41,193,254
0,42,193,255
0,43,193,256
0,44,193,258
0,45,193,259
0,46,193,260
0,47,193,261
0,48,193,262
0,49,193,264
0,50,193,265
1,0,178,178
1,1,178,191
1,2,178,210
1,3,178,210
1,4,178,214
1,5,178,215
1,6,178,216
1,7,178,217
1,8,178,218
1,9,178,219
1,10,178,219
1,11,178,221
1,12,178,222
1,13,178,223
1,14,178,224
1,15,178,225
1,16,178,226
1,17,178,228
1,18,178,229
1,19,178,230
1,20,178,231
1,21,178,232
1,22,178,234
1,23,178,235
1,24,178,237
1,25,178,238
1,26,178,239
1,27,178,240
1,28,178,241
1,29,178,242
1,30,178,244
1,31,178,245
1,32,178,248
1,33,178,250
1,34,178,251
1,35,178,251
1,36,178,253
1,37,178,254
1,38,178,255
1,39,178,256
1,40,178,257
1,41,178,258
1,42,178,259
1,43,178,260
1,44,178,261
1,45,178,262
1,46,178,263
1,47,178,264
1,48,178,265
1,49,178,266
1,50,178,268
2,0,247,247
2,1,247,253
2,2,247,256
2,3,247,259
2,4,247,260
2,5,247,294
2,6,247,295
2,7,247,297
2,8,247,298
2,9,247,299
2,10,247,300
2,11,247,302
2,12,247,303
2,13,247,305
2,14,247,306
2,15,247,308
2,16,247,309
2,17,247,310
