repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
20336,2059842,366,1501,10
26862,258562,1666,1686,2
26864,116460,1667,1679,2
26864,1066403,1278,1300,2
28144,1067684,388,401,2
56658,469133,1424,2106,4
56700,447008,5321,5518,3
59003,471230,3313,3324,2
116450,1066393,1278,1310,2
116455,258559,1670,1690,2
117740,1067684,388,406,2
151587,1805121,481,1849,25
192148,1060823,1018,1221,3
192149,850633,465,1218,5
205273,1906836,335,1555,56
205274,1570116,313,2123,90
205276,1399363,478,2135,14
246968,734544,1674,1691,2
246969,514568,1672,1689,2
258561,1066400,1278,1303,2
259844,1067684,387,408,2
299626,1511833,1453,1495,2
299631,1308649,1453,1482,2
299640,507781,733,1498,30
299641,643589,1037,1468,4
377312,599607,1761,1869,4
377317,784975,1757,1869,4
377325,994124,1835,1868,2
430814,1088872,609,1695,12
430826,478079,759,1682,8
447011,469178,1424,2061,3
449311,471230,3027,3208,3
467275,542258,1660,1704,2
467286,1371925,1659,1685,2
478070,1088875,1169,3130,11
507772,643579,978,1191,3
507782,1308659,733,1181,5
507784,1511850,733,1179,5
514564,734541,1670,1697,2
542269,1371925,1659,1681,2
599617,784980,1833,1872,2
599690,994194,1757,1793,2
643583,1308653,1037,1479,4
643589,1511848,1037,1473,4
742094,1906838,326,1692,13
742095,1399363,454,1558,57
742099,1570122,395,1553,39
785053,994194,1759,1792,2
850637,1060828,465,1206,6
954196,1814506,1451,1483,2
1069840,1782557,1187,1211,2
1069851,1945608,466,1209,5
1073041,1465309,2256,2284,2
1073043,1811136,2219,2277,2
1119570,1521770,1666,1688,2
1308652,1511841,1452,1485,2
1399357,1570112,567,2137,91
1399374,1906850,580,1541,55
1465314,1811139,2220,2272,2
1570119,1906840,335,1551,36
1782563,1945603,465,1218,5
