repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
9184,28978,3901,5171,2
11171,84060,2336,2999,2
11171,147124,2305,3026,2
11171,247844,2342,3000,2
11171,268423,2285,2999,2
11171,291694,2342,3000,2
30965,84060,2336,2999,2
30965,147124,2305,3026,2
30965,247844,2342,3000,2
30965,268423,2285,2999,2
30965,291694,2342,3000,2
82318,266681,4651,4893,2
82391,145455,2309,4668,7
82391,246175,4647,4816,1
82391,280052,2603,4696,2
82391,290025,3491,4696,1
145344,289914,2305,4778,11
145415,246135,2305,4707,7
145455,266754,2254,4663,7
246135,280012,2603,4739,2
246137,289987,3529,4737,1
246175,266754,4596,4818,1
266754,280052,2603,4699,3
266754,290025,3440,4699,2
279861,289834,2603,5014,17
