Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,0,1195,1195
0,1,1195,1195
0,2,1195,1198
0,3,1195,1199
0,4,1195,1200
0,5,1195,1201
0,6,1195,1202
0,7,1195,1203
0,8,1195,1206
0,9,1195,1207
0,10,1195,1208
0,11,1195,1209
0,12,1195,1210
0,13,1195,1211
0,14,1195,1211
0,15,1195,1213
0,16,1195,1215
0,17,1195,1218
0,18,1195,1220
0,19,1195,1222
0,20,1195,1226
0,21,1195,1227
0,22,1195,1228
0,23,1195,1229
0,24,1195,1230
0,25,1195,1232
0,26,1195,1233
0,27,1195,1236
0,28,1195,1236
0,29,1195,1238
0,30,1195,1239
0,31,1195,1240
0,32,1195,1241
0,33,1195,1242
0,34,1195,1243
0,35,1195,1244
0,36,1195,1245
0,37,1195,1248
0,38,1195,1249
0,39,1195,1250
0,40,1195,1251
0,41,1195,1252
0,42,1195,1254
0,43,1195,1255
0,44,1195,1259
0,45,1195,1260
0,46,1195,1261
0,47,1195,1261
0,48,1195,1263
0,49,1195,1264
0,50,1195,1265
1,0,1195,1195
1,1,1195,1195
1,2,1195,1197
1,3,1195,1198
1,4,1195,1199
1,5,1195,1200
1,6,1195,1201
1,7,1195,1202
1,8,1195,1203
1,9,1195,1204
1,10,1195,1210
1,11,1195,1211
1,12,1195,1211
1,13,1195,1214
1,14,1195,1215
1,15,1195,1217
1,16,1195,1218
1,17,1195,1220
1,18,1195,1220
1,19,1195,1222
1,20,1195,1223
1,21,1195,1224
1,22,1195,1225
1,23,1195,1226
1,24,1195,1227
1,25,1195,1229
1,26,1195,1230
1,27,1195,1232
1,28,1195,1233
1,29,1195,1234
1,30,1195,1236
1,31,1195,1238
1,32,1195,1241
1,33,1195,1242
1,34,1195,1243
1,35,1195,1244
1,36,1195,1245
1,37,1195,1247
1,38,1195,1248
1,39,1195,1249
1,40,1195,1250
1,41,1195,1251
1,42,1195,1252
1,43,1195,1253
1,44,1195,1254
1,45,1195,1255
1,46,1195,1260
1,47,1195,1261
1,48,1195,1261
1,49,1195,1263
1,50,1195,1264
2,0,1195,1195
2,1,1195,1195
2,2,1195,1197
2,3,1195,1199
2,4,1195,1201
2,5,1195,1202
2,6,1195,1203
2,7,1195,1204
2,8,1195,1205
2,9,1195,1206
2,10,1195,1208
2,11,1195,1209
2,12,1195,1211
2,13,1195,1213
2,14,1195,1214
2,15,1195,1215
2,16,1195,1216
2,17,1195,1217
2,18,1195,1218
2,19,1195,1219
2,20,1195,1220
2,21,1195,1222
2,22,1195,1223
2,23,1195,1224
2,24,1195,1226
2,25,1195,1227
2,26,1195,1229
2,27,1195,1230
2,28,1195,1231
2,29,1195,1232
2,30,1195,1234
2,31,1195,1236
2,32,1195,1236
2,33,1195,1238
2,34,1195,1239
2,35,1195,1240
2,36,1195,1241
2,37,1195,1242
2,38,1195,1243
2,39,1195,1244
2,40,1195,1245
2,41,1195,1247
2,42,1195,1248
2,43,1195,1249
2,44,1195,1250
2,45,1195,1252
2,46,1195,1253
2,47,1195,1254
2,48,1195,1257
2,49,1195,1258
2,50,1195,1259
3,0,1195,1195
3,1,1195,1195
3,2,1195,1197
3,3,1195,1198
3,4,1195,1199
3,5,1195,1200
3,6,1195,1201
3,7,1195,1202
3,8,1195,1203
3,9,1195,1204
3,10,1195,1205
3,11,1195,1206
3,12,1195,1207
3,13,1195,1208
3,14,1195,1209
3,15,1195,1210
3,16,1195,1211
3,17,1195,1211
3,18,1195,1213
3,19,1195,1215
3,20,1195,1216
3,21,1195,1217
3,22,1195,1218
3,23,1195,1219
3,24,1195,1220
3,25,1195,1220
3,26,1195,1222
3,27,1195,1224
3,28,1195,1225
3,29,1195,1226
3,30,1195,1227
3,31,1195,1228
3,32,1195,1230
3,33,1195,1231
3,34,1195,1233
3,35,1195,1234
3,36,1195,1235
3,37,1195,1236
3,38,1195,1238
3,39,1195,1239
3,40,1195,1240
3,41,1195,1241
3,42,1195,1242
3,43,1195,1245
3,44,1195,1245
3,45,1195,1247
3,46,1195,1248
3,47,1195,1249
3,48,1195,1250
3,49,1195,1254
3,50,1195,1255
4,0,1195,1195
4,1,1195,1195
4,2,1195,1197
4,3,1195,1198
4,4,1195,1199
4,5,1195,1200
4,6,1195,1201
4,7,1195,1202
4,8,1195,1203
4,9,1195,1204
4,10,1195,1205
4,11,1195,1207
4,12,1195,1210
4,13,1195,1211
4,14,1195,1211
4,15,1195,1213
4,16,1195,1215
4,17,1195,1216
4,18,1195,1217
4,19,1195,1218
4,20,1195,1219
4,21,1195,1220
4,22,1195,1220
4,23,1195,1222
4,24,1195,1223
4,25,1195,1226
4,26,1195,1227
4,27,1195,1228
4,28,1195,1231
4,29,1195,1232
4,30,1195,1233
4,31,1195,1234
4,32,1195,1235
4,33,1195,1236
4,34,1195,1236
4,35,1195,1238
4,36,1195,1239
4,37,1195,1243
4,38,1195,1244
4,39,1195,1245
4,40,1195,1247
4,41,1195,1248
4,42,1195,1249
4,43,1195,1250
4,44,1195,1251
4,45,1195,1252
4,46,1195,1253
4,47,1195,1254
4,48,1195,1255
4,49,1195,1259
4,50,1195,1261
5,0,1195,1195
5,1,1195,1195
5,2,1195,1197
5,3,1195,1198
5,4,1195,1199
5,5,1195,1200
5,6,1195,1201
5,7,1195,1202
5,8,1195,1203
5,9,1195,1204
5,10,1195,1205
5,11,1195,1206
5,12,1195,1208
5,13,1195,1209
5,14,1195,1210
5,15,1195,1211
5,16,1195,1215
5,17,1195,1216
5,18,1195,1217
5,19,1195,1220
