repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
227745,4125411,1184,1513,8
227746,4378588,1003,1462,10
229542,4380479,908,3417,36
229699,4243252,2267,3263,3
230363,4381301,618,647,2
296964,339175,487,1436,10
339175,3157870,487,1432,10
339175,3575710,487,1436,10
1056745,2677764,1432,1448,2
1187991,2841217,875,1214,3
2097120,2841216,406,1215,8
2732490,3727193,1433,1448,2
2841216,4821845,876,1201,3
2841217,3955725,875,1200,4
2843656,3956912,768,782,2
2843656,4823033,768,791,2
3157337,4011022,1957,1973,2
3955725,4821846,1051,1975,3
4125480,4241275,1184,1717,17
4127209,4380479,908,3418,29
4127366,4243252,1581,3264,10
4128030,4381301,618,650,2
4128657,4381929,511,1973,17
4243916,4381301,618,647,2
4382625,4422796,909,1291,4
