repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
227613,4418721,3353,5344,11
227778,4125444,1184,1470,5
227778,4378620,1003,1416,7
229253,4126920,1074,3721,18
229555,4380492,704,811,3
229706,4243259,2267,3250,1
230375,4381313,618,623,1
231701,4382638,908,1254,3
296432,3157338,1956,1963,1
296436,3575182,1954,1960,1
296439,4011030,1956,1957,1
296970,339181,487,1423,8
339181,3157876,487,1417,8
339181,3575716,487,1424,8
339181,4011561,487,1424,8
438848,2732492,1433,1437,1
438857,3727204,1432,1433,1
1056750,2677769,1432,1435,1
1056755,4522102,1432,1433,1
1187995,3955729,1052,1963,1
1187997,2097127,904,1958,10
1187997,4821852,1954,1960,1
1187999,2841225,875,1190,1
1189187,2843665,768,769,1
1533074,3780578,413,1438,23
1757754,1759731,348,621,7
2031027,2036680,732,1300,2
2097124,2841220,406,1195,6
2097127,3955731,470,1957,11
2097130,4821855,904,1954,10
2116470,4021749,412,755,11
2677766,4522094,1434,1453,1
2732500,3727203,1433,1434,1
2734001,3533382,2451,2456,1
2736445,3535827,531,1551,6
2738000,3537381,884,1174,3
2841222,4821851,876,1193,1
2841225,3955733,875,1190,2
2843665,3956921,768,769,1
2843668,4823045,768,771,1
3154357,3977405,1250,1252,1
3157342,4011027,1957,1959,1
3157345,3575185,1954,1955,1
3575182,4011027,1954,1956,1
3955734,4821855,1051,1956,1
3958333,4745273,460,901,7
4016868,4830123,432,3826,65
4125374,4378550,1003,1486,6
4125444,4418886,739,1470,2
4125494,4241289,1184,1420,5
4126920,4420361,1577,3704,17
4127222,4380492,398,811,4
4127373,4243259,1581,3251,8
4128042,4381313,618,623,1
4128670,4381942,511,690,8
4129368,4382638,908,1253,2
4241289,4378670,1003,1366,7
4241294,4418941,874,1682,6
4243258,4380642,662,663,1
4243259,4420814,3245,3248,1
4243928,4381313,618,623,1
4245254,4382638,908,1279,2
4378620,4418886,579,1416,8
4380492,4420663,704,811,3
4381313,4421483,618,623,1
4382638,4422809,909,1254,2
