repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
380466,1301021,1331,1361,2
380476,3184744,1331,1357,2
607214,2519703,1345,1377,2
1469610,3742919,1331,1357,2
1469613,2995006,1334,1363,2
2071064,2995003,1331,1361,2
2724707,3464907,3027,3165,3
2724711,3689848,1365,3160,23
2724712,3423510,1742,3158,11
2727863,3468072,1289,2184,26
2728207,3599544,1283,1840,12
2728208,3426929,1283,1777,10
2728209,3693269,1283,1837,11
2994997,3742913,1333,1356,2
3423502,3464904,1744,3421,17
3423511,3689850,1507,5212,24
3426924,3468412,1566,1799,3
3426935,3599551,1358,1788,4
3468415,3693266,1330,1980,11
3599557,3693280,1336,1969,12
