Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-31,768,48
0,-30,768,47
0,-29,768,44
0,-28,768,43
0,-27,768,40
0,-26,768,38
0,-25,768,37
0,-24,768,36
0,-23,768,35
0,-22,768,34
0,-21,768,30
0,-20,768,28
0,-19,768,27
0,-18,768,25
0,-17,768,24
0,-16,768,22
0,-15,768,17
0,-14,768,16
0,-13,768,15
0,-12,768,14
0,-11,768,13
0,-10,768,12
0,-9,768,11
0,-8,768,9
0,-7,768,8
0,-6,768,7
0,-5,768,6
0,-4,768,5
0,-3,768,3
0,-2,768,2
0,-1,768,1
0,0,768,0
0,1,768,0
0,2,768,2
0,3,768,3
0,4,768,4
0,5,768,5
0,6,768,6
0,7,768,8
0,8,768,9
0,9,768,10
0,10,768,11
0,11,768,13
0,12,768,15
0,13,768,16
0,14,768,17
0,15,768,18
0,16,768,19
0,17,768,20
0,18,768,24
0,19,768,25
0,20,768,27
0,21,768,28
0,22,768,30
0,23,768,31
0,24,768,32
0,25,768,35
0,26,768,36
0,27,768,37
0,28,768,40
0,29,768,41
0,30,768,44
0,31,768,45
1,-31,768,48
1,-30,768,47
1,-29,768,44
1,-28,768,43
1,-27,768,40
1,-26,768,38
1,-25,768,37
1,-24,768,36
1,-23,768,35
1,-22,768,34
1,-21,768,30
1,-20,768,28
1,-19,768,27
1,-18,768,25
1,-17,768,24
1,-16,768,22
1,-15,768,17
1,-14,768,16
1,-13,768,15
1,-12,768,14
1,-11,768,13
1,-10,768,12
1,-9,768,11
1,-8,768,9
1,-7,768,8
1,-6,768,7
1,-5,768,6
1,-4,768,5
1,-3,768,3
1,-2,768,2
1,-1,768,1
1,0,768,0
1,1,768,0
1,2,768,3
1,3,768,5
1,4,768,6
1,5,768,7
1,6,768,10
1,7,768,11
1,8,768,12
1,9,768,14
1,10,768,15
1,11,768,18
1,12,768,21
1,13,768,22
1,14,768,25
1,15,768,27
1,16,768,28
1,17,768,29
1,18,768,32
1,19,768,34
1,20,768,37
1,21,768,39
1,22,768,41
1,23,768,42
1,24,768,43
1,25,768,44
1,26,768,47
1,27,768,48
1,28,768,49
1,29,768,52
1,30,768,53
1,31,768,54
2,-31,768,51
2,-30,768,50
2,-29,768,49
2,-28,768,48
2,-27,768,47
2,-26,768,41
2,-25,768,40
2,-24,768,38
2,-23,768,37
2,-22,768,36
2,-21,768,35
2,-20,768,33
2,-19,768,30
2,-18,768,29
2,-17,768,26
2,-16,768,25
2,-15,768,24
2,-14,768,23
2,-13,768,22
2,-12,768,18
2,-11,768,16
2,-10,768,15
2,-9,768,14
2,-8,768,13
2,-7,768,12
2,-6,768,6
2,-5,768,5
2,-4,768,4
2,-3,768,3
2,-2,768,2
2,-1,768,1
2,0,768,0
2,1,768,0
2,2,768,1
2,3,768,2
2,4,768,4
2,5,768,5
2,6,768,6
2,7,768,7
2,8,768,10
2,9,768,13
2,10,768,16
2,11,768,17
2,12,768,18
2,13,768,19
2,14,768,20
2,15,768,21
2,16,768,23
