repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
227771,4378613,1003,1795,32
227772,4241233,1655,1753,3
229245,4126912,1074,3839,23
229542,4380479,908,3417,36
229699,4243252,2267,3263,3
296426,3157332,1956,1975,2
296429,3575175,1954,1977,2
296433,4011024,1956,1976,2
1187988,2097118,904,1975,12
1187988,4821843,1954,1979,2
2097122,4821847,904,1972,12
3157334,3575174,1954,1979,2
3157337,4011022,1957,1973,2
3575170,4011015,1954,1979,2
3955725,4821846,1051,1975,3
4125222,4378398,1003,2007,43
4125436,4418877,1577,5198,25
4126912,4420353,1577,3713,18
4127366,4243252,1581,3264,10
4241233,4418880,874,1753,10
4243247,4420802,3245,3278,2
4243248,4380632,908,3293,32
4380479,4420650,909,3416,35
