Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-47,1195,165
0,-46,1195,163
0,-45,1195,163
0,-44,1195,161
0,-43,1195,160
0,-42,1195,158
0,-40,1195,155
0,-40,1195,152
0,-39,1195,151
0,-38,1195,150
0,-37,1195,149
0,-36,1195,148
0,-35,1195,145
0,-34,1195,142
0,-33,1195,140
0,-31,1195,138
0,-31,1195,137
0,-30,1195,135
0,-29,1195,134
0,-28,1195,131
0,-27,1195,130
0,-25,1195,127
0,-25,1195,127
0,-24,1195,126
0,-23,1195,125
0,-22,1195,121
0,-21,1195,120
0,-20,1195,117
0,-19,1195,114
0,-18,1195,110
0,-17,1195,109
0,-15,1195,100
0,-15,1195,19
0,-14,1195,18
0,-12,1195,17
0,-12,1195,15
0,-11,1195,14
0,-10,1195,12
0,-9,1195,12
0,-7,1195,11
0,-7,1195,10
0,-6,1195,7
0,-5,1195,6
0,-3,1195,5
0,-3,1195,3
0,-1,1195,1
0,0,1195,0
0,0,1195,0
0,0,1195,0
0,1,1195,0
0,3,1195,1
0,3,1195,5
0,5,1195,6
0,6,1195,7
0,7,1195,7
0,7,1195,10
0,9,1195,11
0,10,1195,12
0,11,1195,14
0,12,1195,15
0,12,1195,17
0,14,1195,19
0,15,1195,20
0,15,1195,22
0,17,1195,24
0,18,1195,25
0,19,1195,28
0,20,1195,29
0,21,1195,30
0,22,1195,36
0,23,1195,38
0,24,1195,39
0,25,1195,43
0,25,1195,44
0,27,1195,45
0,28,1195,47
0,29,1195,48
0,30,1195,50
0,31,1195,53
0,31,1195,55
0,33,1195,56
0,34,1195,57
0,35,1195,58
0,36,1195,59
0,37,1195,61
0,38,1195,63
0,39,1195,63
0,40,1195,69
0,40,1195,70
0,42,1195,71
0,43,1195,75
0,44,1195,76
0,45,1195,77
0,46,1195,79
0,47,1195,80
0,48,1195,80
0,49,1195,83
0,50,1195,85
0,51,1195,86
0,51,1195,88
0,53,1195,92
0,54,1195,94
0,55,1195,98
0,56,1195,100
1,-47,1195,163
1,-46,1195,163
1,-45,1195,160
1,-44,1195,158
1,-43,1195,157
1,-42,1195,151
1,-40,1195,150
1,-40,1195,149
1,-39,1195,148
1,-38,1195,147
1,-37,1195,146
1,-36,1195,145
1,-35,1195,140
1,-34,1195,139
1,-33,1195,138
1,-31,1195,137
1,-31,1195,135
1,-30,1195,134
1,-29,1195,132
1,-28,1195,127
1,-27,1195,126
1,-25,1195,123
1,-25,1195,122
1,-24,1195,120
1,-23,1195,119
1,-22,1195,115
1,-21,1195,114
1,-20,1195,112
1,-19,1195,110
1,-18,1195,109
1,-17,1195,108
1,-15,1195,101
1,-15,1195,19
1,-14,1195,18
1,-12,1195,17
1,-12,1195,15
1,-11,1195,14
1,-10,1195,12
1,-9,1195,12
1,-7,1195,11
1,-7,1195,10
1,-6,1195,7
1,-5,1195,6
1,-3,1195,5
1,-3,1195,3
1,-1,1195,1
1,0,1195,0
1,0,1195,0
1,0,1195,0
1,1,1195,0
1,3,1195,1
1,3,1195,5
1,5,1195,6
1,6,1195,7
1,7,1195,7
1,7,1195,10
1,9,1195,11
1,10,1195,12
1,11,1195,14
1,12,1195,15
1,12,1195,17
1,14,1195,19
1,15,1195,20
1,15,1195,22
1,17,1195,24
1,18,1195,25
1,19,1195,28
1,20,1195,29
1,21,1195,30
1,22,1195,36
1,23,1195,38
1,24,1195,39
1,25,1195,43
1,25,1195,44
1,27,1195,45
1,28,1195,47
1,29,1195,48
1,30,1195,50
1,31,1195,53
1,31,1195,55
1,33,1195,56
1,34,1195,57
1,35,1195,58
1,36,1195,59
1,37,1195,61
1,38,1195,63
1,39,1195,63
1,40,1195,69
1,40,1195,70
1,42,1195,71
1,43,1195,75
1,44,1195,76
1,45,1195,77
1,46,1195,79
1,47,1195,80
1,48,1195,80
1,49,1195,83
1,50,1195,85
1,51,1195,86
1,51,1195,88
1,53,1195,92
1,54,1195,94
1,55,1195,98
1,56,1195,100
2,-47,1195,156
2,-46,1195,155
2,-45,1195,154
2,-44,1195,153
2,-43,1195,152
2,-42,1195,151
2,-40,1195,150
2,-40,1195,148
2,-39,1195,146
2,-38,1195,145
2,-37,1195,144
2,-36,1195,142
2,-35,1195,141
2,-34,1195,140
2,-33,1195,139
2,-31,1195,136
2,-31,1195,132
2,-30,1195,131
2,-29,1195,130
2,-28,1195,129
2,-27,1195,127
2,-25,1195,127
2,-25,1195,125
2,-24,1195,123
2,-23,1195,122
2,-22,1195,121
2,-21,1195,115
2,-20,1195,112
2,-19,1195,111
2,-18,1195,108
2,-17,1195,107
2,-15,1195,100
2,-15,1195,19
2,-14,1195,18
2,-12,1195,17
2,-12,1195,15
2,-11,1195,14
2,-10,1195,12
2,-9,1195,12
2,-7,1195,11
2,-7,1195,10
2,-6,1195,7
2,-5,1195,6
2,-3,1195,5
2,-3,1195,3
2,-1,1195,1
2,0,1195,0
2,0,1195,0
2,0,1195,0
2,1,1195,0
2,3,1195,1
2,3,1195,5
2,5,1195,6
2,6,1195,7
2,7,1195,7
2,7,1195,10
2,9,1195,11
2,10,1195,12
2,11,1195,14
2,12,1195,15
2,12,1195,17
2,14,1195,19
2,15,1195,20
2,15,1195,22
2,17,1195,24
2,18,1195,25
2,19,1195,28
2,20,1195,29
2,21,1195,30
2,22,1195,36
2,23,1195,38
2,24,1195,39
2,25,1195,43
2,25,1195,44
2,27,1195,45
2,28,1195,47
2,29,1195,48
2,30,1195,50
2,31,1195,53
2,31,1195,55
2,33,1195,56
2,34,1195,57
2,35,1195,58
2,36,1195,59
2,37,1195,61
2,38,1195,63
2,39,1195,63
2,40,1195,69
2,40,1195,70
2,42,1195,71
2,43,1195,75
2,44,1195,76
2,45,1195,77
2,46,1195,79
2,47,1195,80
2,48,1195,80
2,49,1195,83
2,50,1195,85
2,51,1195,86
2,51,1195,88
2,53,1195,92
2,54,1195,94
2,55,1195,98
2,56,1195,100
3,-47,1195,168
3,-46,1195,167
3,-45,1195,166
3,-44,1195,165
