Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-31,357,56
0,-30,357,56
0,-29,357,55
0,-28,357,53
0,-26,357,52
0,-26,357,49
0,-25,357,45
0,-24,357,45
0,-22,357,42
0,-22,357,40
0,-21,357,39
0,-20,357,38
0,-19,357,37
0,-18,357,33
0,-17,357,32
0,-16,357,31
0,-15,357,30
0,-14,357,29
0,-13,357,28
0,-12,357,26
0,-11,357,21
0,-10,357,15
0,-9,357,14
0,-8,357,13
0,-7,357,10
0,-6,357,8
0,-5,357,7
0,-4,357,4
0,-3,357,3
0,-2,357,2
0,-1,357,1
0,0,357,0
0,1,357,0
0,2,357,1
0,3,357,2
0,4,357,3
0,5,357,4
0,6,357,7
0,7,357,9
0,8,357,10
0,9,357,12
0,10,357,15
0,11,357,17
0,12,357,18
0,13,357,19
0,14,357,21
0,15,357,22
0,16,357,24
0,17,357,25
0,18,357,26
0,19,357,28
0,20,357,34
0,21,357,35
0,22,357,38
0,22,357,39
0,24,357,43
0,25,357,45
0,26,357,48
0,26,357,49
0,28,357,50
0,29,357,51
0,30,357,52
0,31,357,53
1,-31,618,54
1,-30,618,53
1,-29,618,49
1,-28,618,47
1,-27,618,47
1,-26,618,45
1,-25,618,44
1,-23,618,42
1,-23,618,40
1,-22,618,38
1,-21,618,37
1,-20,618,36
1,-19,618,34
1,-18,618,33
1,-17,618,31
1,-16,618,29
1,-15,618,28
1,-14,618,27
1,-13,618,25
1,-11,618,23
1,-11,618,22
1,-10,618,21
1,-9,618,17
1,-8,618,16
1,-7,618,15
1,-5,618,10
1,-5,618,9
1,-4,618,7
1,-2,618,4
1,-2,618,2
1,-1,618,2
1,0,618,0
1,1,618,0
1,2,618,2
1,2,618,2
1,4,618,4
1,5,618,9
1,5,618,11
1,7,618,11
1,8,618,13
1,9,618,14
1,10,618,17
1,11,618,18
1,11,618,19
1,13,618,20
1,14,618,21
1,15,618,23
1,16,618,25
1,17,618,26
1,18,618,27
1,19,618,28
1,20,618,34
1,21,618,36
1,22,618,39
1,23,618,40
1,23,618,41
1,25,618,43
1,26,618,45
1,27,618,46
1,28,618,51
1,29,618,52
1,30,618,53
1,31,618,54
2,-31,768,48
2,-30,768,47
2,-29,768,44
2,-28,768,43
2,-27,768,40
2,-26,768,38
2,-25,768,37
2,-24,768,36
2,-23,768,35
2,-22,768,34
2,-21,768,30
2,-20,768,28
2,-19,768,27
2,-18,768,25
2,-17,768,24
2,-16,768,22
2,-15,768,17
2,-14,768,16
2,-13,768,15
2,-12,768,14
2,-11,768,13
2,-10,768,12
2,-9,768,11
2,-8,768,9
2,-7,768,8
2,-6,768,7
2,-5,768,6
2,-4,768,5
2,-3,768,3
2,-2,768,2
2,-1,768,1
2,0,768,0
2,1,768,0
2,2,768,1
2,3,768,2
2,4,768,4
2,5,768,5
2,6,768,6
2,7,768,7
2,8,768,10
2,9,768,12
2,10,768,13
2,11,768,14
2,12,768,15
2,13,768,17
2,14,768,18
2,15,768,19
2,16,768,21
2,17,768,23
2,18,768,27
2,19,768,28
2,20,768,29
2,21,768,30
2,22,768,31
2,23,768,32
2,24,768,33
2,25,768,36
2,26,768,37
2,27,768,39
2,28,768,40
2,29,768,42
2,30,768,43
2,31,768,44
3,-31,768,48
3,-30,768,47
3,-29,768,44
3,-28,768,43
3,-27,768,40
3,-26,768,38
3,-25,768,37
3,-24,768,36
3,-23,768,35
3,-22,768,34
3,-21,768,30
3,-20,768,28
3,-19,768,27
3,-18,768,25
3,-17,768,24
3,-16,768,22
3,-15,768,17
3,-14,768,16
3,-13,768,15
3,-12,768,14
3,-11,768,13
3,-10,768,12
3,-9,768,11
3,-8,768,9
3,-7,768,8
3,-6,768,7
3,-5,768,6
3,-4,768,5
3,-3,768,3
3,-2,768,2
3,-1,768,1
3,0,768,0
3,1,768,0
3,2,768,1
3,3,768,4
3,4,768,5
3,5,768,6
3,6,768,7
3,7,768,9
3,8,768,10
3,9,768,11
3,10,768,12
3,11,768,15
3,12,768,16
3,13,768,18
3,14,768,19
3,15,768,20
3,16,768,21
3,17,768,23
3,18,768,24
3,19,768,26
3,20,768,27
3,21,768,28
3,22,768,29
3,23,768,30
3,24,768,31
3,25,768,32
3,26,768,33
3,27,768,34
3,28,768,37
3,29,768,38
3,30,768,42
3,31,768,45
4,-31,768,48
4,-30,768,47
4,-29,768,44
4,-28,768,43
4,-27,768,40
4,-26,768,38
4,-25,768,37
4,-24,768,36
4,-23,768,35
4,-22,768,34
4,-21,768,30
4,-20,768,28
4,-19,768,27
4,-18,768,25
4,-17,768,24
4,-16,768,22
4,-15,768,17
4,-14,768,16
4,-13,768,15
4,-12,768,14
4,-11,768,13
4,-10,768,12
4,-9,768,11
4,-8,768,9
4,-7,768,8
4,-6,768,7
4,-5,768,6
4,-4,768,5
4,-3,768,3
4,-2,768,2
4,-1,768,1
4,0,768,0
4,1,768,0
4,2,768,2
4,3,768,4
4,4,768,5
4,5,768,6
4,6,768,7
4,7,768,8
4,8,768,9
4,9,768,10
4,10,768,12
4,11,768,15
4,12,768,16
4,13,768,17
4,14,768,18
4,15,768,20
4,16,768,23
4,17,768,24
4,18,768,27
4,19,768,28
4,20,768,29
4,21,768,30
4,22,768,31
4,23,768,33
4,24,768,34
4,25,768,38
4,26,768,41
4,27,768,42
4,28,768,45
4,29,768,47
4,30,768,52
4,31,768,54
5,-31,771,53
5,-30,771,52
5,-29,771,50
5,-28,771,46
5,-27,771,45
5,-26,771,44
5,-25,771,42
5,-24,771,35
5,-23,771,34
5,-22,771,33
5,-21,771,32
5,-20,771,29
5,-19,771,27
5,-18,771,26
5,-17,771,25
5,-16,771,24
5,-15,771,21
5,-14,771,20
5,-13,771,19
5,-12,771,18
5,-11,771,17
5,-10,771,14
5,-9,771,9
5,-8,771,8
5,-7,771,7
5,-6,771,6
5,-5,771,5
5,-4,771,4
5,-3,771,2
5,-2,771,1
5,-1,771,0
5,0,771,0
5,1,771,0
5,2,771,2
5,3,771,3
5,4,771,4
5,5,771,5
5,6,771,6
5,7,771,7
5,8,771,13
5,9,771,14
5,10,771,15
5,11,771,16
5,12,771,17
5,13,771,19
5,14,771,23
5,15,771,24
5,16,771,25
5,17,771,26
5,18,771,27
5,19,771,30
5,20,771,31
5,21,771,34
5,22,771,36
5,23,771,37
5,24,771,38
5,25,771,39
5,26,771,41
5,27,771,42
5,28,771,48
5,29,771,49
5,30,771,50
5,31,771,51
6,-31,457,48
6,-29,457,47
6,-29,457,45
6,-28,457,44
6,-27,457,43
6,-26,457,42
6,-25,457,41
6,-24,457,40
6,-23,457,39
6,-22,457,38
6,-21,457,37
6,-20,457,34
6,-19,457,33
6,-18,457,29
6,-17,457,28
6,-16,457,27
6,-14,457,23
6,-14,457,21
6,-13,457,20
6,-12,457,19
6,-11,457,16
6,-10,457,14
6,-9,457,14
6,-8,457,13
6,-7,457,10
6,-6,457,8
6,-5,457,6
6,-4,457,4
6,-3,457,2
6,-2,457,1
6,-1,457,0
6,0,457,0
6,1,457,0
6,2,457,123
6,3,457,152
6,4,457,247
6,5,457,248
6,6,457,251
6,7,457,352
6,8,457,353
6,9,457,354
6,10,457,355
6,11,457,356
6,12,457,358
6,13,457,360
6,14,457,361
6,14,457,366
6,16,457,367
6,17,457,370
6,18,457,372
6,19,457,373
6,20,457,375
6,21,457,377
6,22,457,380
6,23,457,382
6,24,457,385
6,25,457,386
6,26,457,388
6,27,457,390
6,28,457,392
6,29,457,394
6,29,457,395
6,31,457,396
6,32,457,399
6,33,457,400
6,34,457,401
6,35,457,403
6,36,457,404
6,37,457,405
7,-31,398,48
7,-29,398,47
7,-29,398,45
7,-28,398,44
7,-27,398,43
7,-26,398,42
7,-24,398,41
7,-24,398,40
7,-23,398,39
7,-22,398,38
7,-21,398,37
7,-20,398,34
7,-19,398,33
7,-18,398,29
7,-17,398,28
7,-16,398,27
7,-14,398,23
7,-14,398,21
7,-13,398,20
7,-12,398,19
7,-11,398,16
7,-10,398,14
7,-9,398,14
7,-8,398,13
7,-7,398,10
7,-6,398,8
7,-5,398,6
7,-4,398,4
7,-3,398,2
7,-2,398,1
7,-1,398,0
7,0,398,0
7,1,398,0
7,2,398,5
7,3,398,59
7,4,398,306
7,5,398,307
7,6,398,310
7,7,398,411
7,8,398,412
7,9,398,413
7,10,398,414
7,11,398,414
7,12,398,417
7,13,398,419
7,14,398,419
7,14,398,424
7,16,398,426
7,17,398,429
7,18,398,431
7,19,398,432
7,20,398,434
7,21,398,436
7,22,398,439
7,23,398,441
7,24,398,444
7,24,398,444
7,26,398,447
7,27,398,449
7,28,398,449
7,29,398,453
7,29,398,454
7,31,398,454
7,32,398,458
7,33,398,459
7,34,398,459
7,35,398,462
7,36,398,464
7,37,398,466
8,-31,875,44
8,-30,875,43
8,-28,875,42
8,-28,875,40
8,-27,875,39
8,-26,875,38
8,-25,875,35
8,-24,875,34
8,-23,875,32
8,-22,875,31
8,-21,875,30
8,-20,875,28
8,-19,875,25
8,-18,875,24
8,-17,875,23
8,-16,875,20
8,-15,875,19
8,-14,875,17
8,-13,875,16
8,-12,875,15
8,-11,875,14
8,-10,875,13
8,-9,875,11
8,-8,875,10
8,-7,875,8
8,-6,875,7
8,-5,875,5
8,-4,875,3
8,-3,875,2
8,-2,875,1
8,-1,875,0
8,0,875,0
8,1,875,0
8,2,875,314
8,3,875,315
8,4,875,316
8,5,875,317
8,6,875,319
8,7,875,320
8,8,875,322
8,9,875,323
8,10,875,324
8,11,875,325
8,12,875,326
8,13,875,327
8,14,875,328
8,15,875,331
8,16,875,332
8,17,875,334
8,18,875,336
8,19,875,337
8,20,875,338
8,21,875,339
8,22,875,340
8,23,875,341
8,24,875,345
8,25,875,346
8,26,875,347
8,27,875,348
8,28,875,349
8,28,875,350
8,30,875,352
8,31,875,353
8,32,875,355
9,-31,875,46
9,-30,875,45
9,-28,875,44
9,-28,875,41
9,-27,875,40
9,-26,875,39
9,-25,875,36
9,-24,875,34
9,-23,875,32
9,-22,875,30
9,-21,875,28
9,-20,875,27
9,-19,875,26
9,-18,875,25
9,-17,875,24
9,-16,875,21
9,-15,875,19
9,-14,875,18
9,-13,875,17
9,-12,875,15
9,-11,875,14
9,-10,875,13
9,-9,875,12
9,-8,875,11
9,-7,875,10
9,-6,875,9
9,-5,875,6
9,-4,875,5
9,-3,875,4
9,-2,875,3
9,-1,875,1
9,0,875,0
9,1,875,0
9,2,875,314
9,3,875,315
9,4,875,316
9,5,875,317
9,6,875,319
9,7,875,320
9,8,875,322
9,9,875,323
9,10,875,324
9,11,875,325
9,12,875,326
9,13,875,327
9,14,875,328
9,15,875,331
9,16,875,332
9,17,875,334
9,18,875,336
9,19,875,337
9,20,875,338
9,21,875,339
9,22,875,340
9,23,875,341
9,24,875,345
9,25,875,346
9,26,875,347
9,27,875,348
9,28,875,349
9,28,875,350
9,30,875,352
9,31,875,353
9,32,875,355
10,-31,875,48
10,-30,875,47
10,-28,875,46
10,-28,875,45
10,-27,875,42
10,-26,875,41
10,-25,875,39
10,-24,875,38
10,-23,875,37
10,-22,875,34
10,-21,875,33
10,-20,875,32
10,-19,875,31
10,-18,875,26
10,-17,875,23
10,-16,875,21
10,-15,875,19
10,-14,875,18
10,-13,875,17
10,-12,875,16
10,-11,875,15
10,-10,875,14
10,-9,875,13
10,-8,875,12
10,-7,875,11
10,-6,875,8
10,-5,875,5
10,-4,875,4
10,-3,875,3
10,-2,875,1
10,-1,875,0
10,0,875,0
10,1,875,0
10,2,875,314
10,3,875,315
10,4,875,316
10,5,875,317
10,6,875,319
10,7,875,320
10,8,875,322
10,9,875,323
10,10,875,324
10,11,875,325
10,12,875,326
10,13,875,327
10,14,875,328
10,15,875,331
10,16,875,332
