Repeat ID,Extension ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-100,768,134
0,-99,768,133
0,-98,768,132
0,-97,768,130
0,-96,768,128
0,-95,768,127
0,-94,768,126
0,-93,768,124
0,-92,768,122
0,-91,768,118
0,-90,768,116
0,-89,768,114
0,-88,768,113
0,-87,768,111
0,-86,768,110
0,-85,768,108
0,-84,768,107
0,-83,768,106
0,-82,768,105
0,-81,768,104
0,-80,768,103
0,-79,768,102
0,-78,768,101
0,-77,768,98
0,-76,768,97
0,-75,768,96
0,-74,768,95
0,-73,768,94
0,-72,768,93
0,-71,768,92
0,-70,768,91
0,-69,768,88
0,-68,768,87
0,-67,768,86
0,-66,768,85
0,-65,768,84
0,-64,768,82
0,-63,768,81
0,-62,768,79
0,-61,768,77
0,-60,768,75
0,-59,768,74
0,-58,768,72
0,-57,768,70
0,-56,768,69
0,-55,768,68
0,-54,768,67
0,-53,768,66
0,-52,768,63
0,-51,768,61
0,-50,768,59
0,-49,768,55
0,-48,768,54
0,-47,768,53
0,-46,768,52
0,-45,768,51
0,-44,768,50
0,-43,768,48
0,-42,768,47
0,-41,768,46
0,-40,768,45
0,-39,768,44
0,-38,768,43
0,-37,768,41
0,-36,768,40
0,-35,768,39
0,-34,768,38
0,-33,768,37
0,-32,768,36
0,-31,768,35
0,-30,768,34
0,-29,768,33
0,-28,768,32
0,-27,768,31
0,-26,768,30
0,-25,768,29
0,-24,768,28
0,-23,768,27
0,-22,768,26
0,-21,768,25
0,-20,768,24
0,-19,768,22
0,-18,768,21
0,-17,768,20
0,-16,768,19
0,-15,768,18
0,-14,768,17
0,-13,768,16
0,-12,768,15
0,-11,768,14
0,-10,768,12
0,-9,768,11
0,-8,768,10
0,-7,768,9
0,-6,768,8
0,-5,768,7
0,-4,768,6
0,-3,768,5
0,-2,768,4
0,-1,768,2
0,0,768,0
0,1,768,1
0,2,768,2
0,3,768,4
0,4,768,5
0,5,768,6
0,6,768,7
0,7,768,8
0,8,768,10
0,9,768,11
0,10,768,12
0,11,768,13
0,12,768,14
0,13,768,15
0,14,768,16
0,15,768,17
0,16,768,18
