repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
26872,258572,1666,1667,1
116469,1066412,1278,1279,1
117744,1067688,388,392,1
205287,1570129,313,1290,37
258573,1066412,1278,1279,1
259848,1067688,387,388,1
299649,507790,733,1150,3
299650,643598,1037,1450,2
377407,599702,1761,1769,1
377407,785065,1757,1767,1
430916,1088974,609,1585,6
447013,469180,1424,2054,1
449315,471234,3027,3197,1
467292,542275,1660,1674,1
507787,1308664,733,1153,3
507788,1511854,733,1152,3
514575,734552,1670,1673,1
599702,994206,1757,1772,1
742107,1570130,395,1530,36
742108,1399376,454,1288,13
1399375,1906851,580,1289,11
