repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
20343,2059849,366,1488,8
26870,1066409,1278,1279,1
26872,116468,1667,1668,1
26872,258572,1666,1667,1
28148,1067688,388,393,1
56669,469144,1424,2090,1
56704,447012,5321,5500,1
59008,471235,3313,3314,1
116464,258568,1670,1671,1
116469,1066412,1278,1279,1
117744,1067688,388,392,1
151593,1805127,481,1833,23
192150,1060825,1018,1200,1
192157,850641,465,1196,3
205280,1906843,335,1297,12
205287,1399374,478,2109,10
205287,1570129,313,1290,37
246973,514572,1672,1679,1
246978,734554,1674,1675,1
258573,1066412,1278,1279,1
259848,1067688,387,388,1
299643,1308661,1453,1462,1
299647,1511854,1453,1470,1
299649,507790,733,1150,3
299650,643598,1037,1450,2
377328,994127,1835,1851,1
377407,599702,1761,1769,1
377407,785065,1757,1767,1
430835,478088,759,1666,5
430916,1088974,609,1585,6
447013,469180,1424,2054,1
449315,471234,3027,3197,1
467287,1371926,1659,1681,1
467292,542275,1660,1674,1
478168,1088973,1169,3020,7
507785,643592,978,1155,1
507787,1308664,733,1153,3
507788,1511854,733,1152,3
514575,734552,1670,1673,1
542272,1371928,1659,1673,1
599624,784987,1833,1851,1
599702,994206,1757,1772,1
643587,1511846,1037,1463,2
643594,1308664,1037,1462,2
742102,1906846,326,1673,11
742107,1570130,395,1530,36
742108,1399376,454,1288,13
785065,994206,1759,1775,1
850648,1060839,465,1192,4
954206,1814516,1451,1466,1
1069855,1782572,1187,1197,1
1069856,1945613,466,1201,3
1073048,1465316,2256,2264,1
1073093,1811186,2219,2220,1
1119570,1521770,1666,1680,1
1308663,1511852,1452,1467,1
1399370,1570125,567,1294,36
1399375,1906851,580,1289,11
1465361,1811186,2220,2221,1
1570127,1906848,335,1533,33
1782574,1945614,465,1200,3
