Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-36,95,150
0,-35,95,149
0,-34,95,148
0,-33,95,147
0,-32,95,145
0,-31,95,142
0,-30,95,141
0,-29,95,140
0,-27,95,137
0,-27,95,135
0,-26,95,134
0,-25,95,130
0,-24,95,129
0,-23,95,128
0,-22,95,125
0,-21,95,123
0,-20,95,122
0,-19,95,121
0,-18,95,120
0,-17,95,118
0,-16,95,116
0,-15,95,114
0,-13,95,111
0,-13,95,111
0,-12,95,108
0,-11,95,105
0,-10,95,105
0,-9,95,103
0,-8,95,102
0,-6,95,101
0,-6,95,100
0,-5,95,98
0,-4,95,3
0,-3,95,2
0,-2,95,1
0,-1,95,0
0,0,95,0
0,1,95,0
0,2,95,1
0,3,95,2
0,4,95,3
0,5,95,98
0,6,95,100
0,6,95,101
0,8,95,102
0,9,95,103
0,10,95,104
0,11,95,105
0,12,95,105
0,13,95,107
0,13,95,108
0,15,95,111
0,16,95,111
0,17,95,114
0,18,95,115
0,19,95,116
0,20,95,117
0,21,95,120
0,22,95,121
0,23,95,122
0,24,95,123
0,25,95,124
0,26,95,125
0,27,95,125
0,27,95,128
0,29,95,129
0,30,95,130
0,31,95,133
0,32,95,134
0,33,95,135
0,34,95,136
0,35,95,138
1,-42,76,152
1,-41,76,151
1,-40,76,150
1,-39,76,149
1,-38,76,148
1,-37,76,144
1,-36,76,142
1,-35,76,141
1,-34,76,138
1,-33,76,135
1,-32,76,134
1,-31,76,133
1,-30,76,132
1,-29,76,131
1,-28,76,129
1,-27,76,124
1,-26,76,124
1,-25,76,123
1,-24,76,122
1,-23,76,120
1,-22,76,117
1,-21,76,115
1,-20,76,113
1,-19,76,112
1,-18,76,111
1,-17,76,110
1,-16,76,109
1,-15,76,107
1,-14,76,105
1,-13,76,104
1,-12,76,100
1,-11,76,99
1,-10,76,22
1,-9,76,15
1,-8,76,14
1,-7,76,10
1,-6,76,9
1,-5,76,6
1,-4,76,5
1,-3,76,4
1,-2,76,3
1,-1,76,1
1,0,76,0
1,1,76,0
1,2,76,2
1,3,76,3
1,4,76,4
1,5,76,5
1,6,76,6
1,7,76,7
1,8,76,8
1,9,76,9
1,10,76,10
1,11,76,11
1,12,76,13
1,13,76,16
1,14,76,20
1,15,76,21
1,16,76,98
1,17,76,105
1,18,76,105
1,19,76,110
1,20,76,111
1,21,76,114
1,22,76,115
1,23,76,116
1,24,76,117
1,25,76,119
1,26,76,121
1,27,76,123
1,28,76,124
1,29,76,124
1,30,76,129
1,31,76,131
1,32,76,132
1,33,76,133
1,34,76,134
1,35,76,139
1,36,76,141
1,37,76,142
1,38,76,143
1,39,76,145
1,40,76,146
1,41,76,148
1,42,76,149
1,43,76,152
1,44,76,153
1,45,76,154
1,46,76,157
2,-30,116,50
2,-30,116,49
2,-29,116,48
2,-28,116,47
2,-27,116,45
2,-26,116,42
2,-25,116,41
2,-24,116,40
2,-23,116,37
2,-22,116,35
2,-21,116,34
2,-20,116,30
2,-19,116,29
2,-18,116,28
2,-17,116,25
2,-16,116,23
2,-15,116,22
2,-14,116,21
2,-13,116,20
2,-12,116,18
2,-11,116,16
2,-10,116,14
2,-9,116,12
2,-8,116,11
2,-7,116,8
2,-6,116,6
2,-5,116,5
2,-4,116,3
2,-3,116,2
2,-2,116,1
2,-1,116,0
2,0,116,0
2,1,116,0
2,2,116,1
2,3,116,2
2,4,116,3
2,5,116,4
2,6,116,5
2,7,116,6
2,8,116,7
2,9,116,8
2,10,116,9
2,11,116,12
2,12,116,13
2,13,116,15
2,14,116,16
2,15,116,17
2,16,116,18
2,17,116,21
2,18,116,22
2,19,116,23
2,20,116,24
2,21,116,25
2,22,116,26
2,23,116,27
2,24,116,29
2,25,116,30
2,26,116,30
2,27,116,34
2,28,116,35
2,29,116,36
2,30,116,37
2,30,116,39
3,-33,98,160
3,-31,98,159
3,-31,98,158
3,-30,98,157
3,-29,98,150
3,-28,98,148
3,-26,98,147
3,-26,98,146
3,-25,98,145
3,-24,98,142
3,-23,98,141
3,-22,98,140
3,-21,98,139
3,-20,98,136
3,-19,98,135
3,-18,98,132
3,-17,98,131
3,-15,98,130
3,-15,98,129
3,-14,98,127
3,-13,98,126
3,-12,98,118
3,-11,98,117
3,-10,98,113
3,-9,98,112
3,-7,98,111
3,-7,98,109
3,-6,98,107
3,-5,98,104
3,-3,98,103
3,-3,98,100
3,-1,98,98
3,0,98,0
3,0,98,0
3,0,98,0
3,1,98,98
3,3,98,100
3,3,98,100
3,5,98,102
3,6,98,103
3,7,98,104
3,7,98,105
3,9,98,107
3,10,98,109
3,11,98,111
3,12,98,112
3,13,98,113
3,14,98,114
3,15,98,118
3,15,98,120
3,17,98,123
3,18,98,124
3,19,98,126
3,20,98,127
3,21,98,129
3,22,98,131
3,23,98,132
3,24,98,136
3,25,98,137
3,26,98,140
3,26,98,141
3,28,98,142
3,29,98,143
3,30,98,145
3,31,98,146
3,31,98,148
4,-34,77,165
4,-33,77,164
4,-32,77,161
4,-31,77,159
4,-30,77,157
4,-29,77,155
4,-28,77,154
4,-27,77,152
4,-26,77,150
4,-25,77,149
4,-24,77,148
4,-23,77,146
4,-22,77,144
4,-21,77,143
4,-19,77,142
4,-19,77,141
4,-18,77,140
4,-17,77,136
