repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
229245,4126912,1074,3839,23
229542,4380479,908,3417,36
229699,4243252,2267,3263,3
296426,3157332,1956,1975,2
296429,3575175,1954,1977,2
296433,4011024,1956,1976,2
1187988,2097118,904,1975,12
1187988,4821843,1954,1979,2
2097116,3955720,470,1977,13
2097122,4821847,904,1972,12
2733994,3533375,2451,2472,2
3157334,3575174,1954,1979,2
3157337,4011022,1957,1973,2
3575170,4011015,1954,1979,2
3955725,4821846,1051,1975,3
4016862,4830117,432,4914,119
4125436,4418877,1577,5198,25
4125480,4241275,1184,1717,17
4127366,4243252,1581,3264,10
4128657,4381929,511,1973,17
4241233,4418880,874,1753,10
4243247,4420802,3245,3278,2
4243248,4380632,908,3293,32
4378613,4418879,579,1795,33
4380485,4420656,704,3431,35
