repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
380477,1301032,1331,1337,1
380480,4502857,1331,1337,1
607223,2519712,1345,1352,1
1301033,3184746,1335,1344,1
1301037,4502859,1331,1336,1
1469614,2320784,1331,1344,1
1469621,3742930,1331,1339,1
1469622,2995015,1334,1337,1
2071069,2995008,1331,1347,1
2320794,3742933,1333,1336,1
2724707,3464907,3027,3155,1
2724710,3689847,1365,3152,21
2724717,3423515,1742,3142,9
2727866,3468075,1289,2167,25
2728210,3426931,1283,1770,8
2728211,3693271,1283,1816,8
2728222,3599559,1283,1811,10
2995010,3742926,1333,1337,1
3423515,3464917,1744,3393,15
3426929,3468417,1566,1772,1
3426948,3599564,1358,1753,2
3468418,3693269,1330,1973,9
3599565,3693288,1336,1951,10
