repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
115095,296422,1954,1974,2
115098,4011016,1955,1977,2
115099,3575172,1954,1974,2
115103,3157336,1954,1971,2
115637,339175,487,1436,10
156379,3957846,357,388,2
171678,3993031,3757,7480,68
227658,1400244,2130,2855,6
227746,2199713,884,1227,6
228945,2200913,2062,4017,8
230487,1403074,1473,2478,3
296422,2094472,771,796,2
296424,3748952,1954,1971,2
296425,981219,1051,1976,3
296429,2839827,904,1968,12
297188,2096490,875,1215,3
339175,981758,487,1435,11
339175,3749492,487,1440,10
339178,2840365,442,1434,13
339399,2096490,466,1208,11
415348,3727164,1362,1496,3
415362,438831,1365,1489,3
415377,2732490,1362,1461,3
438836,2259695,1364,1467,3
438836,3880714,1362,1456,3
450131,2855506,323,2509,102
514837,2733977,3040,5208,18
514863,3533384,2452,5279,17
549818,3581764,809,1208,11
554991,2733960,908,3449,38
555017,3533367,913,3427,40
556973,2735943,618,647,2
556973,3535324,497,1469,15
557609,2736578,457,831,8
557609,3535960,398,833,8
558833,2737708,757,1673,18
558871,3537127,1003,1462,10
692344,2733929,3070,3324,4
692401,3533367,2451,3275,7
695928,2737422,884,1718,10
695930,3536805,1655,1720,2
808289,2733988,1581,3720,22
808291,3533371,1577,5219,28
811997,3537077,1184,1513,8
925926,3955723,1051,1975,3
925929,2097122,904,1969,12
925929,2841218,875,1199,3
925931,1187994,1954,1970,2
927115,2843656,768,782,2
935296,2077308,509,1826,57
960259,2842405,1230,1272,2
981219,3157331,1051,1985,3
981222,3575174,1053,1978,3
1056734,1210265,1362,1474,3
1056741,2204975,1362,1460,3
1187984,1361766,1955,1988,2
1187994,1779616,1954,1971,2
1210274,2677762,1362,1464,3
1361770,2097118,904,1978,12
1361776,2841220,875,1197,3
1362960,2843656,768,791,2
1779618,2841222,875,1195,3
1779619,2097127,904,1969,12
1780800,2843656,768,781,2
1783311,2842409,1230,1269,2
2204973,2677758,1362,1464,3
