Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-30,388,46
0,-30,388,45
0,-29,388,41
0,-27,388,40
0,-27,388,39
0,-26,388,37
0,-24,388,35
0,-24,388,34
0,-23,388,33
0,-22,388,32
0,-21,388,30
0,-20,388,27
0,-19,388,26
0,-18,388,24
0,-17,388,24
0,-16,388,22
0,-15,388,20
0,-13,388,19
0,-13,388,18
0,-12,388,17
0,-11,388,15
0,-10,388,13
0,-9,388,11
0,-8,388,8
0,-6,388,6
0,-6,388,6
0,-5,388,5
0,-4,388,4
0,-3,388,3
0,-2,388,2
0,-1,388,0
0,0,388,0
0,1,388,0
0,2,388,2
0,3,388,4
0,4,388,6
0,5,388,6
0,6,388,8
0,6,388,10
0,8,388,13
0,9,388,13
0,10,388,16
0,11,388,19
0,12,388,22
0,13,388,23
0,13,388,26
0,15,388,27
0,16,388,27
0,17,388,29
0,18,388,30
0,19,388,30
0,20,388,32
0,21,388,34
0,22,388,35
0,23,388,36
0,24,388,37
0,24,388,38
0,26,388,39
0,27,388,41
0,27,388,42
0,29,388,44
0,30,388,45
0,30,388,46
1,-30,388,46
1,-30,388,45
1,-29,388,41
1,-27,388,40
1,-27,388,39
1,-26,388,37
1,-24,388,35
1,-24,388,34
1,-23,388,33
1,-22,388,32
1,-21,388,30
1,-20,388,27
1,-19,388,26
1,-18,388,24
1,-17,388,24
1,-16,388,22
1,-15,388,20
1,-13,388,19
1,-13,388,18
1,-12,388,17
1,-11,388,15
1,-10,388,13
1,-9,388,11
1,-8,388,8
1,-6,388,6
1,-6,388,6
1,-5,388,5
1,-4,388,4
1,-3,388,3
1,-2,388,2
1,-1,388,0
1,0,388,0
1,1,388,0
1,2,388,1
1,3,388,3
1,4,388,4
1,5,388,5
1,6,388,6
1,6,388,9
1,8,388,11
1,9,388,12
1,10,388,13
1,11,388,15
1,12,388,16
1,13,388,19
1,13,388,20
1,15,388,22
1,16,388,24
1,17,388,24
1,18,388,27
1,19,388,30
1,20,388,32
1,21,388,33
1,22,388,34
1,23,388,36
1,24,388,38
1,24,388,40
1,26,388,41
1,27,388,44
1,27,388,47
1,29,388,48
1,30,388,49
1,30,388,51
2,-30,387,46
2,-30,387,45
2,-29,387,41
2,-27,387,40
2,-27,387,39
2,-26,387,37
2,-24,387,35
2,-24,387,34
2,-23,387,33
2,-22,387,32
2,-21,387,30
2,-20,387,27
2,-19,387,26
2,-18,387,24
2,-17,387,24
2,-16,387,22
2,-15,387,20
2,-13,387,19
2,-13,387,18
2,-12,387,17
2,-11,387,15
2,-10,387,13
2,-9,387,11
2,-8,387,8
2,-6,387,6
2,-6,387,6
2,-5,387,5
2,-4,387,4
2,-3,387,3
2,-2,387,2
2,-1,387,0
2,0,387,0
2,1,387,0
2,2,387,1
2,3,387,2
2,4,387,3
2,5,387,4
2,6,387,5
2,6,387,6
2,8,387,10
2,9,387,12
2,10,387,13
2,11,387,17
2,12,387,19
2,13,387,20
2,13,387,23
2,15,387,24
2,16,387,27
2,17,387,27
2,18,387,29
2,19,387,30
2,20,387,30
2,21,387,33
2,22,387,34
2,23,387,39
2,24,387,40
2,24,387,42
2,26,387,43
2,27,387,45
2,27,387,47
2,29,387,51
2,30,387,53
2,30,387,54
3,-34,733,461
3,-33,733,461
3,-32,733,460
3,-31,733,458
3,-30,733,457
3,-29,733,452
3,-28,733,451
3,-26,733,449
3,-26,733,448
3,-25,733,446
3,-24,733,446
3,-23,733,443
3,-22,733,442
3,-21,733,440
3,-20,733,440
3,-19,733,437
3,-18,733,436
3,-17,733,434
3,-16,733,434
3,-15,733,431
3,-14,733,428
3,-13,733,427
3,-12,733,425
3,-11,733,424
3,-10,733,423
3,-9,733,422
3,-8,733,421
3,-7,733,419
3,-6,733,418
3,-5,733,417
3,-4,733,416
3,-3,733,414
3,-2,733,244
3,-1,733,48
3,0,733,0
3,1,733,0
3,2,733,2
3,3,733,3
3,4,733,4
3,5,733,5
3,6,733,7
3,7,733,8
3,8,733,10
3,9,733,11
3,10,733,12
3,11,733,15
3,12,733,18
3,13,733,22
3,14,733,23
3,15,733,24
3,16,733,25
3,17,733,29
3,18,733,32
3,19,733,33
3,20,733,36
3,21,733,37
3,22,733,40
3,23,733,44
3,24,733,46
3,25,733,47
3,26,733,48
3,26,733,51
3,28,733,52
3,29,733,53
3,30,733,59
3,31,733,63
4,-34,733,464
4,-33,733,463
4,-32,733,461
4,-31,733,461
4,-30,733,458
4,-29,733,455
4,-28,733,452
4,-26,733,449
4,-26,733,449
4,-25,733,446
4,-24,733,445
4,-23,733,443
4,-22,733,443
4,-21,733,442
4,-20,733,440
4,-19,733,440
4,-18,733,437
4,-17,733,437
4,-16,733,434
4,-15,733,434
4,-14,733,433
4,-13,733,428
4,-12,733,428
4,-11,733,425
4,-10,733,424
4,-9,733,423
4,-8,733,422
4,-7,733,421
4,-6,733,419
4,-5,733,418
4,-4,733,414
4,-3,733,413
4,-2,733,244
4,-1,733,48
4,0,733,0
4,1,733,0
4,2,733,2
4,3,733,3
4,4,733,4
4,5,733,5
4,6,733,7
4,7,733,8
4,8,733,10
4,9,733,11
4,10,733,12
4,11,733,15
4,12,733,18
4,13,733,22
4,14,733,23
4,15,733,24
4,16,733,25
4,17,733,29
4,18,733,32
4,19,733,33
4,20,733,36
4,21,733,37
4,22,733,40
4,23,733,44
4,24,733,46
4,25,733,47
4,26,733,48
4,26,733,51
4,28,733,52
4,29,733,53
4,30,733,59
4,31,733,63
5,-32,978,229
5,-31,978,228
5,-30,978,225
5,-29,978,224
5,-28,978,223
5,-27,978,222
5,-26,978,219
5,-25,978,216
5,-24,978,214
5,-23,978,213
5,-22,978,212
5,-21,978,211
5,-20,978,202
5,-19,978,201
5,-18,978,199
5,-17,978,198
5,-16,978,196
5,-15,978,195
5,-14,978,193
5,-13,978,192
5,-12,978,190
5,-11,978,189
5,-10,978,186
5,-9,978,182
5,-8,978,178
5,-7,978,177
5,-6,978,176
5,-5,978,174
5,-4,978,173
5,-3,978,170
5,-2,978,169
5,-1,978,168
5,0,978,0
5,1,978,0
5,2,978,2
5,3,978,3
5,4,978,4
5,5,978,5
5,6,978,7
5,7,978,8
5,8,978,10
5,9,978,11
5,10,978,12
5,11,978,15
5,12,978,18
5,13,978,22
5,14,978,23
5,15,978,24
5,16,978,25
5,17,978,29
5,18,978,32
5,19,978,33
5,20,978,36
5,21,978,37
5,22,978,40
5,23,978,44
5,24,978,46
5,25,978,47
5,26,978,48
5,27,978,51
5,28,978,52
5,29,978,53
5,30,978,59
5,31,978,63
6,-35,465,770
6,-34,465,769
6,-33,465,767
6,-32,465,765
6,-31,465,764
6,-30,465,762
6,-29,465,761
6,-28,465,759
6,-27,465,756
6,-26,465,755
6,-25,465,751
6,-24,465,749
6,-23,465,748
6,-22,465,746
6,-21,465,744
6,-20,465,743
6,-19,465,741
6,-18,465,740
6,-17,465,739
6,-16,465,736
6,-15,465,735
6,-14,465,734
6,-13,465,733
6,-12,465,732
6,-11,465,731
6,-10,465,730
6,-9,465,729
6,-8,465,728
6,-7,465,727
6,-6,465,724
6,-5,465,723
6,-4,465,722
6,-3,465,550
6,-2,465,283
6,-1,465,215
6,0,465,0
6,1,465,0
6,2,465,3
6,3,465,6
6,4,465,8
6,5,465,10
6,6,465,11
6,7,465,12
6,8,465,13
6,9,465,14
6,10,465,15
6,11,465,17
6,12,465,20
6,13,465,22
6,14,465,23
6,15,465,25
6,16,465,26
6,17,465,27
6,18,465,29
6,19,465,32
6,20,465,33
6,21,465,34
6,22,465,35
6,23,465,36
6,24,465,37
6,25,465,40
6,26,465,42
6,27,465,43
6,28,465,44
6,29,465,46
6,30,465,47
6,31,465,50
7,-31,466,49
7,-30,466,48
7,-29,466,46
7,-28,466,42
7,-27,466,41
7,-26,466,40
7,-25,466,39
7,-24,466,38
7,-23,466,37
7,-22,466,35
7,-21,466,34
7,-20,466,33
7,-19,466,30
7,-18,466,29
7,-17,466,25
7,-16,466,24
7,-15,466,22
7,-14,466,20
7,-13,466,19
7,-12,466,18
7,-11,466,17
7,-10,466,16
7,-9,466,15
7,-8,466,12
7,-7,466,11
7,-6,466,10
7,-5,466,5
7,-4,466,4
7,-3,466,3
7,-2,466,2
7,-1,466,0
7,0,466,0
7,1,466,0
7,2,466,216
7,3,466,284
7,4,466,722
7,5,466,726
7,6,466,727
7,7,466,728
7,8,466,729
7,9,466,732
7,10,466,733
7,11,466,735
7,12,466,739
7,13,466,741
7,14,466,743
7,15,466,744
7,16,466,747
7,17,466,748
7,18,466,750
7,19,466,751
7,20,466,753
7,21,466,754
7,22,466,756
7,23,466,757
7,24,466,758
7,25,466,760
7,26,466,761
7,27,466,762
7,28,466,763
7,29,466,765
7,30,466,768
7,31,466,770
7,32,466,771
7,33,466,772
7,34,466,773
8,-30,1187,61
8,-30,1187,60
8,-29,1187,57
8,-28,1187,56
8,-27,1187,54
8,-26,1187,52
8,-25,1187,51
8,-24,1187,48
8,-23,1187,47
8,-22,1187,44
8,-21,1187,42
8,-20,1187,40
8,-18,1187,33
8,-18,1187,32
8,-17,1187,30
8,-16,1187,30
8,-15,1187,29
8,-14,1187,27
8,-13,1187,26
8,-12,1187,25
8,-11,1187,24
8,-10,1187,21
8,-9,1187,18
8,-8,1187,17
8,-7,1187,14
8,-6,1187,11
8,-5,1187,10
8,-4,1187,8
8,-3,1187,5
8,-2,1187,4
8,-1,1187,1
8,0,1187,0
8,1,1187,0
8,2,1187,1
8,3,1187,3
8,4,1187,6
8,5,1187,7
8,6,1187,10
8,7,1187,12
8,8,1187,13
8,9,1187,16
8,10,1187,17
8,11,1187,18
8,12,1187,18
8,13,1187,20
8,14,1187,21
8,15,1187,23
8,16,1187,24
8,17,1187,25
8,18,1187,26
8,18,1187,27
8,20,1187,30
8,21,1187,32
8,22,1187,33
8,23,1187,34
8,24,1187,35
8,25,1187,36
8,26,1187,37
8,27,1187,37
8,28,1187,39
8,29,1187,40
8,30,1187,41
8,30,1187,42
9,-34,465,774
9,-33,465,773
9,-32,465,769
9,-31,465,767
9,-30,465,766
9,-29,465,763
9,-28,465,761
9,-27,465,759
9,-26,465,756
9,-25,465,755
9,-24,465,754
9,-23,465,753
9,-22,465,751
9,-21,465,748
9,-20,465,745
9,-19,465,743
9,-18,465,742
9,-17,465,741
9,-16,465,740
9,-15,465,739
9,-14,465,737
9,-13,465,735
9,-12,465,734
9,-11,465,733
9,-10,465,731
9,-9,465,730
9,-8,465,728
9,-7,465,725
9,-6,465,724
9,-5,465,723
9,-4,465,722
9,-3,465,721
9,-2,465,283
9,-1,465,215
9,0,465,0
9,1,465,0
9,2,465,2
9,3,465,3
9,4,465,5
9,5,465,8
9,6,465,9
9,7,465,10
9,8,465,11
9,9,465,13
9,10,465,15
9,11,465,16
9,12,465,21
9,13,465,23
9,14,465,25
9,15,465,26
9,16,465,27
9,17,465,30
9,18,465,33
9,19,465,36
9,20,465,37
9,21,465,40
9,22,465,42
9,23,465,43
9,24,465,45
9,25,465,47
9,26,465,49
9,27,465,50
9,28,465,51
9,29,465,54
9,30,465,56
9,31,465,58
10,-31,465,55
10,-30,465,54
10,-29,465,53
10,-28,465,50
10,-27,465,49
10,-26,465,48
10,-25,465,47
10,-24,465,44
10,-23,465,43
10,-22,465,41
10,-21,465,38
10,-20,465,36
10,-19,465,34
10,-18,465,32
10,-17,465,31
10,-16,465,30
10,-15,465,29
10,-14,465,27
10,-13,465,26
10,-12,465,20
10,-11,465,19
10,-10,465,18
10,-9,465,17
10,-8,465,16
10,-7,465,15
10,-6,465,12
10,-5,465,10
10,-4,465,8
10,-3,465,6
10,-2,465,3
10,-1,465,0
10,0,465,0
10,1,465,0
10,2,465,216
10,3,465,284
10,4,465,723
10,5,465,725
10,6,465,726
10,7,465,727
10,8,465,729
10,9,465,733
10,10,465,734
10,11,465,738
10,12,465,740
10,13,465,742
10,14,465,743
10,15,465,744
10,16,465,747
10,17,465,748
10,18,465,750
10,19,465,751
10,20,465,756
10,21,465,759
10,22,465,760
10,23,465,763
10,24,465,764
10,25,465,765
10,26,465,766
10,27,465,767
10,28,465,769
10,29,465,771
10,30,465,772
10,31,465,773
10,32,465,774
10,33,465,775
10,34,465,777
11,-31,1018,224
11,-31,1018,223
11,-30,1018,222
11,-29,1018,219
11,-28,1018,217
11,-27,1018,216
11,-26,1018,214
11,-25,1018,213
11,-24,1018,212
11,-23,1018,211
11,-22,1018,210
11,-21,1018,208
11,-20,1018,206
11,-19,1018,205
11,-18,1018,202
11,-17,1018,200
11,-15,1018,199
11,-15,1018,198
11,-14,1018,196
11,-13,1018,195
11,-12,1018,192
11,-11,1018,191
11,-10,1018,189
11,-9,1018,187
11,-7,1018,185
11,-7,1018,184
11,-6,1018,182
11,-5,1018,181
11,-3,1018,178
11,-3,1018,176
11,-1,1018,174
11,0,1018,170
11,0,1018,0
11,0,1018,0
11,1,1018,0
11,3,1018,3
11,3,1018,3
11,5,1018,7
11,6,1018,10
11,7,1018,11
11,7,1018,12
11,9,1018,13
11,10,1018,14
11,11,1018,15
11,12,1018,23
11,13,1018,24
11,14,1018,25
11,15,1018,26
11,15,1018,27
11,17,1018,30
11,18,1018,31
11,19,1018,33
11,20,1018,34
11,21,1018,41
11,22,1018,42
11,23,1018,43
11,24,1018,44
11,25,1018,50
11,26,1018,52
11,27,1018,53
11,28,1018,54
11,29,1018,55
11,30,1018,56
11,31,1018,58
12,-31,1278,48
12,-30,1278,47
12,-29,1278,45
12,-28,1278,44
12,-27,1278,43
12,-26,1278,42
12,-25,1278,41
12,-24,1278,40
12,-23,1278,38
12,-22,1278,37
12,-21,1278,35
12,-20,1278,33
12,-19,1278,32
