Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,0,76,76
0,1,76,77
0,2,76,78
0,3,76,79
0,4,76,80
0,5,76,81
0,6,76,82
0,7,76,83
0,8,76,84
0,9,76,85
0,10,76,86
0,11,76,86
0,12,76,88
0,13,76,89
0,14,76,90
0,15,76,91
0,16,76,92
0,17,76,93
0,18,76,96
0,19,76,100
0,20,76,101
0,21,76,103
0,22,76,105
0,23,76,107
0,24,76,108
0,25,76,109
0,26,76,111
0,27,76,112
0,28,76,115
0,29,76,116
0,30,76,117
0,31,76,118
0,32,76,119
0,33,76,120
0,34,76,121
0,35,76,123
0,36,76,124
0,37,76,124
0,38,76,126
0,39,76,127
0,40,76,128
0,41,76,129
0,42,76,130
0,43,76,131
0,44,76,133
0,45,76,134
0,46,76,135
0,47,76,136
0,48,76,138
0,49,76,139
0,50,76,140
1,0,76,76
1,1,76,77
1,2,76,78
1,3,76,79
1,4,76,81
1,5,76,83
1,6,76,85
1,7,76,86
1,8,76,92
1,9,76,93
1,10,76,94
1,11,76,95
1,12,76,97
1,13,76,99
1,14,76,100
1,15,76,102
1,16,76,103
1,17,76,104
1,18,76,105
1,19,76,105
1,20,76,107
1,21,76,108
1,22,76,109
1,23,76,113
1,24,76,114
1,25,76,116
1,26,76,117
1,27,76,118
1,28,76,121
1,29,76,122
1,30,76,123
1,31,76,124
1,32,76,124
1,33,76,126
1,34,76,127
1,35,76,128
1,36,76,129
1,37,76,130
1,38,76,132
1,39,76,133
1,40,76,135
1,41,76,136
1,42,76,137
1,43,76,138
1,44,76,139
1,45,76,140
1,46,76,141
1,47,76,142
1,48,76,143
1,49,76,144
1,50,76,145
2,0,77,77
2,1,77,77
2,2,77,79
2,3,77,79
2,4,77,82
2,5,77,83
2,6,77,84
2,7,77,87
2,8,77,88
2,9,77,90
2,10,77,92
2,11,77,93
2,12,77,94
2,13,77,95
2,14,77,96
2,15,77,97
2,16,77,98
2,17,77,99
2,18,77,100
2,19,77,104
2,20,77,104
2,21,77,106
2,22,77,107
2,23,77,108
2,24,77,110
2,25,77,112
2,26,77,114
2,27,77,115
2,28,77,116
2,29,77,117
2,30,77,120
2,31,77,121
2,32,77,123
2,33,77,124
2,34,77,125
2,35,77,128
2,36,77,130
2,37,77,131
2,38,77,132
2,39,77,134
2,40,77,136
2,41,77,137
2,42,77,139
2,43,77,140
2,44,77,141
2,45,77,142
2,46,77,143
2,47,77,144
2,48,77,145
2,49,77,146
2,50,77,147
3,0,78,78
3,1,78,81
3,2,78,82
3,3,78,83
3,4,78,84
3,5,78,84
3,6,78,86
3,7,78,87
3,8,78,89
3,9,78,89
3,10,78,92
3,11,78,93
3,12,78,94
3,13,78,94
3,14,78,96
3,15,78,98
3,16,78,99
3,17,78,101
3,18,78,103
3,19,78,105
3,20,78,107
3,21,78,108
3,22,78,109
3,23,78,112
3,24,78,113
3,25,78,114
3,26,78,117
3,27,78,118
3,28,78,120
3,29,78,121
3,30,78,122
3,31,78,123
3,32,78,125
3,33,78,126
3,34,78,127
3,35,78,128
3,36,78,129
3,37,78,130
3,38,78,131
3,39,78,132
3,40,78,133
3,41,78,134
3,42,78,136
3,43,78,137
3,44,78,141
3,45,78,142
3,46,78,145
3,47,78,146
3,48,78,147
3,49,78,149
3,50,78,150
4,0,78,78
4,1,78,80
4,2,78,81
4,3,78,82
4,4,78,83
4,5,78,84
4,6,78,84
4,7,78,87
4,8,78,89
4,9,78,89
4,10,78,93
4,11,78,94
4,12,78,96
4,13,78,97
4,14,78,98
4,15,78,99
4,16,78,100
4,17,78,101
4,18,78,103
4,19,78,104
4,20,78,106
4,21,78,107
4,22,78,109
4,23,78,110
4,24,78,111
4,25,78,113
4,26,78,114
4,27,78,118
4,28,78,119
4,29,78,120
4,30,78,121
4,31,78,122
4,32,78,123
4,33,78,126
4,34,78,127
4,35,78,128
4,36,78,129
4,37,78,130
4,38,78,131
4,39,78,132
4,40,78,133
4,41,78,135
4,42,78,139
4,43,78,140
4,44,78,141
4,45,78,142
4,46,78,144
4,47,78,145
4,48,78,146
4,49,78,147
4,50,78,148
5,0,76,76
5,1,76,80
5,2,76,83
5,3,76,84
5,4,76,86
5,5,76,88
5,6,76,92
5,7,76,93
5,8,76,94
5,9,76,95
5,10,76,97
5,11,76,100
5,12,76,101
5,13,76,103
5,14,76,104
5,15,76,105
5,16,76,105
5,17,76,109
5,18,76,110
5,19,76,111
5,20,76,112
5,21,76,114
5,22,76,115
5,23,76,118
5,24,76,119
5,25,76,120
5,26,76,121
5,27,76,123
5,28,76,124
5,29,76,124
5,30,76,126
5,31,76,127
5,32,76,128
5,33,76,129
5,34,76,131
5,35,76,132
5,36,76,133
5,37,76,135
5,38,76,136
5,39,76,137
5,40,76,139
5,41,76,140
5,42,76,141
5,43,76,142
5,44,76,143
5,45,76,144
5,46,76,145
5,47,76,146
5,48,76,148
5,49,76,149
5,50,76,150
6,0,78,78
6,1,78,79
6,2,78,81
6,3,78,82
6,4,78,83
6,5,78,86
