repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
16656,1639613,419,1503,10
20330,436879,1475,1508,2
26864,554549,1669,1680,2
26871,956756,1667,1670,2
44303,1671064,193,216,2
56657,363235,1889,2109,4
59004,365334,3278,3291,2
116446,554535,1671,1699,2
116450,956739,1666,1700,2
131177,192142,1187,1223,2
131177,1060817,1016,1218,3
131182,850631,467,1205,5
151576,1476515,616,1869,25
151579,1698813,616,1794,25
151584,1082019,616,1789,25
151592,1291168,616,1851,25
163857,1340408,1115,1387,3
165207,1343424,341,380,2
174270,1349047,181,473,6
192145,1006937,465,1224,5
192154,294229,466,1211,5
197856,1465304,2259,2284,2
197860,1073040,2256,2288,2
197903,1811176,2220,2237,2
258552,554537,1670,1704,2
258564,956749,1666,1689,2
262004,643578,1037,1481,4
262010,1308654,1452,1480,2
262013,299639,1453,1482,2
262013,507780,733,1183,5
262016,1511849,1457,1479,2
263181,508938,248,310,2
267085,903291,293,387,3
271021,994120,590,1858,17
271023,377323,590,1860,17
271032,599627,590,1845,14
271037,784995,590,1836,14
294223,1060823,466,1215,6
294227,850636,1187,1214,2
299632,1122316,1451,1487,2
363099,468996,3278,5530,13
363280,447010,1889,2064,3
365334,449312,3025,3207,3
456496,812261,246,602,11
467281,1087372,1659,1688,2
507780,1122323,733,1183,5
508938,1123491,247,310,2
533394,901934,236,423,11
542266,1087374,1661,1684,2
554545,1066399,1278,1698,4
564674,954197,1451,1487,2
643579,1122315,1038,1484,4
689241,901930,178,216,2
689779,902979,352,695,5
704388,988936,1659,1695,2
767863,954197,1452,1488,2
850629,1006937,1188,1216,2
912785,1088178,212,891,31
956747,1066401,1278,1694,4
1006940,1060823,465,1223,6
