repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
15379,607222,1345,1361,1
314453,2172311,1255,1256,1
380483,3184751,1331,1333,1
607223,2519712,1345,1352,1
1105620,2071076,1331,1332,1
1105621,2995016,1333,1334,1
1105621,3742932,1332,1333,1
1105623,2320795,1331,1332,1
1301037,4502859,1331,1336,1
1469618,2071072,1332,1333,1
1469621,3742930,1331,1339,1
1469622,2995015,1334,1337,1
2071073,3742928,1332,1335,1
2071078,2320794,1332,1333,1
2320796,2995019,1331,1334,1
2724710,3689847,1365,3152,21
2724717,3423515,1742,3142,9
2728210,3426931,1283,1770,8
2728211,3693271,1283,1816,8
2728222,3599559,1283,1811,10
2995010,3742926,1333,1337,1
3184752,4502861,1331,1332,1
3423515,3464917,1744,3393,15
3426948,3599564,1358,1753,2
3468433,3599561,1352,1945,1
