repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
11828,11858,77,120,7
56118,57801,86,212,13
56128,57439,86,230,5
56181,56745,86,169,4
56204,57701,111,183,1
56374,56563,98,263,10
56727,57474,112,188,1
56742,57861,92,165,2
56760,57693,89,167,10
57361,57733,92,282,19
57512,57698,89,162,9
57699,57885,89,132,11
64390,64486,101,211,3
226807,1058772,1157,1175,1
356509,380808,98,112,4
428390,428489,150,190,1
475305,475368,137,142,1
475305,475389,116,121,1
475305,475410,95,100,11
475307,475328,179,188,1
937155,937212,144,193,1
937155,937269,87,136,2
954454,954559,76,95,28
1042680,1045870,965,977,1
1210414,1211428,1784,1817,1
1210414,1212442,770,803,1
1221251,1221545,122,188,1
