repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
227609,4418717,3353,5359,13
227745,4125411,1184,1513,8
227746,4378588,1003,1462,10
227771,4378613,1003,1795,32
227772,4241233,1655,1753,3
227774,4125440,1184,5308,30
227809,4241270,1655,1721,2
229245,4126912,1074,3839,23
229542,4380479,908,3417,36
229699,4243252,2267,3263,3
231688,4382625,908,1274,5
296426,3157332,1956,1975,2
296429,3575175,1954,1977,2
296433,4011024,1956,1976,2
438833,3727180,1432,1460,2
438844,2732488,1433,1451,2
1056733,4522080,1432,1466,2
1056745,2677764,1432,1448,2
1187988,2097118,904,1975,12
1187988,4821843,1954,1979,2
1187991,2841217,875,1214,3
1187991,3955725,1052,1983,3
1189175,2843653,768,802,2
2097122,4821847,904,1972,12
2677757,4522085,1434,1469,2
2732490,3727193,1433,1448,2
2733994,3533375,2451,2472,2
2737981,3537362,884,1227,6
2841216,4821845,876,1201,3
2841217,3955725,875,1200,4
2843656,3956912,768,782,2
2843656,4823033,768,791,2
3154339,3977387,1250,1271,2
3157334,3575174,1954,1979,2
3157337,4011022,1957,1973,2
3575170,4011015,1954,1979,2
3955725,4821846,1051,1975,3
4125222,4378398,1003,2007,43
4125229,4241024,1184,1695,18
4125369,4378545,1003,1505,9
4125436,4418877,1577,5198,25
4125480,4241275,1184,1717,17
4126912,4420353,1577,3713,18
4127209,4380479,908,3418,29
4127366,4243252,1581,3264,10
4129355,4382625,908,1273,4
4241023,4378404,1003,1646,20
4241233,4418880,874,1753,10
4241270,4418917,874,1721,9
4241275,4378656,1003,1738,30
4243247,4420802,3245,3278,2
4243248,4380632,908,3293,32
4245241,4382625,908,1293,4
4380479,4420650,909,3416,35
4382625,4422796,909,1291,4
