repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
56658,469133,1424,2106,4
59003,471230,3313,3324,2
116455,258559,1670,1690,2
151587,1805121,481,1849,25
205274,1570116,313,2123,90
205276,1399363,478,2135,14
246968,734544,1674,1691,2
246969,514568,1672,1689,2
377312,599607,1761,1869,4
377317,784975,1757,1869,4
377325,994124,1835,1868,2
430814,1088872,609,1695,12
447011,469178,1424,2061,3
467275,542258,1660,1704,2
514564,734541,1670,1697,2
599690,994194,1757,1793,2
742094,1906838,326,1692,13
785053,994194,1759,1792,2
1073041,1465309,2256,2284,2
1073043,1811136,2219,2277,2
1119570,1521770,1666,1688,2
1399357,1570112,567,2137,91
1465314,1811139,2220,2272,2
