repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
227778,4125444,1184,1470,5
227830,4241291,1655,1685,1
229706,4243259,2267,3250,1
296432,3157338,1956,1963,1
296436,3575182,1954,1960,1
296439,4011030,1956,1957,1
438848,2732492,1433,1437,1
438857,3727204,1432,1433,1
1056750,2677769,1432,1435,1
1056755,4522102,1432,1433,1
1187995,3955729,1052,1963,1
1187997,4821852,1954,1960,1
2097130,4821855,904,1954,10
2677766,4522094,1434,1453,1
2732500,3727203,1433,1434,1
3157342,4011027,1957,1959,1
3157345,3575185,1954,1955,1
3575182,4011027,1954,1956,1
3955734,4821855,1051,1956,1
4125374,4378550,1003,1486,6
4126920,4420361,1577,3704,17
4241294,4418941,874,1682,6
4243259,4420814,3245,3248,1
