repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
273179,334776,1195,1196,1
273179,657954,1195,1196,1
273179,894548,1195,1196,1
273179,898228,1195,1196,1
273179,1384005,1195,1196,1
273179,1516337,1195,1196,1
273179,2468156,1195,1196,1
273179,3247381,1195,1196,1
273179,3990926,1195,1196,1
314453,3550412,1255,1256,1
314453,4254146,1255,1256,1
380482,2573923,1333,1334,1
380483,902069,1335,1336,1
380483,2324208,1332,1333,1
380484,1649986,1333,1334,1
380484,3175379,1331,1332,1
380484,3539381,1332,1333,1
390932,4079075,1265,1266,1
390933,2472768,1260,1261,1
565999,3550408,1260,1261,1
573809,657949,1204,1205,1
573809,894543,1205,1206,1
573809,1516332,1203,1204,1
573810,3247377,1203,1204,1
573810,3990922,1203,1204,1
573814,334776,1195,1196,1
573814,898228,1195,1196,1
573814,1384005,1198,1199,1
573814,2468156,1195,1196,1
654209,1279724,1203,1204,1
654209,3956862,1203,1204,1
654210,2541250,1198,1199,1
654210,2664927,1198,1199,1
654213,2352886,1195,1196,1
688268,3247376,1204,1205,1
688269,657950,1205,1206,1
688269,894544,1203,1204,1
688269,1516333,1202,1203,1
688273,334776,1195,1196,1
688273,898228,1195,1196,1
688273,1384005,1198,1199,1
688273,2468156,1195,1196,1
1094667,2472768,1259,1260,1
1105622,142142,1331,1332,1
1105622,1460251,1332,1333,1
1105622,3343964,1332,1333,1
1301038,1649985,1332,1333,1
1301038,3175378,1333,1334,1
1301039,902070,1331,1332,1
1301039,2324209,1331,1332,1
1301039,2573925,1332,1333,1
1397754,1279724,1203,1204,1
1397755,2541250,1198,1199,1
1397755,2664927,1198,1199,1
1397758,2352886,1195,1196,1
1469623,1460250,1333,1334,1
1469624,142142,1331,1332,1
1471010,132974,1221,1222,1
1980205,1384001,1204,1205,1
1980206,334773,1198,1199,1
1980206,898225,1198,1199,1
1980206,2468153,1198,1199,1
1980209,657954,1198,1199,1
1980209,894548,1198,1199,1
1980209,1516337,1199,1200,1
2071077,1460250,1332,1333,1
2071078,142142,1331,1332,1
2103882,1384001,1203,1204,1
2103883,334773,1198,1199,1
2103883,898225,1198,1199,1
2103883,2468153,1198,1199,1
2103886,657954,1198,1199,1
2103886,894548,1198,1199,1
2103886,1516337,1200,1201,1
2176983,1279728,1195,1196,1
2176983,2352886,1198,1199,1
2292250,334773,1198,1199,1
2292250,898225,1198,1199,1
2292250,1384002,1198,1199,1
2292253,657954,1195,1196,1
2292253,894548,1195,1196,1
2320793,142141,1332,1333,1
2320794,1460251,1331,1332,1
2725586,430446,2318,2319,1
2728223,433089,1383,1384,1
2995017,142142,1331,1332,1
2995017,1460251,1332,1333,1
3128799,1279725,1202,1203,1
3184752,902070,1331,1332,1
3261131,1279725,1198,1199,1
3365407,657950,1203,1204,1
3365407,894544,1205,1206,1
3424917,430979,1742,1743,1
3426979,433124,1283,1284,1
3465786,430446,2275,2276,1
3468461,433118,1289,1290,1
3599595,433124,1283,1284,1
3691256,430979,1365,1366,1
3693318,433124,1283,1284,1
3742933,142142,1331,1332,1
