repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
15378,2519710,1346,1362,1
15379,607222,1345,1361,1
314449,565999,1255,1257,1
314453,2172311,1255,1256,1
380477,1301032,1331,1337,1
380480,4502857,1331,1337,1
380483,3184751,1331,1333,1
390932,1094666,1260,1261,1
565998,2172306,1260,1261,1
573801,3365398,1204,1215,1
607223,2519712,1345,1352,1
654208,1397753,1204,1205,1
1094666,390932,1260,1261,1
1105614,1469616,1332,1351,1
1105620,2071076,1331,1332,1
1105621,2995016,1333,1334,1
1105621,3742932,1332,1333,1
1105623,2320795,1331,1332,1
1301033,3184746,1335,1344,1
1301037,4502859,1331,1336,1
1397753,654208,1204,1205,1
1469614,2320784,1331,1344,1
1469618,2071072,1332,1333,1
1469621,3742930,1331,1339,1
1469622,2995015,1334,1337,1
2071069,2995008,1331,1347,1
2071073,3742928,1332,1335,1
2071078,2320794,1332,1333,1
2172306,565998,1260,1261,1
2172311,314453,1255,1256,1
2176979,4310359,1205,1206,1
2320794,2071078,1332,1333,1
2320794,3742933,1333,1336,1
2320796,2995019,1331,1334,1
2724707,3464907,3027,3155,1
2724710,3689847,1365,3152,21
2724717,3423515,1742,3142,9
2727866,3468075,1289,2167,25
2728210,3426931,1283,1770,8
2728211,3693271,1283,1816,8
2728222,3599559,1283,1811,10
2995010,3742926,1333,1337,1
2995016,1105621,1333,1334,1
3184752,4502861,1331,1332,1
3423513,3689852,1507,5182,22
3423515,3464917,1744,3393,15
3426929,3468417,1566,1772,1
3426948,3599564,1358,1753,2
3464912,3689849,1365,3398,26
3468418,3693269,1330,1973,9
3468433,3599561,1352,1945,1
3599565,3693288,1336,1951,10
3742932,1105621,1332,1333,1
3750587,3987181,1204,1205,1
3874520,4017511,1811,3715,18
3987181,3750587,1204,1205,1
3987182,3128799,1204,1205,1
4310359,2176979,1205,1206,1
4502861,3184752,1331,1332,1
