Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,0,768,0
0,1,768,2
0,2,768,3
0,3,768,3
0,4,768,6
0,5,768,6
0,6,768,8
0,7,768,9
0,8,768,9
0,9,768,11
0,10,768,12
0,11,768,12
0,12,768,14
0,13,768,15
0,14,768,15
0,15,768,18
0,16,768,18
0,17,768,20
0,18,768,21
0,19,768,23
0,20,768,24
0,21,768,24
0,22,768,26
0,23,768,27
0,24,768,27
0,25,768,29
0,26,768,30
0,27,768,30
0,28,768,32
0,29,768,33
0,30,768,33
0,31,768,35
0,32,768,36
0,33,768,36
0,34,768,38
0,35,768,39
0,36,768,41
0,37,768,42
0,38,768,42
0,39,768,44
0,40,768,45
0,41,768,45
0,42,768,47
0,43,768,48
0,44,768,48
0,45,768,51
0,46,768,53
0,47,768,54
0,48,768,54
0,49,768,56
0,50,768,57
1,0,768,0
1,1,768,2
1,2,768,3
1,3,768,3
1,4,768,5
1,5,768,6
1,6,768,6
1,7,768,8
1,8,768,9
1,9,768,9
1,10,768,12
1,11,768,12
1,12,768,14
1,13,768,15
1,14,768,17
1,15,768,18
1,16,768,18
1,17,768,20
1,18,768,21
1,19,768,23
1,20,768,24
1,21,768,24
1,22,768,26
1,23,768,27
1,24,768,27
1,25,768,29
1,26,768,30
1,27,768,30
1,28,768,32
1,29,768,33
1,30,768,33
1,31,768,35
1,32,768,36
1,33,768,36
1,34,768,39
1,35,768,39
1,36,768,41
1,37,768,42
1,38,768,42
1,39,768,44
1,40,768,45
1,41,768,45
1,42,768,47
1,43,768,48
1,44,768,48
1,45,768,50
1,46,768,53
1,47,768,54
1,48,768,54
1,49,768,57
1,50,768,60
2,0,768,0
2,1,768,2
2,2,768,3
2,3,768,5
2,4,768,6
2,5,768,6
2,6,768,8
2,7,768,9
2,8,768,9
2,9,768,11
2,10,768,12
2,11,768,12
2,12,768,14
2,13,768,15
2,14,768,17
2,15,768,18
2,16,768,18
2,17,768,21
2,18,768,21
2,19,768,23
2,20,768,24
2,21,768,24
2,22,768,26
2,23,768,27
2,24,768,27
2,25,768,29
2,26,768,30
2,27,768,30
2,28,768,33
2,29,768,33
2,30,768,35
2,31,768,36
2,32,768,36
2,33,768,38
2,34,768,39
2,35,768,39
2,36,768,42
2,37,768,42
2,38,768,44
2,39,768,45
2,40,768,45
2,41,768,47
2,42,768,48
2,43,768,48
2,44,768,50
2,45,768,51
2,46,768,51
2,47,768,53
2,48,768,54
2,49,768,54
2,50,768,56
3,0,768,0
3,1,768,2
3,2,768,3
3,3,768,5
3,4,768,6
3,5,768,6
3,6,768,8
3,7,768,9
3,8,768,9
3,9,768,11
3,10,768,12
3,11,768,12
3,12,768,14
3,13,768,15
3,14,768,17
3,15,768,18
3,16,768,18
3,17,768,21
3,18,768,21
3,19,768,23
3,20,768,24
3,21,768,24
3,22,768,26
3,23,768,27
3,24,768,29
3,25,768,30
3,26,768,30
3,27,768,32
3,28,768,33
3,29,768,33
3,30,768,35
3,31,768,36
3,32,768,36
3,33,768,38
3,34,768,39
3,35,768,39
3,36,768,41
3,37,768,42
3,38,768,42
3,39,768,44
3,40,768,45
3,41,768,47
3,42,768,48
3,43,768,50
3,44,768,51
3,45,768,53
3,46,768,54
3,47,768,54
3,48,768,56
3,49,768,57
3,50,768,59
4,0,768,0
4,1,768,3
4,2,768,5
4,3,768,6
4,4,768,8
4,5,768,9
4,6,768,9
4,7,768,11
4,8,768,12
4,9,768,12
4,10,768,15
4,11,768,17
4,12,768,18
4,13,768,18
4,14,768,20
4,15,768,21
4,16,768,21
4,17,768,23
4,18,768,26
4,19,768,27
4,20,768,29
4,21,768,30
4,22,768,33
4,23,768,35
4,24,768,36
4,25,768,36
4,26,768,39
4,27,768,39
4,28,768,41
4,29,768,44
4,30,768,45
4,31,768,45
4,32,768,48
4,33,768,48
4,34,768,51
4,35,768,53
4,36,768,54
4,37,768,54
4,38,768,56
4,39,768,57
4,40,768,57
4,41,768,59
4,42,768,60
4,43,768,60
4,44,768,62
4,45,768,63
4,46,768,65
4,47,768,66
4,48,768,66
4,49,768,69
4,50,768,71
5,0,884,0
5,1,884,168
5,2,884,188
5,3,884,229
5,4,884,283
5,5,884,285
5,6,884,286
5,7,884,287
5,8,884,289
5,9,884,291
5,10,884,292
5,11,884,295
5,12,884,297
5,13,884,299
5,14,884,300
5,15,884,304
5,16,884,305
5,17,884,306
5,18,884,307
5,19,884,308
5,20,884,311
5,21,884,312
5,22,884,313
5,23,884,317
5,24,884,318
5,25,884,319
5,26,884,320
5,27,884,321
5,28,884,323
5,29,884,324
5,30,884,325
5,31,884,326
5,32,884,327
5,33,884,328
5,34,884,329
5,35,884,331
5,36,884,332
5,37,884,333
5,38,884,334
5,39,884,335
5,40,884,338
5,41,884,339
