repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
526469,2052137,1011,1210,2
637900,638018,76,80,32
638138,638530,78,82,34
638236,638346,76,77,1
677312,677996,84,152,5
677511,678195,101,393,14
728766,728811,92,190,2
732507,732921,76,86,30
732509,733030,78,85,31
732513,732804,78,91,27
732801,732924,77,80,34
732805,733035,78,83,33
732922,733029,76,85,30
904624,1086518,117,332,7
904684,1086397,112,190,5
1007061,1036203,78,104,30
1021254,1022735,96,220,6
1030408,1037874,673,947,4
1040964,1196172,167,722,23
1086397,1086578,119,190,1
1399807,1399900,118,414,6
1399808,1399994,82,323,8
1985402,1998954,179,1296,16
1985420,2013262,85,102,20
1986869,2000972,94,632,20
1987590,2001693,163,757,60
1998968,2013258,84,105,21
