Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-31,1204,45
0,-30,1204,44
0,-29,1204,41
0,-28,1204,39
0,-27,1204,38
0,-26,1204,36
0,-25,1204,35
0,-24,1204,34
0,-23,1204,33
0,-22,1204,32
0,-21,1204,30
0,-20,1204,29
0,-19,1204,27
0,-18,1204,26
0,-17,1204,25
0,-16,1204,24
0,-15,1204,23
0,-14,1204,21
0,-13,1204,17
0,-12,1204,16
0,-11,1204,15
0,-10,1204,14
0,-9,1204,11
0,-8,1204,10
0,-7,1204,8
0,-6,1204,7
0,-5,1204,5
0,-4,1204,4
0,-3,1204,3
0,-2,1204,1
0,-1,1204,0
0,0,1204,0
0,1,1204,0
0,2,1204,1
0,3,1204,2
0,4,1204,3
0,5,1204,4
0,6,1204,5
0,7,1204,6
0,8,1204,7
0,9,1204,9
0,10,1204,10
0,11,1204,11
0,12,1204,13
0,13,1204,14
0,14,1204,15
0,15,1204,16
0,16,1204,18
0,17,1204,21
0,18,1204,22
0,19,1204,23
0,20,1204,24
0,21,1204,25
0,22,1204,29
0,23,1204,30
0,24,1204,32
0,25,1204,33
0,26,1204,34
0,27,1204,36
0,28,1204,41
0,29,1204,42
0,30,1204,45
0,31,1204,46
1,-31,1205,49
1,-29,1205,48
1,-29,1205,47
1,-28,1205,46
1,-27,1205,45
1,-26,1205,43
1,-25,1205,41
1,-24,1205,40
1,-23,1205,38
1,-22,1205,35
1,-21,1205,32
1,-20,1205,31
1,-19,1205,29
1,-18,1205,29
1,-17,1205,28
1,-16,1205,23
1,-14,1205,22
1,-14,1205,21
1,-13,1205,20
1,-12,1205,17
1,-11,1205,16
1,-10,1205,14
1,-9,1205,12
1,-8,1205,11
1,-7,1205,9
1,-6,1205,8
1,-5,1205,7
1,-4,1205,6
1,-3,1205,3
1,-2,1205,2
1,-1,1205,0
1,0,1205,0
1,1,1205,0
1,2,1205,1
1,3,1205,2
1,4,1205,4
1,5,1205,6
1,6,1205,7
1,7,1205,8
1,8,1205,9
1,9,1205,10
1,10,1205,11
1,11,1205,14
1,12,1205,16
1,13,1205,17
1,14,1205,18
1,14,1205,21
1,16,1205,22
1,17,1205,23
1,18,1205,24
1,19,1205,25
1,20,1205,26
1,21,1205,27
1,22,1205,28
1,23,1205,29
1,24,1205,32
1,25,1205,34
1,26,1205,35
1,27,1205,42
1,28,1205,43
1,29,1205,45
1,29,1205,46
1,31,1205,47
2,-31,1204,50
2,-30,1204,49
2,-29,1204,48
2,-28,1204,47
2,-27,1204,44
2,-26,1204,43
2,-25,1204,40
2,-24,1204,37
2,-23,1204,36
2,-22,1204,32
2,-21,1204,31
2,-20,1204,30
2,-19,1204,29
2,-18,1204,28
2,-17,1204,27
2,-16,1204,25
2,-15,1204,24
2,-14,1204,23
2,-13,1204,21
2,-12,1204,20
2,-11,1204,16
2,-10,1204,15
2,-9,1204,14
2,-8,1204,13
2,-7,1204,10
2,-6,1204,9
2,-5,1204,6
2,-4,1204,4
2,-3,1204,2
2,-2,1204,1
2,-1,1204,0
2,0,1204,0
2,1,1204,0
2,2,1204,1
2,3,1204,3
2,4,1204,4
2,5,1204,8
2,6,1204,9
2,7,1204,11
2,8,1204,12
2,9,1204,13
2,10,1204,14
2,11,1204,16
2,12,1204,18
2,13,1204,21
2,14,1204,22
2,15,1204,23
2,16,1204,24
2,17,1204,28
2,18,1204,29
2,19,1204,30
2,20,1204,31
2,21,1204,32
2,22,1204,34
2,23,1204,35
2,24,1204,38
2,25,1204,40
2,26,1204,43
2,27,1204,44
2,28,1204,45
2,29,1204,46
2,30,1204,50
2,31,1204,51
3,-31,1204,52
3,-30,1204,52
3,-29,1204,51
3,-28,1204,47
3,-27,1204,44
3,-26,1204,42
3,-25,1204,41
3,-24,1204,39
3,-23,1204,37
3,-22,1204,36
3,-21,1204,35
3,-20,1204,33
3,-19,1204,32
3,-18,1204,31
3,-17,1204,28
3,-16,1204,27
3,-15,1204,25
3,-14,1204,19
3,-13,1204,18
3,-12,1204,17
3,-11,1204,16
3,-10,1204,15
3,-9,1204,13
3,-8,1204,11
3,-7,1204,10
3,-6,1204,9
3,-5,1204,5
3,-4,1204,4
3,-3,1204,2
3,-2,1204,1
3,-1,1204,0
3,0,1204,0
3,1,1204,0
3,2,1204,1
3,3,1204,2
3,4,1204,3
3,5,1204,4
3,6,1204,6
3,7,1204,8
3,8,1204,9
3,9,1204,11
3,10,1204,12
3,11,1204,14
3,12,1204,15
3,13,1204,16
3,14,1204,17
3,15,1204,18
3,16,1204,19
3,17,1204,21
3,18,1204,22
3,19,1204,23
3,20,1204,25
3,21,1204,34
3,22,1204,35
3,23,1204,37
3,24,1204,39
3,25,1204,40
3,26,1204,41
3,27,1204,42
3,28,1204,43
3,29,1204,45
3,30,1204,48
3,31,1204,49
4,-31,1204,51
4,-30,1204,50
4,-29,1204,49
4,-28,1204,47
4,-27,1204,44
4,-26,1204,43
4,-25,1204,41
4,-24,1204,40
4,-23,1204,38
4,-22,1204,37
4,-21,1204,35
4,-20,1204,33
4,-19,1204,31
4,-18,1204,30
4,-17,1204,29
4,-16,1204,26
4,-15,1204,22
4,-14,1204,21
4,-13,1204,20
4,-12,1204,19
4,-11,1204,15
4,-10,1204,14
4,-9,1204,12
4,-8,1204,11
4,-7,1204,10
4,-6,1204,9
4,-5,1204,6
4,-4,1204,4
4,-3,1204,3
4,-2,1204,1
4,-1,1204,0
4,0,1204,0
4,1,1204,0
4,2,1204,1
4,3,1204,2
4,4,1204,3
4,5,1204,6
4,6,1204,7
4,7,1204,8
4,8,1204,9
4,9,1204,10
4,10,1204,12
4,11,1204,13
4,12,1204,14
4,13,1204,15
4,14,1204,16
4,15,1204,19
4,16,1204,23
4,17,1204,24
4,18,1204,25
4,19,1204,29
4,20,1204,31
4,21,1204,34
4,22,1204,35
4,23,1204,36
4,24,1204,37
4,25,1204,38
4,26,1204,42
4,27,1204,44
4,28,1204,47
4,29,1204,48
4,30,1204,49
4,31,1204,54
5,-31,1255,45
5,-30,1255,45
5,-29,1255,44
5,-28,1255,43
5,-27,1255,41
5,-26,1255,40
5,-25,1255,36
5,-24,1255,34
5,-22,1255,33
5,-22,1255,31
5,-21,1255,30
5,-20,1255,28
5,-19,1255,27
5,-18,1255,25
5,-17,1255,24
5,-16,1255,22
5,-15,1255,22
5,-14,1255,21
5,-13,1255,19
5,-12,1255,18
5,-11,1255,17
5,-10,1255,15
5,-9,1255,13
5,-8,1255,12
5,-7,1255,10
5,-6,1255,9
5,-5,1255,6
5,-4,1255,5
5,-3,1255,3
5,-2,1255,1
5,-1,1255,0
5,0,1255,0
5,1,1255,0
5,2,1255,1
5,3,1255,2
5,4,1255,5
5,5,1255,6
5,6,1255,7
5,7,1255,9
5,8,1255,10
5,9,1255,11
5,10,1255,12
5,11,1255,13
5,12,1255,16
5,13,1255,19
5,14,1255,20
5,15,1255,21
5,16,1255,22
5,17,1255,25
5,18,1255,26
5,19,1255,27
5,20,1255,29
5,21,1255,33
5,22,1255,34
5,22,1255,36
5,24,1255,40
5,25,1255,42
5,26,1255,43
5,27,1255,45
5,28,1255,47
5,29,1255,48
5,30,1255,49
5,31,1255,51
6,-31,1260,48
6,-30,1260,47
6,-29,1260,46
6,-28,1260,44
