Repeat ID,Extension ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-100,76,144
0,-99,76,143
0,-98,76,141
0,-97,76,140
0,-96,76,138
0,-95,76,137
0,-94,76,136
0,-93,76,135
0,-92,76,134
0,-91,76,133
0,-90,76,132
0,-89,76,131
0,-88,76,130
0,-86,76,129
0,-86,76,128
0,-85,76,126
0,-84,76,124
0,-83,76,123
0,-82,76,122
0,-81,76,121
0,-80,76,119
0,-79,76,118
0,-78,76,117
0,-77,76,115
0,-76,76,113
0,-75,76,112
0,-74,76,111
0,-73,76,107
0,-72,76,105
0,-71,76,104
0,-70,76,103
0,-69,76,102
0,-68,76,101
0,-67,76,99
0,-66,76,98
0,-65,76,96
0,-64,76,95
0,-63,76,94
0,-62,76,93
0,-61,76,92
0,-60,76,91
0,-59,76,90
0,-58,76,89
0,-57,76,88
0,-56,76,85
0,-55,76,84
0,-54,76,83
0,-52,76,82
0,-52,76,81
0,-51,76,80
0,-50,76,77
0,-49,76,75
0,-48,76,72
0,-47,76,71
0,-46,76,70
0,-45,76,68
0,-44,76,64
0,-43,76,63
0,-42,76,62
0,-41,76,61
0,-40,76,59
0,-39,76,58
0,-38,76,57
0,-37,76,55
0,-36,76,54
0,-35,76,52
0,-34,76,52
0,-33,76,51
0,-32,76,48
0,-31,76,47
0,-30,76,45
0,-29,76,44
0,-28,76,41
0,-27,76,38
0,-26,76,37
0,-25,76,36
0,-24,76,35
0,-23,76,34
0,-22,76,32
0,-21,76,29
0,-20,76,28
0,-19,76,27
0,-18,76,26
0,-17,76,25
0,-16,76,23
0,-15,76,21
0,-14,76,20
0,-13,76,19
0,-12,76,18
0,-11,76,17
0,-10,76,16
0,-9,76,15
0,-8,76,14
0,-7,76,13
0,-6,76,12
0,-5,76,10
0,-4,76,9
0,-3,76,7
0,-2,76,3
0,-1,76,2
0,0,76,0
0,1,76,7
0,2,76,8
0,3,76,12
0,4,76,13
0,5,76,16
0,6,76,17
0,7,76,18
0,8,76,19
0,9,76,21
0,10,76,23
0,11,76,25
0,12,76,26
0,13,76,27
0,14,76,31
0,15,76,33
0,16,76,34
0,17,76,35
0,18,76,36
0,19,76,41
0,20,76,43
0,21,76,44
0,22,76,45
0,23,76,47
0,24,76,48
0,25,76,50
0,26,76,51
0,27,76,52
0,28,76,52
0,29,76,54
0,30,76,55
0,31,76,56
0,32,76,57
0,33,76,59
0,34,76,60
0,35,76,61
0,36,76,62
0,37,76,64
0,38,76,65
0,39,76,66
0,40,76,68
0,41,76,69
0,42,76,70
0,43,76,71
0,44,76,72
0,45,76,73
0,46,76,74
0,47,76,75
0,48,76,76
0,49,76,77
0,50,76,78
0,51,76,80
0,52,76,81
0,52,76,82
0,54,76,84
0,55,76,85
0,56,76,86
0,57,76,89
0,58,76,90
0,59,76,92
0,60,76,95
0,61,76,97
0,62,76,98
0,63,76,99
0,64,76,100
0,65,76,101
0,66,76,104
0,67,76,105
0,68,76,105
0,69,76,107
0,70,76,108
0,71,76,110
0,72,76,111
0,73,76,112
0,74,76,113
0,75,76,115
0,76,76,117
0,77,76,118
0,78,76,121
0,79,76,122
0,80,76,123
0,81,76,124
0,82,76,126
0,83,76,127
0,84,76,129
0,85,76,130
0,86,76,131
0,86,76,132
0,88,76,133
0,89,76,134
0,90,76,135
0,91,76,138
0,92,76,139
0,93,76,140
0,94,76,141
0,95,76,142
0,96,76,144
0,97,76,145
0,98,76,147
0,99,76,148
0,100,76,149
1,-100,95,144
1,-98,95,143
1,-98,95,141
1,-97,95,140
1,-96,95,139
1,-95,95,137
1,-94,95,136
1,-93,95,135
1,-92,95,133
1,-91,95,132
1,-90,95,131
1,-89,95,130
1,-88,95,127
1,-87,95,125
1,-86,95,125
1,-85,95,124
1,-84,95,123
1,-83,95,121
1,-82,95,120
1,-81,95,118
1,-80,95,117
1,-79,95,116
1,-78,95,115
1,-77,95,114
1,-76,95,111
1,-75,95,110
1,-74,95,109
1,-73,95,107
1,-72,95,104
1,-71,95,103
1,-70,95,101
1,-69,95,100
1,-68,95,97
1,-67,95,96
1,-66,95,95
1,-65,95,94
1,-64,95,93
1,-62,95,92
1,-62,95,90
1,-61,95,89
1,-60,95,88
1,-59,95,86
1,-58,95,85
1,-57,95,84
1,-55,95,83
1,-55,95,81
1,-54,95,80
1,-52,95,79
1,-52,95,78
1,-51,95,76
1,-50,95,72
1,-49,95,70
1,-48,95,69
1,-47,95,68
1,-46,95,67
1,-45,95,66
1,-44,95,65
1,-43,95,64
1,-42,95,62
1,-41,95,62
1,-40,95,61
1,-39,95,60
1,-38,95,59
1,-37,95,58
1,-36,95,57
1,-35,95,55
1,-34,95,54
1,-33,95,52
1,-32,95,51
1,-31,95,50
1,-30,95,48
1,-29,95,46
1,-27,95,45
1,-27,95,44
1,-26,95,43
1,-25,95,40
1,-24,95,38
1,-23,95,37
1,-22,95,33
1,-21,95,32
1,-20,95,31
1,-19,95,27
1,-18,95,26
1,-17,95,25
1,-16,95,24
1,-15,95,23
1,-13,95,21
1,-13,95,19
1,-12,95,17
1,-11,95,15
1,-10,95,13
1,-9,95,11
1,-8,95,9
1,-6,95,8
1,-6,95,6
1,-5,95,6
1,-4,95,5
1,-3,95,4
1,-2,95,3
1,-1,95,2
1,0,95,0
1,1,95,1
1,2,95,2
1,3,95,3
1,4,95,4
1,5,95,5
1,6,95,6
1,6,95,6
1,8,95,8
1,9,95,9
1,10,95,12
1,11,95,13
1,12,95,15
1,13,95,16
1,13,95,17
1,15,95,18
1,16,95,21
1,17,95,22
1,18,95,23
1,19,95,24
1,20,95,25
1,21,95,26
1,22,95,27
1,23,95,29
1,24,95,30
1,25,95,31
1,26,95,34
1,27,95,35
1,27,95,36
1,29,95,37
1,30,95,39
1,31,95,42
1,32,95,43
1,33,95,45
1,34,95,46
1,35,95,47
1,36,95,48
1,37,95,49
1,38,95,50
1,39,95,51
1,40,95,52
1,41,95,52
1,42,95,54
1,43,95,55
1,44,95,55
1,45,95,57
1,46,95,58
1,47,95,59
1,48,95,60
1,49,95,61
1,50,95,62
1,51,95,62
1,52,95,64
1,52,95,65
1,54,95,66
1,55,95,67
1,55,95,68
1,57,95,69
1,58,95,70
1,59,95,71
1,60,95,72
1,61,95,75
1,62,95,76
1,62,95,77
1,64,95,78
1,65,95,79
1,66,95,81
1,67,95,83
1,68,95,84
1,69,95,85
1,70,95,86
1,71,95,87
1,72,95,89
1,73,95,90
1,74,95,91
1,75,95,93
1,76,95,95
1,77,95,96
1,78,95,97
1,79,95,98
1,80,95,98
1,81,95,100
1,82,95,101
1,83,95,102
1,84,95,103
1,85,95,104
1,86,95,105
1,87,95,105
1,88,95,107
1,89,95,108
1,90,95,109
1,91,95,110
1,92,95,111
1,93,95,112
1,94,95,114
1,95,95,115
1,96,95,117
1,97,95,124
1,98,95,125
1,98,95,130
1,100,95,132
2,-100,98,146
2,-98,98,145
2,-98,98,144
2,-97,98,143
2,-96,98,142
2,-95,98,140
2,-94,98,136
2,-93,98,135
2,-92,98,134
2,-91,98,132
2,-90,98,131
2,-89,98,130
2,-88,98,129
2,-87,98,127
2,-86,98,126
2,-85,98,125
2,-84,98,124
2,-83,98,123
2,-82,98,122
2,-81,98,121
2,-80,98,120
2,-79,98,118
2,-78,98,116
2,-77,98,114
2,-76,98,113
2,-75,98,112
2,-74,98,111
2,-73,98,109
2,-72,98,107
2,-71,98,107
2,-70,98,106
2,-69,98,105
2,-68,98,104
2,-67,98,102
2,-66,98,100
2,-65,98,98
2,-63,98,97
2,-63,98,96
2,-62,98,93
2,-61,98,92
2,-60,98,91
2,-59,98,90
2,-58,98,89
2,-57,98,88
2,-56,98,87
2,-54,98,86
2,-53,98,84
2,-53,98,83
2,-52,98,82
2,-51,98,81
2,-50,98,80
2,-49,98,79
2,-48,98,78
2,-47,98,77
2,-46,98,76
2,-45,98,75
2,-44,98,73
2,-43,98,72
