repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
56669,469144,1424,2090,1
59008,471235,3313,3314,1
116464,258568,1670,1671,1
151593,1805127,481,1833,23
205287,1399374,478,2109,10
246973,514572,1672,1679,1
246978,734554,1674,1675,1
377328,994127,1835,1851,1
377407,599702,1761,1769,1
377407,785065,1757,1767,1
447013,469180,1424,2054,1
467287,1371926,1659,1681,1
467292,542275,1660,1674,1
514575,734552,1670,1673,1
542272,1371928,1659,1673,1
599702,994206,1757,1772,1
742102,1906846,326,1673,11
785065,994206,1759,1775,1
1073048,1465316,2256,2264,1
1073093,1811186,2219,2220,1
1119570,1521770,1666,1680,1
