repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
15364,2519696,1346,1388,2
15367,607210,1345,1381,2
314438,2172296,1255,1282,2
314446,565996,1255,1273,2
380466,1301021,1331,1361,2
380473,4502850,1331,1349,2
380476,3184744,1331,1357,2
390923,1094657,1260,1275,2
565987,2172295,1260,1283,2
573798,3365395,1204,1230,2
607214,2519703,1345,1377,2
654194,1397739,1204,1227,2
1105605,1469607,1332,1364,2
1105609,2995004,1333,1352,2
1105610,2320782,1331,1354,2
1105613,3742924,1332,1345,2
1105616,2071072,1331,1348,2
1301029,4502851,1331,1347,2
1301031,3184744,1335,1354,2
1469609,2071063,1332,1354,2
1469609,2320779,1331,1349,2
1469610,3742919,1331,1357,2
1469613,2995006,1334,1363,2
2071064,2995003,1331,1361,2
2071067,2320783,1332,1351,2
2071068,3742923,1332,1352,2
2176969,4310349,1205,1222,2
2320785,3742924,1333,1354,2
2320787,2995010,1331,1345,2
2724678,3464887,1289,5497,59
2724707,3464907,3027,3165,3
2724711,3689848,1365,3160,23
2724712,3423510,1742,3158,11
2727863,3468072,1289,2184,26
2728207,3599544,1283,1840,12
2728208,3426929,1283,1777,10
2728209,3693269,1283,1837,11
2994997,3742913,1333,1356,2
3128788,3987171,1204,1226,2
3184739,4502848,1331,1351,2
3423502,3464904,1744,3421,17
3423511,3689850,1507,5212,24
3426924,3468412,1566,1799,3
3426935,3599551,1358,1788,4
3464906,3689843,1365,3413,28
3468415,3693266,1330,1980,11
3468417,3599545,1352,1974,3
3599557,3693280,1336,1969,12
3750581,3987175,1204,1216,2
3874519,4017510,1811,3720,21
