repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
526464,2052132,1011,1225,4
637895,638013,76,98,29
638127,638519,78,100,33
638230,638340,76,95,33
677304,677988,84,164,6
677499,678183,101,417,16
728739,728784,92,226,8
732502,733023,78,98,30
732506,732920,76,102,30
732510,732801,78,96,27
732794,732917,77,103,30
732804,733034,78,91,32
732921,733028,76,93,31
904616,1086510,117,358,10
904651,1086364,112,242,4
1007056,1036198,78,123,29
1021237,1022718,96,241,9
1030402,1037868,673,962,10
1040962,1196170,167,730,25
1086392,1086573,119,211,3
1399801,1399894,118,428,8
1399804,1399990,82,334,11
1985396,1998948,179,1308,18
1985411,2013253,85,124,22
1986868,2000971,94,653,28
1987575,2001678,163,786,62
1998960,2013250,84,126,21
