repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
15367,607210,1345,1381,2
314446,565996,1255,1273,2
380473,4502850,1331,1349,2
607214,2519703,1345,1377,2
1105609,2995004,1333,1352,2
1105610,2320782,1331,1354,2
1105613,3742924,1332,1345,2
1105616,2071072,1331,1348,2
1301029,4502851,1331,1347,2
1469609,2071063,1332,1354,2
1469609,2320779,1331,1349,2
1469610,3742919,1331,1357,2
2071067,2320783,1332,1351,2
2071068,3742923,1332,1352,2
2320787,2995010,1331,1345,2
2724707,3464907,3027,3165,3
2724711,3689848,1365,3160,23
2724712,3423510,1742,3158,11
2727863,3468072,1289,2184,26
2728207,3599544,1283,1840,12
2728208,3426929,1283,1777,10
2728209,3693269,1283,1837,11
3426924,3468412,1566,1799,3
3426935,3599551,1358,1788,4
3464906,3689843,1365,3413,28
3468417,3599545,1352,1974,3
