repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
227778,4125444,1184,1470,5
229253,4126920,1074,3721,18
229706,4243259,2267,3250,1
296432,3157338,1956,1963,1
296436,3575182,1954,1960,1
296439,4011030,1956,1957,1
438848,2732492,1433,1437,1
1187995,3955729,1052,1963,1
1187997,4821852,1954,1960,1
1533074,3780578,413,1438,23
2097127,3955731,470,1957,11
2097130,4821855,904,1954,10
2677766,4522094,1434,1453,1
2736445,3535827,531,1551,6
3157342,4011027,1957,1959,1
3157345,3575185,1954,1955,1
3575182,4011027,1954,1956,1
3955734,4821855,1051,1956,1
4016868,4830123,432,3826,65
4125374,4378550,1003,1486,6
4125444,4418886,739,1470,2
4126920,4420361,1577,3704,17
4241294,4418941,874,1682,6
4243259,4420814,3245,3248,1
