Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,0,348,348
0,1,348,420
0,2,348,437
0,3,348,461
0,4,348,470
0,5,348,473
0,6,348,488
0,7,348,561
0,8,348,566
0,9,348,568
0,10,348,576
0,11,348,600
0,12,348,601
0,13,348,602
0,14,348,603
0,15,348,604
0,16,348,605
0,17,348,606
0,18,348,608
0,19,348,609
0,20,348,611
0,21,348,613
0,22,348,614
0,23,348,617
0,24,348,618
0,25,348,621
0,26,348,622
0,27,348,626
0,28,348,627
0,29,348,633
0,30,348,634
0,31,348,635
0,32,348,640
0,33,348,643
0,34,348,644
0,35,348,645
0,36,348,646
0,37,348,647
0,38,348,648
0,39,348,654
0,40,348,655
0,41,348,657
0,42,348,663
0,43,348,666
0,44,348,671
0,45,348,672
0,46,348,673
0,47,348,674
0,48,348,677
0,49,348,678
0,50,348,679
1,0,618,618
1,1,618,621
1,2,618,623
1,3,618,624
1,4,618,625
1,5,618,626
1,6,618,627
1,7,618,632
1,8,618,634
1,9,618,635
1,10,618,636
1,11,618,637
1,12,618,640
1,13,618,641
1,14,618,642
1,15,618,643
1,16,618,644
1,17,618,645
1,18,618,647
1,19,618,648
1,20,618,648
1,21,618,650
1,22,618,651
1,23,618,654
1,24,618,656
1,25,618,657
1,26,618,660
1,27,618,662
1,28,618,663
1,29,618,665
1,30,618,666
1,31,618,666
1,32,618,668
1,33,618,669
1,34,618,670
1,35,618,672
1,36,618,673
1,37,618,674
1,38,618,675
1,39,618,676
1,40,618,677
1,41,618,679
1,42,618,680
1,43,618,682
1,44,618,683
1,45,618,684
1,46,618,685
1,47,618,686
1,48,618,687
1,49,618,688
1,50,618,690
2,0,618,618
2,1,618,621
2,2,618,623
2,3,618,624
2,4,618,625
2,5,618,626
2,6,618,631
2,7,618,633
2,8,618,634
2,9,618,635
2,10,618,636
2,11,618,637
2,12,618,640
2,13,618,641
2,14,618,642
2,15,618,643
2,16,618,644
2,17,618,645
2,18,618,647
2,19,618,648
2,20,618,648
2,21,618,650
2,22,618,651
2,23,618,651
2,24,618,653
2,25,618,654
2,26,618,656
2,27,618,657
2,28,618,657
2,29,618,659
2,30,618,660
2,31,618,662
2,32,618,665
2,33,618,666
2,34,618,666
2,35,618,668
2,36,618,669
2,37,618,673
2,38,618,674
2,39,618,675
2,40,618,677
2,41,618,680
2,42,618,681
2,43,618,682
2,44,618,683
2,45,618,685
2,46,618,687
2,47,618,688
2,48,618,689
2,49,618,694
2,50,618,695
3,0,618,618
3,1,618,621
3,2,618,623
3,3,618,624
3,4,618,625
3,5,618,630
3,6,618,632
3,7,618,633
3,8,618,634
3,9,618,635
3,10,618,636
3,11,618,637
3,12,618,640
3,13,618,641
3,14,618,642
3,15,618,643
3,16,618,645
3,17,618,645
3,18,618,648
3,19,618,651
3,20,618,651
3,21,618,653
3,22,618,654
3,23,618,654
3,24,618,656
3,25,618,657
3,26,618,660
3,27,618,662
3,28,618,663
3,29,618,665
3,30,618,666
3,31,618,666
3,32,618,668
3,33,618,669
3,34,618,670
3,35,618,671
3,36,618,672
3,37,618,673
3,38,618,675
3,39,618,676
3,40,618,677
3,41,618,678
3,42,618,679
3,43,618,680
3,44,618,681
3,45,618,682
3,46,618,683
3,47,618,685
3,48,618,686
3,49,618,688
3,50,618,691
4,0,618,618
4,1,618,621
4,2,618,623
4,3,618,624
4,4,618,625
4,5,618,630
4,6,618,632
4,7,618,633
4,8,618,634
4,9,618,635
4,10,618,638
4,11,618,639
4,12,618,640
4,13,618,641
4,14,618,642
4,15,618,643
4,16,618,644
4,17,618,645
4,18,618,645
4,19,618,647
4,20,618,648
4,21,618,650
4,22,618,651
4,23,618,653
4,24,618,654
4,25,618,657
4,26,618,659
4,27,618,660
4,28,618,660
4,29,618,662
4,30,618,666
4,31,618,666
4,32,618,668
4,33,618,669
4,34,618,670
4,35,618,671
4,36,618,672
4,37,618,673
4,38,618,674
4,39,618,676
4,40,618,677
4,41,618,678
4,42,618,679
4,43,618,680
4,44,618,681
4,45,618,682
4,46,618,684
4,47,618,685
4,48,618,686
4,49,618,688
4,50,618,691
5,0,662,662
5,1,662,663
5,2,662,664
5,3,662,664
5,4,662,667
5,5,662,668
5,6,662,669
5,7,662,671
5,8,662,673
5,9,662,674
5,10,662,677
5,11,662,678
5,12,662,679
5,13,662,680
5,14,662,681
5,15,662,683
5,16,662,684
5,17,662,685
5,18,662,686
5,19,662,687
5,20,662,688
5,21,662,689
5,22,662,690
5,23,662,690
5,24,662,693
5,25,662,694
5,26,662,695
5,27,662,695
5,28,662,697
5,29,662,698
5,30,662,699
5,31,662,700
5,32,662,700
5,33,662,702
5,34,662,703
5,35,662,705
5,36,662,705
5,37,662,707
5,38,662,708
5,39,662,710
5,40,662,711
5,41,662,712
5,42,662,713
5,43,662,714
5,44,662,716
5,45,662,720
5,46,662,721
5,47,662,721
5,48,662,723
5,49,662,725
5,50,662,726
6,0,511,511
6,1,511,544
6,2,511,549
6,3,511,551
6,4,511,552
6,5,511,553
6,6,511,554
6,7,511,555
6,8,511,556
6,9,511,559
6,10,511,562
6,11,511,563
6,12,511,564
6,13,511,565
6,14,511,700
6,15,511,701
6,16,511,702
6,17,511,703
6,18,511,704
6,19,511,705
6,20,511,707
6,21,511,710
6,22,511,711
6,23,511,713
6,24,511,714
6,25,511,715
6,26,511,716
6,27,511,717
6,28,511,718
6,29,511,720
6,30,511,721
6,31,511,722
6,32,511,724
6,33,511,725
6,34,511,726
6,35,511,727
6,36,511,728
6,37,511,729
6,38,511,730
6,39,511,731
6,40,511,734
6,41,511,735
6,42,511,737
6,43,511,740
6,44,511,741
6,45,511,742
6,46,511,743
6,47,511,744
6,48,511,745
6,49,511,746
6,50,511,750
7,0,412,412
7,1,412,499
7,2,412,518
7,3,412,553
7,4,412,562
7,5,412,601
7,6,412,607
7,7,412,611
7,8,412,612
7,9,412,613
7,10,412,614
7,11,412,662
7,12,412,668
7,13,412,672
7,14,412,673
7,15,412,674
7,16,412,675
7,17,412,697
7,18,412,705
7,19,412,708
7,20,412,709
7,21,412,710
7,22,412,711
7,23,412,713
7,24,412,714
7,25,412,721
7,26,412,728
7,27,412,732
7,28,412,733
7,29,412,734
7,30,412,736
7,31,412,737
7,32,412,739
7,33,412,742
7,34,412,748
7,35,412,756
7,36,412,758
7,37,412,781
7,38,412,786
7,39,412,794
7,40,412,796
7,41,412,797
7,42,412,798
7,43,412,799
7,44,412,801
7,45,412,802
7,46,412,803
7,47,412,806
7,48,412,807
7,49,412,808
7,50,412,809
8,0,768,768
8,1,768,770
8,2,768,771
8,3,768,772
8,4,768,773
8,5,768,775
8,6,768,776
8,7,768,777
8,8,768,778
8,9,768,779
8,10,768,780
8,11,768,781
8,12,768,782
8,13,768,783
8,14,768,785
8,15,768,786
8,16,768,787
8,17,768,788
8,18,768,789
8,19,768,790
8,20,768,792
8,21,768,793
8,22,768,794
8,23,768,795
8,24,768,796
8,25,768,797
8,26,768,798
8,27,768,799
8,28,768,800
8,29,768,801
8,30,768,802
8,31,768,803
8,32,768,804
8,33,768,805
8,34,768,806
8,35,768,807
8,36,768,809
8,37,768,810
8,38,768,811
8,39,768,812
8,40,768,813
8,41,768,816
8,42,768,817
8,43,768,818
8,44,768,819
8,45,768,822
8,46,768,824
8,47,768,826
8,48,768,828
8,49,768,829
8,50,768,830
9,0,768,768
9,1,768,770
9,2,768,772
9,3,768,773
9,4,768,774
9,5,768,775
9,6,768,776
9,7,768,777
9,8,768,778
9,9,768,779
9,10,768,780
9,11,768,781
9,12,768,782
9,13,768,783
9,14,768,785
9,15,768,786
9,16,768,787
9,17,768,789
9,18,768,790
9,19,768,791
9,20,768,792
9,21,768,793
9,22,768,794
9,23,768,795
9,24,768,796
9,25,768,797
9,26,768,798
9,27,768,799
9,28,768,801
9,29,768,802
9,30,768,803
9,31,768,804
9,32,768,806
9,33,768,807
9,34,768,808
9,35,768,809
9,36,768,810
9,37,768,811
9,38,768,812
9,39,768,813
9,40,768,814
9,41,768,815
9,42,768,816
9,43,768,817
9,44,768,818
9,45,768,819
9,46,768,820
9,47,768,821
9,48,768,822
9,49,768,824
9,50,768,825
10,0,768,768
10,1,768,771
10,2,768,773
10,3,768,775
10,4,768,776
10,5,768,777
10,6,768,778
10,7,768,779
10,8,768,780
10,9,768,781
10,10,768,782
10,11,768,783
10,12,768,786
10,13,768,787
10,14,768,788
10,15,768,789
10,16,768,790
10,17,768,791
10,18,768,792
10,19,768,794
10,20,768,795
10,21,768,798
10,22,768,799
10,23,768,800
10,24,768,802
10,25,768,803
10,26,768,806
10,27,768,808
10,28,768,809
10,29,768,810
10,30,768,811
10,31,768,812
10,32,768,813
10,33,768,814
10,34,768,815
10,35,768,817
10,36,768,818
10,37,768,819
10,38,768,820
10,39,768,821
10,40,768,824
10,41,768,825
10,42,768,826
10,43,768,828
10,44,768,829
10,45,768,830
10,46,768,831
10,47,768,832
10,48,768,833
10,49,768,834
10,50,768,835
11,0,398,398
11,1,398,704
11,2,398,705
11,3,398,708
11,4,398,809
11,5,398,809
11,6,398,811
11,7,398,812
11,8,398,813
11,9,398,814
11,10,398,815
11,11,398,817
11,12,398,819
11,13,398,821
11,14,398,823
11,15,398,824
11,16,398,826
11,17,398,828
11,18,398,829
11,19,398,829
11,20,398,831
11,21,398,833
11,22,398,834
11,23,398,835
11,24,398,836
11,25,398,837
11,26,398,838
11,27,398,839
11,28,398,839
11,29,398,841
11,30,398,842
11,31,398,843
11,32,398,844
11,33,398,845
11,34,398,846
11,35,398,847
11,36,398,848
11,37,398,848
11,38,398,849
11,39,398,851
11,40,398,852
11,41,398,853
11,42,398,855
11,43,398,858
11,44,398,859
11,45,398,863
11,46,398,864
11,47,398,866
11,48,398,869
11,49,398,871
11,50,398,873
12,0,704,704
12,1,704,705
12,2,704,706
12,3,704,709
12,4,704,810
12,5,704,811
12,6,704,812
12,7,704,813
12,8,704,814
12,9,704,816
12,10,704,818
12,11,704,820
12,12,704,822
12,13,704,823
12,14,704,824
12,15,704,825
12,16,704,826
12,17,704,827
12,18,704,829
12,19,704,831
12,20,704,832
12,21,704,833
12,22,704,834
12,23,704,835
12,24,704,836
12,25,704,837
12,26,704,838
12,27,704,840
12,28,704,841
12,29,704,842
12,30,704,843
12,31,704,844
12,32,704,845
12,33,704,846
12,34,704,847
12,35,704,849
12,36,704,853
12,37,704,854
12,38,704,855
12,39,704,856
12,40,704,857
12,41,704,858
12,42,704,859
12,43,704,860
12,44,704,860
12,45,704,862
12,46,704,863
12,47,704,865
12,48,704,866
12,49,704,869
12,50,704,870
13,0,704,704
13,1,704,705
13,2,704,708
13,3,704,809
13,4,704,810
13,5,704,811
13,6,704,812
13,7,704,813
13,8,704,814
13,9,704,815
13,10,704,816
13,11,704,819
13,12,704,821
13,13,704,823
13,14,704,824
13,15,704,825
13,16,704,826
13,17,704,827
13,18,704,829
13,19,704,831
13,20,704,832
13,21,704,833
13,22,704,834
13,23,704,835
13,24,704,836
13,25,704,838
13,26,704,838
13,27,704,840
13,28,704,841
13,29,704,842
13,30,704,843
13,31,704,844
13,32,704,845
13,33,704,846
13,34,704,847
13,35,704,848
13,36,704,849
13,37,704,854
13,38,704,855
13,39,704,856
13,40,704,857
13,41,704,858
13,42,704,859
13,43,704,860
13,44,704,860
13,45,704,863
13,46,704,866
13,47,704,868
13,48,704,871
13,49,704,871
13,50,704,874
14,0,460,460
14,1,460,546
14,2,460,573
14,3,460,672
14,4,460,676
14,5,460,683
14,6,460,684
14,7,460,908
14,8,460,909
14,9,460,911
14,10,460,912
14,11,460,915
14,12,460,916
14,13,460,917
14,14,460,918
14,15,460,919
14,16,460,920
14,17,460,921
14,18,460,922
14,19,460,923
14,20,460,924
14,21,460,926
14,22,460,927
14,23,460,928
14,24,460,929
14,25,460,931
14,26,460,931
14,27,460,933
14,28,460,934
14,29,460,935
14,30,460,935
14,31,460,937
14,32,460,938
14,33,460,938
14,34,460,940
14,35,460,941
14,36,460,942
14,37,460,944
14,38,460,945
14,39,460,946
14,40,460,947
14,41,460,948
14,42,460,951
14,43,460,952
14,44,460,953
14,45,460,953
14,46,460,955
14,47,460,956
14,48,460,956
14,49,460,958
14,50,460,960
15,0,884,884
15,1,884,1052
15,2,884,1073
15,3,884,1114
15,4,884,1167
15,5,884,1170
15,6,884,1171
15,7,884,1174
15,8,884,1175
15,9,884,1176
15,10,884,1177
15,11,884,1180
15,12,884,1181
15,13,884,1185
15,14,884,1186
15,15,884,1188
15,16,884,1190
15,17,884,1191
15,18,884,1194
15,19,884,1196
15,20,884,1198
15,21,884,1199
15,22,884,1200
15,23,884,1201
15,24,884,1202
15,25,884,1204
15,26,884,1205
15,27,884,1206
15,28,884,1207
15,29,884,1208
15,30,884,1209
15,31,884,1210
15,32,884,1211
15,33,884,1212
15,34,884,1213
15,35,884,1214
15,36,884,1215
15,37,884,1218
15,38,884,1220
15,39,884,1221
15,40,884,1223
15,41,884,1224
15,42,884,1228
15,43,884,1229
