Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,0,1204,1204
0,1,1204,1205
0,2,1204,1206
0,3,1204,1207
0,4,1204,1208
0,5,1204,1209
0,6,1204,1210
0,7,1204,1211
0,8,1204,1213
0,9,1204,1214
0,10,1204,1215
0,11,1204,1216
0,12,1204,1217
0,13,1204,1218
0,14,1204,1219
0,15,1204,1220
0,16,1204,1222
0,17,1204,1223
0,18,1204,1224
0,19,1204,1228
0,20,1204,1229
0,21,1204,1230
0,22,1204,1231
0,23,1204,1232
0,24,1204,1233
0,25,1204,1234
0,26,1204,1236
0,27,1204,1238
0,28,1204,1239
0,29,1204,1240
0,30,1204,1240
0,31,1204,1242
0,32,1204,1243
0,33,1204,1244
0,34,1204,1245
0,35,1204,1246
0,36,1204,1247
0,37,1204,1248
0,38,1204,1250
0,39,1204,1252
0,40,1204,1254
0,41,1204,1255
0,42,1204,1256
0,43,1204,1257
0,44,1204,1258
0,45,1204,1259
0,46,1204,1260
0,47,1204,1260
0,48,1204,1263
0,49,1204,1265
0,50,1204,1266
1,0,1204,1204
1,1,1204,1205
1,2,1204,1206
1,3,1204,1207
1,4,1204,1208
1,5,1204,1209
1,6,1204,1210
1,7,1204,1211
1,8,1204,1212
1,9,1204,1213
1,10,1204,1214
1,11,1204,1215
1,12,1204,1217
1,13,1204,1218
1,14,1204,1222
1,15,1204,1223
1,16,1204,1224
1,17,1204,1225
1,18,1204,1227
1,19,1204,1229
1,20,1204,1230
1,21,1204,1231
1,22,1204,1232
1,23,1204,1233
1,24,1204,1234
1,25,1204,1235
1,26,1204,1236
1,27,1204,1238
1,28,1204,1239
1,29,1204,1240
1,30,1204,1240
1,31,1204,1242
1,32,1204,1243
1,33,1204,1244
1,34,1204,1245
1,35,1204,1246
1,36,1204,1247
1,37,1204,1249
1,38,1204,1251
1,39,1204,1252
1,40,1204,1255
1,41,1204,1256
1,42,1204,1257
1,43,1204,1258
1,44,1204,1259
1,45,1204,1260
1,46,1204,1260
1,47,1204,1262
1,48,1204,1263
1,49,1204,1264
1,50,1204,1265
2,0,1204,1204
2,1,1204,1205
2,2,1204,1207
2,3,1204,1208
2,4,1204,1209
2,5,1204,1210
2,6,1204,1211
2,7,1204,1212
2,8,1204,1213
2,9,1204,1214
2,10,1204,1216
2,11,1204,1218
2,12,1204,1219
2,13,1204,1220
2,14,1204,1222
2,15,1204,1225
2,16,1204,1226
2,17,1204,1227
2,18,1204,1228
2,19,1204,1230
2,20,1204,1231
2,21,1204,1232
2,22,1204,1233
2,23,1204,1234
2,24,1204,1235
2,25,1204,1239
2,26,1204,1240
2,27,1204,1242
2,28,1204,1243
2,29,1204,1244
2,30,1204,1245
2,31,1204,1247
2,32,1204,1248
2,33,1204,1249
2,34,1204,1250
2,35,1204,1251
2,36,1204,1252
2,37,1204,1253
2,38,1204,1254
2,39,1204,1255
2,40,1204,1256
2,41,1204,1257
2,42,1204,1259
2,43,1204,1260
2,44,1204,1260
2,45,1204,1262
2,46,1204,1264
2,47,1204,1267
2,48,1204,1267
2,49,1204,1269
2,50,1204,1270
3,0,1204,1204
3,1,1204,1205
3,2,1204,1206
3,3,1204,1208
3,4,1204,1209
3,5,1204,1210
3,6,1204,1211
3,7,1204,1212
3,8,1204,1214
3,9,1204,1215
3,10,1204,1216
3,11,1204,1217
3,12,1204,1218
3,13,1204,1219
3,14,1204,1220
3,15,1204,1222
3,16,1204,1224
3,17,1204,1225
3,18,1204,1228
3,19,1204,1229
3,20,1204,1230
3,21,1204,1231
3,22,1204,1232
3,23,1204,1234
3,24,1204,1235
3,25,1204,1236
3,26,1204,1237
3,27,1204,1239
3,28,1204,1240
3,29,1204,1240
3,30,1204,1242
3,31,1204,1243
3,32,1204,1244
3,33,1204,1245
3,34,1204,1246
3,35,1204,1247
3,36,1204,1248
3,37,1204,1249
3,38,1204,1250
3,39,1204,1251
3,40,1204,1252
3,41,1204,1253
3,42,1204,1254
3,43,1204,1255
3,44,1204,1256
3,45,1204,1258
3,46,1204,1260
3,47,1204,1260
3,48,1204,1262
3,49,1204,1263
3,50,1204,1264
4,0,1204,1204
4,1,1204,1205
4,2,1204,1206
4,3,1204,1207
4,4,1204,1209
4,5,1204,1210
4,6,1204,1211
4,7,1204,1212
4,8,1204,1213
4,9,1204,1214
4,10,1204,1215
4,11,1204,1217
4,12,1204,1218
4,13,1204,1219
4,14,1204,1220
4,15,1204,1222
4,16,1204,1223
4,17,1204,1224
4,18,1204,1225
4,19,1204,1227
4,20,1204,1228
4,21,1204,1229
4,22,1204,1230
4,23,1204,1231
4,24,1204,1233
4,25,1204,1234
4,26,1204,1235
4,27,1204,1236
4,28,1204,1239
4,29,1204,1240
4,30,1204,1240
4,31,1204,1242
4,32,1204,1243
4,33,1204,1244
4,34,1204,1245
4,35,1204,1246
4,36,1204,1247
4,37,1204,1248
4,38,1204,1250
4,39,1204,1252
4,40,1204,1253
4,41,1204,1254
4,42,1204,1255
4,43,1204,1256
4,44,1204,1258
4,45,1204,1259
4,46,1204,1260
4,47,1204,1260
4,48,1204,1262
4,49,1204,1264
4,50,1204,1267
5,0,1205,1205
5,1,1205,1206
5,2,1205,1207
5,3,1205,1209
5,4,1205,1211
5,5,1205,1212
5,6,1205,1214
5,7,1205,1215
5,8,1205,1216
5,9,1205,1217
5,10,1205,1218
5,11,1205,1219
5,12,1205,1222
5,13,1205,1223
5,14,1205,1224
5,15,1205,1225
5,16,1205,1227
5,17,1205,1228
5,18,1205,1229
5,19,1205,1231
5,20,1205,1233
5,21,1205,1234
5,22,1205,1236
5,23,1205,1237
5,24,1205,1239
5,25,1205,1240
5,26,1205,1241
5,27,1205,1243
5,28,1205,1246
5,29,1205,1247
5,30,1205,1248
5,31,1205,1249
5,32,1205,1250
5,33,1205,1251
5,34,1205,1252
5,35,1205,1253
5,36,1205,1254
5,37,1205,1255
5,38,1205,1256
5,39,1205,1257
5,40,1205,1258
5,41,1205,1259
5,42,1205,1260
5,43,1205,1262
5,44,1205,1263
5,45,1205,1264
5,46,1205,1265
5,47,1205,1266
5,48,1205,1267
5,49,1205,1268
5,50,1205,1269
6,0,1205,1205
6,1,1205,1206
6,2,1205,1208
6,3,1205,1209
6,4,1205,1210
6,5,1205,1212
6,6,1205,1214
6,7,1205,1215
6,8,1205,1218
6,9,1205,1219
6,10,1205,1220
6,11,1205,1221
6,12,1205,1223
6,13,1205,1224
6,14,1205,1225
6,15,1205,1227
6,16,1205,1229
6,17,1205,1230
6,18,1205,1231
6,19,1205,1232
6,20,1205,1233
6,21,1205,1235
6,22,1205,1236
6,23,1205,1237
6,24,1205,1237
6,25,1205,1238
6,26,1205,1241
6,27,1205,1243
6,28,1205,1244
6,29,1205,1245
6,30,1205,1246
6,31,1205,1247
6,32,1205,1248
6,33,1205,1251
6,34,1205,1252
6,35,1205,1253
6,36,1205,1254
6,37,1205,1255
6,38,1205,1257
6,39,1205,1258
6,40,1205,1259
6,41,1205,1260
6,42,1205,1261
6,43,1205,1262
6,44,1205,1264
6,45,1205,1265
6,46,1205,1266
6,47,1205,1267
6,48,1205,1268
6,49,1205,1269
6,50,1205,1271
7,0,1204,1204
7,1,1204,1205
7,2,1204,1206
7,3,1204,1207
7,4,1204,1209
7,5,1204,1210
7,6,1204,1211
7,7,1204,1213
7,8,1204,1216
7,9,1204,1217
7,10,1204,1218
7,11,1204,1220
7,12,1204,1220
7,13,1204,1222
7,14,1204,1223
7,15,1204,1224
7,16,1204,1225
7,17,1204,1226
7,18,1204,1228
7,19,1204,1229
7,20,1204,1233
7,21,1204,1234
7,22,1204,1236
7,23,1204,1237
7,24,1204,1238
7,25,1204,1239
7,26,1204,1240
7,27,1204,1240
7,28,1204,1244
7,29,1204,1248
7,30,1204,1249
7,31,1204,1250
7,32,1204,1251
7,33,1204,1252
7,34,1204,1254
7,35,1204,1256
7,36,1204,1257
7,37,1204,1260
7,38,1204,1263
7,39,1204,1264
7,40,1204,1265
7,41,1204,1267
7,42,1204,1269
7,43,1204,1271
7,44,1204,1272
7,45,1204,1273
7,46,1204,1274
7,47,1204,1275
7,48,1204,1276
7,49,1204,1278
7,50,1204,1279
8,0,1255,1255
8,1,1255,1256
8,2,1255,1257
8,3,1255,1258
8,4,1255,1259
8,5,1255,1260
8,6,1255,1262
8,7,1255,1263
8,8,1255,1264
8,9,1255,1265
8,10,1255,1269
8,11,1255,1270
8,12,1255,1272
8,13,1255,1273
8,14,1255,1274
8,15,1255,1275
8,16,1255,1277
8,17,1255,1278
8,18,1255,1279
8,19,1255,1280
8,20,1255,1282
8,21,1255,1283
8,22,1255,1284
8,23,1255,1285
8,24,1255,1285
8,25,1255,1288
8,26,1255,1289
8,27,1255,1290
8,28,1255,1291
8,29,1255,1293
8,30,1255,1294
8,31,1255,1295
8,32,1255,1296
8,33,1255,1297
8,34,1255,1298
8,35,1255,1299
8,36,1255,1300
8,37,1255,1302
8,38,1255,1303
8,39,1255,1306
8,40,1255,1307
8,41,1255,1308
8,42,1255,1309
8,43,1255,1311
8,44,1255,1313
8,45,1255,1314
8,46,1255,1315
8,47,1255,1316
8,48,1255,1318
8,49,1255,1319
8,50,1255,1320
9,0,1255,1255
9,1,1255,1256
9,2,1255,1257
9,3,1255,1258
9,4,1255,1260
9,5,1255,1260
9,6,1255,1265
9,7,1255,1265
9,8,1255,1267
9,9,1255,1269
9,10,1255,1270
9,11,1255,1270
9,12,1255,1272
9,13,1255,1273
9,14,1255,1274
9,15,1255,1275
9,16,1255,1277
9,17,1255,1278
9,18,1255,1280
9,19,1255,1280
9,20,1255,1283
9,21,1255,1284
9,22,1255,1285
9,23,1255,1285
9,24,1255,1287
9,25,1255,1288
9,26,1255,1291
9,27,1255,1292
9,28,1255,1293
9,29,1255,1294
