repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
16666,1639623,419,1480,7
20344,436893,1475,1489,1
26871,956756,1667,1668,1
26872,554557,1669,1670,1
44303,1671064,193,200,1
56671,363249,1889,2089,1
59008,365338,3278,3284,1
116461,956750,1666,1675,1
116464,554553,1671,1672,1
131186,192151,1187,1207,1
131187,1060827,1016,1203,1
131193,850642,467,1191,3
151589,1082024,616,1770,23
151589,1698823,616,1770,23
151594,1476533,616,1834,23
151600,1291176,616,1833,23
163872,1340423,1115,1359,1
165225,1343442,341,342,1
174275,1349052,181,452,4
192154,1006946,465,1210,3
192156,294231,466,1193,3
197867,1465315,2259,2267,1
197870,1073050,2256,2272,1
258564,554549,1670,1676,1
258571,956756,1666,1669,1
262013,299639,1453,1474,1
262018,643592,1037,1458,2
262019,1308663,1452,1463,1
262021,507788,733,1152,3
262021,1511854,1457,1463,1
263190,508947,248,294,1
267086,903292,293,377,1
271035,599630,590,1834,12
271037,784995,590,1833,12
271114,377414,590,1759,10
271114,994213,590,1760,10
294230,1060830,466,1202,4
299647,1122331,1451,1462,1
363225,469122,3278,5395,3
363282,447012,1889,2056,1
365338,449316,3025,3196,1
456501,812266,246,579,8
467285,1087376,1659,1677,1
507786,1122329,733,1154,3
508947,1123500,247,288,1
533399,901939,236,404,9
542272,1087380,1661,1673,1
555833,1067688,388,391,1
564685,954208,1451,1465,1
643588,1122324,1038,1467,2
689250,901939,178,202,1
689801,903001,352,662,3
704396,988944,1659,1686,1
767866,954200,1452,1478,1
850640,1006948,1188,1194,1
850646,294237,1187,1188,1
912789,1088182,212,877,29
958033,1067688,387,393,1
1006952,1060835,465,1192,4
1066412,554558,1278,1279,1
1066412,956758,1278,1279,1
1811186,197913,2220,2221,1
