repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
26864,116460,1667,1679,2
26864,1066403,1278,1300,2
28144,1067684,388,401,2
192149,850633,465,1218,5
246969,514568,1672,1689,2
258561,1066400,1278,1303,2
299631,1308649,1453,1482,2
299641,643589,1037,1468,4
430826,478079,759,1682,8
447011,469178,1424,2061,3
449311,471230,3027,3208,3
467286,1371925,1659,1685,2
507782,1308659,733,1181,5
507784,1511850,733,1179,5
542269,1371925,1659,1681,2
599690,994194,1757,1793,2
643589,1511848,1037,1473,4
742095,1399363,454,1558,57
742099,1570122,395,1553,39
785053,994194,1759,1792,2
850637,1060828,465,1206,6
1073043,1811136,2219,2277,2
1399374,1906850,580,1541,55
1465314,1811139,2220,2272,2
1570119,1906840,335,1551,36
