Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,0,357,357
0,1,357,359
0,2,357,360
0,3,357,361
0,4,357,362
0,5,357,363
0,6,357,365
0,7,357,365
0,8,357,366
0,9,357,369
0,10,357,370
0,11,357,371
0,12,357,372
0,13,357,373
0,14,357,374
0,15,357,375
0,16,357,377
0,17,357,378
0,18,357,379
0,19,357,380
0,20,357,381
0,21,357,382
0,22,357,383
0,23,357,384
0,24,357,385
0,25,357,386
0,26,357,387
0,27,357,387
0,28,357,388
0,29,357,391
0,30,357,392
0,31,357,393
0,32,357,394
0,33,357,396
0,34,357,402
0,35,357,403
0,36,357,404
0,37,357,406
0,38,357,407
0,39,357,408
0,40,357,409
0,41,357,410
0,42,357,411
0,43,357,413
0,44,357,415
0,45,357,417
0,46,357,418
0,47,357,419
0,48,357,421
0,49,357,422
0,50,357,424
1,0,497,497
1,1,497,499
1,2,497,503
1,3,497,504
1,4,497,505
1,5,497,506
1,6,497,506
1,7,497,508
1,8,497,508
1,9,497,510
1,10,497,511
1,11,497,512
1,12,497,513
1,13,497,516
1,14,497,517
1,15,497,519
1,16,497,520
1,17,497,521
1,18,497,522
1,19,497,524
1,20,497,527
1,21,497,528
1,22,497,529
1,23,497,531
1,24,497,532
1,25,497,534
1,26,497,536
1,27,497,537
1,28,497,541
1,29,497,542
1,30,497,543
1,31,497,544
1,32,497,545
1,33,497,548
1,34,497,549
1,35,497,550
1,36,497,552
1,37,497,553
1,38,497,554
1,39,497,555
1,40,497,556
1,41,497,558
1,42,497,560
1,43,497,561
1,44,497,562
1,45,497,564
1,46,497,565
1,47,497,566
1,48,497,567
1,49,497,569
1,50,497,570
2,0,618,618
2,1,618,621
2,2,618,623
2,3,618,624
2,4,618,625
2,5,618,626
2,6,618,627
2,7,618,628
2,8,618,633
2,9,618,635
2,10,618,636
2,11,618,637
2,12,618,638
2,13,618,641
2,14,618,642
2,15,618,643
2,16,618,644
2,17,618,645
2,18,618,647
2,19,618,648
2,20,618,650
