Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-31,178,77
0,-30,178,76
0,-29,178,75
0,-28,178,73
0,-27,178,69
0,-26,178,67
0,-25,178,66
0,-24,178,65
0,-23,178,64
0,-22,178,62
0,-21,178,62
0,-20,178,58
0,-19,178,54
0,-18,178,53
0,-17,178,52
0,-16,178,50
0,-15,178,49
0,-14,178,46
0,-13,178,45
0,-12,178,44
0,-11,178,42
0,-10,178,41
0,-9,178,38
0,-8,178,37
0,-7,178,36
0,-6,178,35
0,-5,178,34
0,-4,178,33
0,-3,178,32
0,-2,178,31
0,-1,178,12
0,0,178,0
0,1,178,0
0,2,178,1
0,3,178,4
0,4,178,5
0,5,178,6
0,6,178,7
0,7,178,8
0,8,178,9
0,9,178,10
0,10,178,11
0,11,178,13
0,12,178,14
0,13,178,15
0,14,178,16
0,15,178,17
0,16,178,18
0,17,178,20
0,18,178,21
0,19,178,22
0,20,178,23
0,21,178,24
0,22,178,25
0,23,178,26
0,24,178,27
0,25,178,31
0,26,178,34
0,27,178,35
0,28,178,37
0,29,178,38
0,30,178,39
0,31,178,40
1,-30,193,46
1,-30,193,45
1,-29,193,44
1,-27,193,43
1,-27,193,42
1,-26,193,41
1,-24,193,38
1,-24,193,37
1,-23,193,36
1,-22,193,33
1,-21,193,30
1,-20,193,30
1,-19,193,29
1,-18,193,26
1,-17,193,23
1,-16,193,22
1,-15,193,21
1,-13,193,18
1,-13,193,17
1,-12,193,15
1,-11,193,13
1,-10,193,12
1,-9,193,11
1,-8,193,10
1,-6,193,8
1,-6,193,5
1,-5,193,4
1,-4,193,3
1,-3,193,2
1,-2,193,1
1,-1,193,0
1,0,193,0
1,1,193,0
1,2,193,1
1,3,193,3
1,4,193,4
1,5,193,5
1,6,193,8
1,6,193,11
1,8,193,12
1,9,193,13
1,10,193,15
1,11,193,16
1,12,193,19
1,13,193,20
1,13,193,21
1,15,193,22
1,16,193,24
1,17,193,29
1,18,193,30
1,19,193,30
1,20,193,35
1,21,193,36
1,22,193,38
1,23,193,39
1,24,193,41
1,24,193,42
1,26,193,49
1,27,193,49
1,27,193,51
1,29,193,52
1,30,193,54
1,30,193,55
2,-30,247,88
2,-30,247,87
2,-29,247,86
2,-28,247,83
2,-27,247,81
2,-26,247,80
2,-25,247,79
2,-24,247,78
2,-23,247,77
2,-22,247,70
2,-21,247,68
2,-20,247,67
2,-19,247,66
2,-18,247,65
2,-17,247,64
2,-16,247,61
2,-15,247,59
2,-14,247,57
2,-13,247,56
2,-12,247,55
2,-11,247,54
2,-10,247,53
2,-9,247,51
2,-8,247,50
2,-7,247,49
2,-6,247,47
2,-5,247,46
2,-4,247,12
2,-3,247,11
2,-2,247,8
2,-1,247,6
2,0,247,0
2,1,247,0
2,2,247,1
2,3,247,2
2,4,247,4
2,5,247,5
2,6,247,7
2,7,247,8
2,8,247,10
2,9,247,11
2,10,247,13
2,11,247,14
2,12,247,15
2,13,247,18
2,14,247,19
2,15,247,20
2,16,247,21
2,17,247,27
2,18,247,29
2,19,247,30
2,20,247,30
2,21,247,33
2,22,247,34
2,23,247,36
2,24,247,39
2,25,247,46
2,26,247,47
2,27,247,49
2,28,247,51
2,29,247,52
2,30,247,53
2,30,247,54
3,-31,248,88
3,-30,248,87
3,-29,248,86
3,-28,248,83
3,-27,248,81
3,-26,248,80
3,-25,248,79
3,-24,248,78
3,-23,248,77
3,-22,248,70
3,-21,248,68
3,-20,248,67
3,-19,248,66
3,-18,248,65
3,-17,248,64
3,-16,248,62
3,-15,248,59
3,-14,248,57
3,-13,248,56
3,-12,248,55
3,-11,248,54
3,-10,248,53
3,-9,248,51
3,-8,248,50
3,-7,248,49
3,-6,248,47
3,-5,248,46
3,-4,248,12
3,-3,248,11
3,-2,248,8
3,-1,248,6
3,0,248,0
3,1,248,0
3,2,248,1
3,3,248,6
3,4,248,7
3,5,248,9
3,6,248,10
3,7,248,11
3,8,248,12
3,9,248,13
3,10,248,14
3,11,248,16
3,12,248,17
3,13,248,18
3,14,248,19
3,15,248,20
3,16,248,21
3,17,248,26
3,18,248,30
3,19,248,32
3,20,248,34
3,21,248,38
3,22,248,39
3,23,248,40
3,24,248,41
3,25,248,43
3,26,248,44
3,27,248,46
3,28,248,47
3,29,248,50
3,30,248,52
3,31,248,53
4,-31,341,57
4,-30,341,56
4,-28,341,55
4,-28,341,48
4,-27,341,46
4,-26,341,46
4,-25,341,45
4,-24,341,43
4,-23,341,42
4,-22,341,41
4,-21,341,39
4,-20,341,37
4,-19,341,36
4,-18,341,35
4,-17,341,33
4,-16,341,32
4,-15,341,28
4,-14,341,28
4,-13,341,26
4,-12,341,25
4,-11,341,22
4,-10,341,21
4,-9,341,20
4,-8,341,13
4,-7,341,12
4,-6,341,11
4,-5,341,10
4,-4,341,8
4,-3,341,3
4,-2,341,1
4,-1,341,0
4,0,341,0
4,1,341,0
4,2,341,1
4,3,341,2
4,4,341,3
4,5,341,5
4,6,341,7
4,7,341,9
4,8,341,10
4,9,341,11
4,10,341,12
4,11,341,13
4,12,341,15
4,13,341,17
4,14,341,18
4,15,341,20
4,16,341,22
4,17,341,25
4,18,341,27
4,19,341,28
4,20,341,32
4,21,341,35
4,22,341,36
4,23,341,38
4,24,341,39
4,25,341,42
4,26,341,48
4,27,341,50
4,28,341,52
4,28,341,57
4,30,341,60
4,31,341,61
5,-31,293,44
5,-30,293,43
5,-29,293,42
5,-28,293,41
5,-27,293,37
5,-26,293,35
5,-25,293,34
5,-24,293,33
5,-23,293,32
5,-22,293,31
5,-21,293,30
5,-20,293,29
5,-18,293,28
5,-18,293,27
5,-17,293,25
5,-16,293,21
5,-15,293,20
5,-14,293,18
5,-13,293,16
5,-12,293,13
5,-11,293,12
5,-10,293,11
5,-9,293,10
5,-8,293,7
5,-7,293,6
5,-6,293,5
5,-5,293,4
5,-4,293,3
5,-3,293,2
5,-2,293,1
5,-1,293,0
5,0,293,0
5,1,293,0
5,2,293,75
5,3,293,75
5,4,293,77
5,5,293,78
5,6,293,79
5,7,293,86
5,8,293,87
5,9,293,88
5,10,293,89
5,11,293,90
5,12,293,91
5,13,293,92
5,14,293,95
5,15,293,97
5,16,293,98
5,17,293,100
5,18,293,101
5,18,293,102
5,20,293,105
5,21,293,107
5,22,293,108
5,23,293,110
5,24,293,113
5,25,293,114
5,26,293,115
5,27,293,116
5,28,293,117
5,29,293,119
5,30,293,122
5,31,293,128
5,32,293,129
6,-31,236,49
6,-30,236,48
6,-29,236,47
6,-28,236,45
