repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
68408,247451,50,328,21
97430,1057654,51,104,33
97888,1472849,56,243,20
112501,778503,51,52,1
112531,625399,48,49,1
116861,1491822,56,243,20
171382,1089630,51,190,57
217691,1057654,67,115,23
243820,1057697,49,50,1
357132,811389,57,115,34
500133,1418381,51,190,57
506323,709614,53,1055,43
507287,710599,66,70,50
507307,710577,87,92,21
507323,710572,87,101,21
507342,710570,112,222,6
507363,710570,66,80,46
532183,778443,98,141,3
532184,1372147,67,115,23
532195,1492419,51,104,33
532210,1346087,49,50,1
638452,642160,77,105,21
639332,867145,1239,1249,1
710583,507397,45,46,1
710625,507292,45,46,1
721559,949372,1239,1249,1
811369,1057629,98,141,2
811402,1477404,51,52,1
879161,1082389,112,222,6
879280,1082529,87,101,21
879284,1082554,87,92,21
879284,1082575,53,1055,43
879284,1082596,66,70,49
879303,1082510,66,80,46
947688,951396,77,105,20
964509,1477377,48,49,1
1232760,778503,57,58,1
1342174,1521217,50,328,20
