repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
227745,4125411,1184,1513,8
227746,4378588,1003,1462,10
227771,4378613,1003,1795,32
227772,4241233,1655,1753,3
227809,4241270,1655,1721,2
229542,4380479,908,3417,36
229699,4243252,2267,3263,3
231688,4382625,908,1274,5
1056745,2677764,1432,1448,2
1187991,2841217,875,1214,3
2732490,3727193,1433,1448,2
2841217,3955725,875,1200,4
2843656,3956912,768,782,2
2843656,4823033,768,791,2
3157337,4011022,1957,1973,2
3955725,4821846,1051,1975,3
4125229,4241024,1184,1695,18
4125369,4378545,1003,1505,9
4125480,4241275,1184,1717,17
4126912,4420353,1577,3713,18
4127209,4380479,908,3418,29
4127366,4243252,1581,3264,10
4129355,4382625,908,1273,4
4241233,4418880,874,1753,10
4241270,4418917,874,1721,9
4245241,4382625,908,1293,4
4380479,4420650,909,3416,35
4382625,4422796,909,1291,4
