repeat index 1 ,repeat index 2,exact length,approximate length,number of mutations
11823,11853,77,133,7
56100,57597,111,341,41
56101,57784,86,237,23
56124,57435,86,238,8
56138,56702,86,224,9
56320,56509,98,389,29
56698,57817,92,222,7
56699,57446,112,222,3
56754,57687,89,251,31
57356,57728,92,296,21
57503,57689,89,351,38
64376,64472,101,233,8
226799,1058764,1157,1192,2
356505,380804,98,128,5
428387,428486,150,201,2
475294,475315,179,211,2
475300,475342,158,170,2
475302,475365,137,147,2
475302,475386,116,126,2
475302,475407,95,105,11
937139,937196,144,227,2
937139,937253,87,165,4
954445,954550,76,108,28
1042674,1045864,965,995,2
1210412,1211426,1784,1827,2
1210412,1212440,770,813,2
1221244,1221538,122,200,2
