Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,-39,88,146
0,-38,88,145
0,-37,88,144
0,-36,88,143
0,-35,88,142
0,-34,88,138
0,-33,88,136
0,-32,88,133
0,-31,88,131
0,-29,88,129
0,-29,88,128
0,-28,88,127
0,-27,88,126
0,-26,88,122
0,-25,88,119
0,-24,88,119
0,-23,88,118
0,-22,88,116
0,-21,88,115
0,-20,88,113
0,-19,88,111
0,-18,88,110
0,-17,88,108
0,-16,88,107
0,-14,88,106
0,-14,88,105
0,-13,88,104
0,-12,88,102
0,-11,88,101
0,-10,88,100
0,-9,88,99
0,-8,88,97
0,-7,88,9
0,-6,88,7
0,-5,88,5
0,-4,88,3
0,-3,88,2
0,-2,88,1
0,-1,88,0
0,0,88,0
0,1,88,0
0,2,88,1
0,3,88,2
0,4,88,3
0,5,88,4
0,6,88,6
0,7,88,7
0,8,88,10
0,9,88,99
0,10,88,101
0,11,88,103
0,12,88,105
0,13,88,106
0,14,88,107
0,14,88,108
0,16,88,108
0,17,88,112
0,18,88,113
0,19,88,115
0,20,88,119
0,21,88,119
0,22,88,121
0,23,88,122
0,24,88,123
0,25,88,124
0,26,88,127
0,27,88,128
0,28,88,130
0,29,88,131
0,29,88,132
0,31,88,133
0,32,88,134
0,33,88,139
0,34,88,143
0,35,88,146
0,36,88,149
0,37,88,152
0,38,88,154
0,39,88,155
1,-41,86,157
1,-40,86,156
1,-39,86,155
1,-38,86,154
1,-37,86,153
1,-36,86,152
1,-35,86,150
1,-34,86,149
1,-33,86,145
1,-32,86,144
1,-30,86,143
1,-30,86,141
1,-29,86,140
1,-28,86,133
1,-27,86,131
1,-26,86,130
1,-25,86,129
1,-24,86,128
1,-22,86,126
1,-22,86,123
1,-21,86,123
1,-20,86,122
1,-19,86,121
1,-18,86,120
1,-17,86,118
1,-16,86,117
1,-15,86,113
1,-14,86,110
1,-13,86,105
1,-12,86,104
1,-11,86,100
1,-10,86,98
1,-9,86,11
1,-8,86,10
1,-7,86,9
1,-6,86,8
1,-5,86,7
1,-4,86,6
1,-3,86,5
1,-2,86,4
1,-1,86,3
1,0,86,0
1,1,86,0
1,2,86,5
1,3,86,6
1,4,86,10
1,5,86,12
1,6,86,99
1,7,86,100
1,8,86,101
1,9,86,102
1,10,86,102
1,11,86,104
1,12,86,105
1,13,86,106
1,14,86,107
1,15,86,111
1,16,86,112
1,17,86,113
1,18,86,116
1,19,86,118
1,20,86,120
1,21,86,122
1,22,86,123
1,22,86,125
1,24,86,126
1,25,86,127
1,26,86,129
1,27,86,130
1,28,86,132
1,29,86,134
1,30,86,136
1,30,86,137
1,32,86,140
1,33,86,142
1,34,86,143
1,35,86,144
1,36,86,147
2,-34,95,148
2,-33,95,147
2,-32,95,144
2,-31,95,142
2,-30,95,141
2,-29,95,140
2,-27,95,139
2,-27,95,136
2,-26,95,133
2,-25,95,132
2,-24,95,130
2,-23,95,129
2,-22,95,128
2,-21,95,125
2,-20,95,124
2,-19,95,123
2,-18,95,122
2,-17,95,121
2,-16,95,118
2,-15,95,117
2,-13,95,116
2,-13,95,112
2,-12,95,111
2,-11,95,111
2,-10,95,110
2,-9,95,108
2,-8,95,107
2,-6,95,104
2,-6,95,103
2,-5,95,101
2,-4,95,100
2,-3,95,98
2,-2,95,3
2,-1,95,1
2,0,95,0
2,1,95,0
2,2,95,1
2,3,95,2
2,4,95,98
2,5,95,100
2,6,95,102
2,6,95,107
2,8,95,111
2,9,95,115
2,10,95,121
2,11,95,123
2,12,95,130
2,13,95,133
2,13,95,134
2,15,95,136
2,16,95,137
2,17,95,138
2,18,95,139
2,19,95,141
2,20,95,144
2,21,95,145
2,22,95,147
2,23,95,148
2,24,95,149
2,25,95,150
2,26,95,151
2,27,95,153
2,27,95,154
2,29,95,155
2,30,95,156
2,31,95,157
2,32,95,159
2,33,95,161
2,34,95,162
3,-49,60,194
3,-48,60,193
3,-47,60,189
3,-46,60,187
3,-45,60,185
3,-44,60,184
3,-43,60,183
3,-42,60,182
3,-41,60,181
3,-40,60,178
3,-39,60,174
3,-38,60,173
3,-37,60,171
3,-36,60,169
3,-35,60,167
3,-34,60,166
3,-33,60,165
3,-32,60,164
3,-31,60,163
3,-30,60,162
3,-29,60,160
3,-28,60,159
3,-27,60,158
3,-26,60,157
3,-25,60,155
3,-24,60,154
3,-23,60,152
3,-22,60,151
3,-21,60,144
3,-20,60,106
3,-19,60,103
