Repeat ID,Mutation ID,Length Of Exact Repeat,Length Of Approx Repeat
0,0,62,62
0,1,62,90
0,2,62,100
0,3,62,116
0,4,62,119
0,5,62,120
0,6,62,124
0,7,62,125
0,8,62,127
0,9,62,133
0,10,62,136
0,11,62,146
0,12,62,149
0,13,62,153
0,14,62,171
0,15,62,174
0,16,62,176
0,17,62,186
0,18,62,190
0,19,62,194
0,20,62,195
0,21,62,196
0,22,62,197
0,23,62,198
0,24,62,199
0,25,62,200
0,26,62,203
0,27,62,204
0,28,62,205
0,29,62,206
0,30,62,207
0,31,62,208
0,32,62,209
0,33,62,210
0,34,62,211
0,35,62,212
0,36,62,213
0,37,62,217
0,38,62,218
0,39,62,219
0,40,62,220
0,41,62,222
0,42,62,226
0,43,62,227
0,44,62,228
0,45,62,230
0,46,62,231
0,47,62,232
0,48,62,233
0,49,62,236
0,50,62,238
1,0,88,88
1,1,88,90
1,2,88,92
1,3,88,94
1,4,88,95
1,5,88,96
1,6,88,97
1,7,88,97
1,8,88,99
1,9,88,100
1,10,88,103
1,11,88,104
1,12,88,105
1,13,88,106
1,14,88,107
1,15,88,111
1,16,88,112
1,17,88,113
1,18,88,114
1,19,88,115
1,20,88,117
1,21,88,118
1,22,88,119
1,23,88,119
1,24,88,121
1,25,88,122
1,26,88,125
1,27,88,126
1,28,88,127
1,29,88,128
1,30,88,129
1,31,88,131
1,32,88,132
1,33,88,133
1,34,88,135
1,35,88,136
1,36,88,137
1,37,88,138
1,38,88,140
1,39,88,141
1,40,88,142
1,41,88,144
1,42,88,145
1,43,88,148
1,44,88,149
1,45,88,150
1,46,88,151
1,47,88,152
1,48,88,153
1,49,88,154
1,50,88,156
2,0,86,86
2,1,86,88
2,2,86,91
2,3,86,93
2,4,86,98
2,5,86,102
2,6,86,105
2,7,86,106
2,8,86,108
2,9,86,109
2,10,86,110
2,11,86,111
2,12,86,112
2,13,86,112
2,14,86,113
2,15,86,115
2,16,86,116
2,17,86,117
2,18,86,118
2,19,86,119
2,20,86,120
2,21,86,121
2,22,86,123
2,23,86,123
2,24,86,125
2,25,86,126
2,26,86,130
2,27,86,132
2,28,86,133
2,29,86,135
2,30,86,142
2,31,86,143
2,32,86,144
2,33,86,145
2,34,86,146
2,35,86,147
2,36,86,148
2,37,86,149
2,38,86,153
2,39,86,154
2,40,86,156
2,41,86,158
2,42,86,160
2,43,86,161
2,44,86,163
2,45,86,164
2,46,86,166
2,47,86,167
2,48,86,168
2,49,86,169
2,50,86,170
3,0,95,95
3,1,95,97
3,2,95,98
3,3,95,104
3,4,95,109
3,5,95,111
3,6,95,118
3,7,95,120
3,8,95,127
3,9,95,130
3,10,95,131
3,11,95,132
3,12,95,134
3,13,95,135
3,14,95,136
3,15,95,138
3,16,95,139
3,17,95,140
3,18,95,143
3,19,95,144
3,20,95,145
3,21,95,147
3,22,95,148
3,23,95,149
3,24,95,152
3,25,95,153
3,26,95,154
3,27,95,155
3,28,95,157
3,29,95,158
3,30,95,161
3,31,95,162
3,32,95,163
3,33,95,164
3,34,95,165
3,35,95,167
3,36,95,168
3,37,95,169
3,38,95,170
3,39,95,171
3,40,95,172
3,41,95,173
3,42,95,175
3,43,95,177
3,44,95,178
3,45,95,179
3,46,95,182
3,47,95,186
3,48,95,189
3,49,95,190
3,50,95,191
4,0,60,60
4,1,60,69
4,2,60,76
4,3,60,81
4,4,60,85
4,5,60,88
4,6,60,126
4,7,60,133
4,8,60,135
4,9,60,136
4,10,60,138
4,11,60,139
4,12,60,141
4,13,60,142
4,14,60,143
4,15,60,144
4,16,60,145
4,17,60,146
4,18,60,147
4,19,60,148
4,20,60,150
4,21,60,151
4,22,60,152
4,23,60,153
4,24,60,154
4,25,60,155
4,26,60,156
4,27,60,157
4,28,60,158
4,29,60,160
4,30,60,161
4,31,60,162
4,32,60,163
4,33,60,164
4,34,60,165
4,35,60,167
4,36,60,168
4,37,60,169
4,38,60,171
4,39,60,172
4,40,60,173
4,41,60,174
4,42,60,175
4,43,60,176
4,44,60,177
4,45,60,178
4,46,60,179
4,47,60,180
4,48,60,181
4,49,60,182
4,50,60,183
5,0,87,87
5,1,87,92
5,2,87,98
5,3,87,101
5,4,87,108
5,5,87,115
5,6,87,130
5,7,87,131
5,8,87,132
5,9,87,133
5,10,87,134
5,11,87,135
5,12,87,136
5,13,87,137
5,14,87,138
5,15,87,142
5,16,87,143
5,17,87,144
5,18,87,145
5,19,87,146
5,20,87,150
5,21,87,152
5,22,87,153
5,23,87,154
5,24,87,155
5,25,87,157
5,26,87,158
5,27,87,159
5,28,87,161
5,29,87,162
5,30,87,163
5,31,87,165
5,32,87,167
5,33,87,169
5,34,87,170
5,35,87,172
5,36,87,173
5,37,87,174
5,38,87,175
5,39,87,176
5,40,87,177
5,41,87,178
5,42,87,180
5,43,87,182
5,44,87,184
5,45,87,185
5,46,87,185
5,47,87,188
5,48,87,189
5,49,87,190
5,50,87,193
6,0,406,406
6,1,406,680
6,2,406,683
6,3,406,686
6,4,406,689
6,5,406,691
6,6,406,694
6,7,406,700
6,8,406,701
6,9,406,703
6,10,406,706
6,11,406,709
6,12,406,715
6,13,406,717
6,14,406,721
6,15,406,723
6,16,406,724
6,17,406,725
6,18,406,730
6,19,406,733
6,20,406,739
6,21,406,742
6,22,406,757
6,23,406,760
6,24,406,763
6,25,406,766
6,26,406,768
6,27,406,769
6,28,406,775
6,29,406,777
6,30,406,778
6,31,406,780
6,32,406,786
6,33,406,787
6,34,406,788
6,35,406,789
6,36,406,792
6,37,406,795
6,38,406,796
6,39,406,798
6,40,406,804
6,41,406,807
6,42,406,810
6,43,406,812
6,44,406,813
6,45,406,814
6,46,406,816
6,47,406,816
6,48,406,820
6,49,406,822
6,50,406,823
